x_mm,r_mm
-22.68000,20.00000
-22.54575,19.99910
-22.41152,19.99640
-22.27734,19.99189
-22.14323,19.98558
-22.00922,19.97748
-21.87533,19.96757
-21.74159,19.95587
-21.60802,19.94238
-21.47463,19.92709
-21.34147,19.91001
-21.20855,19.89115
-21.07589,19.87050
-20.94352,19.84808
-20.81146,19.82388
-20.67974,19.79791
-20.54838,19.77017
-20.41741,19.74067
-20.28684,19.70942
-20.15671,19.67641
-20.02703,19.64167
-19.89783,19.60518
-19.76912,19.56696
-19.64095,19.52702
-19.51332,19.48536
-19.38626,19.44200
-19.25980,19.39693
-19.13395,19.35016
-19.00874,19.30171
-18.88420,19.25159
-18.76033,19.19979
-18.63718,19.14634
-18.51475,19.09124
-18.39307,19.03450
-18.27217,18.97614
-18.15206,18.91615
-18.03277,18.85456
-17.91431,18.79137
-17.79672,18.72660
-17.68000,18.66025
-17.24276,18.40782
-16.80552,18.15539
-16.36828,17.90296
-15.93103,17.65053
-15.49379,17.39810
-15.05655,17.14567
-14.61931,16.89323
-14.18207,16.64080
-13.74483,16.38837
-13.30759,16.13594
-12.87034,15.88351
-12.43310,15.63108
-11.99586,15.37865
-11.55862,15.12622
-11.12138,14.87378
-10.68414,14.62135
-10.24690,14.36892
-9.80966,14.11649
-9.37241,13.86406
-8.93517,13.61163
-8.49793,13.35920
-8.06069,13.10677
-7.62345,12.85433
-7.18621,12.60190
-6.74897,12.34947
-6.31172,12.09704
-5.87448,11.84461
-5.43724,11.59218
-4.88328,11.27340
-4.76569,11.20863
-4.64723,11.14544
-4.52794,11.08385
-4.40783,11.02386
-4.28693,10.96550
-4.16525,10.90876
-4.04282,10.85366
-3.91967,10.80021
-3.79580,10.74841
-3.67126,10.69829
-3.54605,10.64984
-3.42020,10.60307
-3.29374,10.55800
-3.16668,10.51464
-3.03905,10.47298
-2.91088,10.43304
-2.78217,10.39482
-2.65297,10.35833
-2.52329,10.32359
-2.39316,10.29058
-2.26259,10.25933
-2.13162,10.22983
-2.00026,10.20209
-1.86854,10.17612
-1.73648,10.15192
-1.60411,10.12950
-1.47145,10.10885
-1.33853,10.08999
-1.20537,10.07291
-1.07198,10.05762
-0.93841,10.04413
-0.80467,10.03243
-0.67078,10.02252
-0.53677,10.01442
-0.40266,10.00811
-0.26848,10.00360
-0.13425,10.00090
-0.00000,10.00000
0.05029,10.00025
0.10057,10.00101
0.15084,10.00228
0.20110,10.00405
0.25134,10.00632
0.30155,10.00910
0.35173,10.01239
0.40188,10.01618
0.45198,10.02047
0.50204,10.02527
0.55205,10.03057
0.60201,10.03637
0.65190,10.04268
0.70172,10.04949
0.75148,10.05679
0.80116,10.06460
0.85076,10.07291
0.90027,10.08172
0.94969,10.09102
0.99901,10.10082
1.04824,10.11111
1.09736,10.12190
1.14636,10.13319
1.19525,10.14496
1.24402,10.15723
1.29267,10.16999
1.34118,10.18323
1.38956,10.19697
1.43779,10.21119
1.48589,10.22589
1.53383,10.24107
1.58161,10.25674
1.62924,10.27289
1.67670,10.28951
1.72399,10.30662
1.77111,10.32419
1.81805,10.34224
1.86480,10.36076
1.91137,10.37975
1.95774,10.39921
2.00391,10.41913
2.04988,10.43952
2.09565,10.46037
2.14120,10.48168
2.18654,10.50344
2.23165,10.52566
2.27654,10.54833
2.32120,10.57145
2.36562,10.59502
2.40981,10.61904
2.45375,10.64350
2.49744,10.66839
2.54088,10.69373
2.58406,10.71951
2.62698,10.74571
2.66964,10.77235
2.71202,10.79941
2.75413,10.82690
2.79596,10.85481
3.20664,11.13102
3.61868,11.40653
4.03206,11.68134
4.44680,11.95546
4.86289,12.22889
5.28033,12.50162
5.69912,12.77366
6.11927,13.04500
6.54077,13.31565
6.96362,13.58561
7.38783,13.85487
7.81338,14.12344
8.24029,14.39131
8.66856,14.65849
9.09817,14.92498
9.52914,15.19077
9.96146,15.45586
10.39513,15.72027
10.83015,15.98398
11.26653,16.24699
11.70426,16.50931
12.14334,16.77093
12.58378,17.03187
13.02556,17.29210
13.46870,17.55165
13.91319,17.81049
14.35904,18.06865
14.80624,18.32611
15.25478,18.58288
15.70469,18.83895
16.15594,19.09433
16.60855,19.34901
17.06251,19.60300
17.51782,19.85629
17.97448,20.10890
18.43250,20.36080
18.89187,20.61201
19.35259,20.86253
19.81466,21.11236
20.27809,21.36149
20.74287,21.60992
21.20900,21.85767
21.67649,22.10471
22.14532,22.35107
22.61551,22.59672
23.08705,22.84169
23.55995,23.08596
24.03419,23.32954
24.50979,23.57242
24.98674,23.81461
25.46505,24.05610
25.94470,24.29690
26.42571,24.53701
26.90807,24.77642
27.39179,25.01513
27.87686,25.25316
28.36327,25.49049
28.85105,25.72712
29.34017,25.96306
29.83065,26.19831
30.32247,26.43286
30.81566,26.66672
31.31019,26.89988
31.80608,27.13235
32.30331,27.36412
32.80191,27.59521
33.30185,27.82559
33.80315,28.05529
34.30579,28.28428
34.80980,28.51259
35.31515,28.74020
35.82186,28.96711
36.32991,29.19333
36.83933,29.41886
37.35009,29.64370
37.86221,29.86783
38.37567,30.09128
38.89049,30.31403
39.40667,30.53609
39.92419,30.75745
40.44307,30.97812
40.96330,31.19809
41.48489,31.41737
42.00782,31.63595
42.53211,31.85385
43.05775,32.07104
43.58475,32.28755
44.11309,32.50335
44.64279,32.71847
45.17384,32.93289
45.70625,33.14662
46.24000,33.35965
46.77511,33.57198
47.31157,33.78363
47.84938,33.99458
48.38855,34.20483
48.92907,34.41439
49.47094,34.62326
50.01416,34.83143
50.55874,35.03891
51.10467,35.24569
51.65195,35.45178
52.20058,35.65718
52.75057,35.86188
53.30190,36.06589
53.85459,36.26920
54.40864,36.47182
54.96403,36.67375
55.52078,36.87498
56.07888,37.07551
56.63833,37.27535
57.19914,37.47450
57.76130,37.67296
58.32481,37.87071
58.88967,38.06778
59.45589,38.26415
60.02346,38.45983
60.59238,38.65481
61.16265,38.84910
61.73427,39.04269
62.30725,39.23559
62.88158,39.42780
63.45727,39.61931
64.03430,39.81013
64.61269,40.00025
65.19243,40.18968
65.77352,40.37842
66.35597,40.56646
66.93977,40.75380
67.52492,40.94046
68.11142,41.12641
68.69927,41.31168
69.28848,41.49625
69.87904,41.68012
70.47096,41.86330
71.06422,42.04579
71.65884,42.22758
72.25481,42.40868
72.85213,42.58909
73.45081,42.76880
74.05083,42.94781
74.65221,43.12614
75.25495,43.30376
75.85903,43.48070
76.46447,43.65694
77.07126,43.83248
77.67940,44.00733
78.28890,44.18149
78.89974,44.35495
79.51194,44.52772
80.12550,44.69980
80.74040,44.87118
81.35666,45.04186
81.97427,45.21185
82.59323,45.38115
83.21355,45.54975
83.83521,45.71766
84.45823,45.88488
85.08261,46.05140
85.70833,46.21722
86.33541,46.38236
86.96384,46.54679
87.59362,46.71054
88.22476,46.87359
88.85724,47.03594
89.49108,47.19761
90.12628,47.35857
90.76282,47.51884
91.40072,47.67842
92.03997,47.83731
92.68057,47.99550
93.32252,48.15299
93.96583,48.30980
94.61049,48.46590
95.25650,48.62132
95.90387,48.77604
96.55259,48.93006
97.20265,49.08339
97.85408,49.23603
98.50685,49.38797
99.16098,49.53922
99.81646,49.68977
100.47329,49.83963
