x,r,cf_t,pressure,yplus
0.0,0.01,166.061584943321,953109.5,1.821944
0.0009090909,0.01000433,164.8237177741985,934002.3,1.790841
0.001818182,0.01001725,168.47429150321568,913446.1,1.78523
0.002727273,0.01003869,173.40656226257212,885240.7,1.781085
0.003636364,0.01006858,177.87155551281495,852299.7,1.771607
0.004545455,0.01010683,181.55324339329843,816711.4,1.756847
0.005454545,0.01015336,184.57792323646382,779794.0,1.738279
0.006363636,0.01020809,186.86843246659993,741172.6,1.715328
0.007272727,0.01027095,188.41186492806443,703072.2,1.689334
0.008181818,0.01034186,189.3443402931967,666118.1,1.661555
0.009090909,0.01042074,189.82113439312653,630375.4,1.632606
0.01,0.0105075,189.90110199896898,595944.4,1.602787
0.01090909,0.01060207,189.625518761112,562892.8,1.572332
0.01181818,0.01070438,189.02510340433204,531251.5,1.541427
0.01272727,0.01081434,188.1263422169172,501025.6,1.51022
0.01363636,0.01093187,186.94937827349182,472203.0,1.47877
0.01454545,0.01105689,185.50820077616757,444761.6,1.447168
0.01545455,0.01118933,183.81710026750724,418669.8,1.415481
0.01636364,0.01132911,181.89037950603395,393893.0,1.383766
0.01727273,0.01147614,179.74175918933798,370392.2,1.352092
0.01818182,0.01163035,177.38865091463575,348125.5,1.32053
0.01909091,0.01179167,174.8298298713581,327042.1,1.289057
0.02,0.01196,172.0846081454975,307109.3,1.257708
0.02090909,0.01213528,169.17422498521125,288282.7,1.226554
0.02181818,0.01231742,166.1176997822722,270518.5,1.195638
0.02272727,0.01250634,162.93130211444077,253772.8,1.165004
0.02363636,0.01270197,159.63007893727246,238001.5,1.134696
0.02454545,0.01290422,156.2296897269369,223160.9,1.104752
0.02545455,0.01311303,152.7454228684083,209207.6,1.075209
0.02636364,0.0133283,149.19255562458918,196098.9,1.046103
0.02727273,0.01354996,145.58599164874144,183792.6,1.017474
0.02818182,0.01377794,141.94014239097206,172247.4,0.9893567
0.02909091,0.01401214,138.27078706773392,161423.2,0.9617649
0.03,0.0142525,134.5911367579057,151280.8,0.9347168
0.03090909,0.01449893,130.91268492578772,141782.3,0.9082324
0.03181818,0.01475136,127.24752450763107,132891.0,0.8823328
0.03272727,0.01500971,123.60361768131793,124571.8,0.8570379
0.03363636,0.01527389,119.98880884475365,116791.4,0.8323422
0.03454545,0.01554383,116.42543164730871,109517.4,0.8082913
0.03545455,0.01581945,112.92794455694401,102718.8,0.7849029
0.03636364,0.01610068,109.50800452529054,96366.25,0.7621954
0.03727273,0.01638742,106.18651145793561,90431.77,0.7402247
0.03818182,0.01667961,102.95267363144401,84888.52,0.7189379
0.03909091,0.01697716,99.83353444229479,79711.58,0.6983946
0.04,0.01728,96.8106420994646,74876.71,0.6785018
0.04090909,0.01758804,93.90822929219023,70361.65,0.6592629
0.04181818,0.01790122,91.10283828925095,66145.13,0.6406472
0.04272727,0.01821944,88.40040844055895,62207.05,0.6226658
0.04363636,0.01854263,85.7966818459086,58528.7,0.6052803
0.04454545,0.01887071,83.29249456812563,55092.22,0.5884736
0.04545455,0.01920361,80.88691137288937,51881.37,0.5722281
0.04636364,0.01954123,78.57858499275942,48880.38,0.5565299
0.04727273,0.01988352,76.36737938898955,46075.1,0.5413719
0.04818182,0.02023037,74.2517784691254,43451.78,0.5267448
0.04909091,0.02058173,72.23140332609539,40998.08,0.5126481
0.05,0.0209375,70.30534592857018,38702.09,0.4990756
0.05090909,0.02129761,68.4731064793631,36553.06,0.4860251
0.05181818,0.02166198,66.73342963118546,34540.79,0.4734966
0.05272727,0.02203053,65.08389435737207,32655.98,0.4614854
0.05363636,0.02240319,63.523783367465626,30889.93,0.4499897
0.05454545,0.02277986,62.05024129086758,29234.7,0.439
0.05545455,0.02316049,60.66226384320718,27682.88,0.4285105
0.05636364,0.02354497,59.35473328088419,26227.7,0.418513
0.05727273,0.02393325,58.12706405279556,24862.84,0.4090062
0.05818182,0.02432523,56.9751653123264,23582.44,0.399973
0.05909091,0.02472084,55.896674839576036,22381.1,0.3914041
0.06,0.02512,54.888351684036415,21253.64,0.383286
0.06090909,0.02552263,53.945873641716794,20195.31,0.3756048
0.06181818,0.02592866,53.06623803495452,19201.53,0.36835
0.06272727,0.02633799,52.24416048440445,18267.96,0.361499
0.06363636,0.02675056,51.47687535192534,17390.68,0.355036
0.06454545,0.02716629,50.75911912433274,16565.65,0.3489379
0.06545455,0.02758509,50.08788770560546,15789.38,0.3431799
0.06636364,0.0280069,49.45838184815618,15058.64,0.3377524
0.06727273,0.02843162,48.864645473194564,14370.07,0.3326222
0.06818182,0.02885918,48.30357887122248,13720.92,0.3277722
0.06909091,0.0292895,47.77253005295411,13108.46,0.3231827
0.07,0.0297225,47.26669537001438,12530.02,0.3188272
0.07090909,0.03015811,46.78177219501869,11983.49,0.3146881
0.07181818,0.03059624,46.314776233666194,11466.69,0.3107464
0.07272727,0.03103681,45.862091381068886,10977.55,0.3069788
0.07363636,0.03147976,45.42184402077162,10514.45,0.3033717
0.07454545,0.03192499,44.993374893568095,10075.85,0.2999166
0.07545455,0.03237243,44.57670195107628,9660.136,0.296602
0.07636364,0.032822,44.191044319735774,9266.08,0.2933337
0.07727273,0.03327362,43.80003815716165,8893.092,0.2902487
0.07818182,0.03372721,43.41733389953765,8539.768,0.2873086
