x,r,cf_t,pressure,yplus
0.0,0.01,218.98837880518002,1012094.0,2.116304
0.0009090909,0.01000309,220.7635692042874,1000675.0,2.101304
0.001818182,0.01001232,226.51724487890985,988358.9,2.105006
0.002727273,0.01002764,232.8126208881991,966863.7,2.105708
0.003636364,0.01004899,238.11855385695182,939679.5,2.099036
0.004545455,0.01007631,242.43134979879204,909193.6,2.086545
0.005454545,0.01010954,245.93749097720925,876931.1,2.069882
0.006363636,0.01014864,248.82440715151796,843856.2,2.05032
0.007272727,0.01019354,251.30920046062354,810501.9,2.028938
0.008181818,0.01024419,253.13440356426085,776311.7,2.004569
0.009090909,0.01030053,254.37626200821313,742931.0,1.978549
0.01,0.0103625,255.25927636011963,710524.9,1.951827
0.01090909,0.01043005,255.8306059656388,679147.2,1.924556
0.01181818,0.01050313,256.10832389547545,648816.4,1.896891
0.01272727,0.01058167,256.0944230607606,619531.4,1.868823
0.01363636,0.01066562,255.7915503986538,591276.2,1.840397
0.01454545,0.01075492,255.2045228567559,564027.5,1.811642
0.01545455,0.01084952,254.34375924147972,537760.9,1.782695
0.01636364,0.01094936,253.20527643294218,512453.2,1.753401
0.01727273,0.01105439,251.77940778693647,488081.5,1.723769
0.01818182,0.01116454,250.07255252074577,464624.8,1.693845
0.01909091,0.01127976,248.09684709502318,442064.5,1.663697
0.02,0.0114,245.8623211525564,420384.3,1.633325
0.02090909,0.0115252,243.37790061343665,399568.3,1.602839
0.02181818,0.0116553,240.66980491631492,379600.8,1.572296
0.02272727,0.01179024,237.79800287819614,360464.4,1.541872
0.02363636,0.01192998,234.8246629300692,342114.5,1.511718
0.02454545,0.01207445,231.65566352097795,324532.2,1.481499
0.02545455,0.01222359,228.28983967347557,307732.0,1.451239
0.02636364,0.01237736,224.7507880128823,291695.2,1.421018
0.02727273,0.01253569,221.05711085298026,276402.7,1.390892
0.02818182,0.01269853,217.22463130868735,261834.3,1.360944
0.02909091,0.01286582,213.2699512409603,247969.0,1.331168
0.03,0.0130375,209.20464559660726,234785.0,1.301605
0.03090909,0.01321352,205.04177604975146,222259.9,1.272283
0.03181818,0.01339383,200.79528115893262,210370.6,1.243227
0.03272727,0.01357836,196.47834001742677,199093.7,1.214475
0.03363636,0.01376706,192.10471477578128,188405.8,1.186069
0.03454545,0.01395988,187.6890541078752,178283.1,1.158046
0.03545455,0.01415675,183.24627150808004,168702.1,1.130431
0.03636364,0.01435763,178.7907487562189,159639.5,1.103248
0.03727273,0.01456244,174.33601600096148,151072.1,1.076527
0.03818182,0.01477115,169.8933951046498,142977.3,1.050301
0.03909091,0.01498369,165.47532586829954,135332.8,1.024561
0.04,0.0152,161.09736388135425,128115.0,0.9993392
0.04090909,0.01542003,156.6944649135676,121293.8,0.9744155
0.04181818,0.01564373,152.29231026548493,114858.9,0.9498659
0.04272727,0.01587103,147.86082062930998,108784.5,0.9255756
0.04363636,0.01610188,143.46331802497178,103058.9,0.9017287
0.04454545,0.01633622,139.09447926233005,97658.88,0.8782836
0.04545455,0.016574,134.82662206649124,92573.08,0.8554734
0.04636364,0.01681517,130.65648972998483,87780.33,0.8332585
0.04727273,0.01705965,126.62772472873498,83270.38,0.8117624
0.04818182,0.01730741,122.74673728252579,79023.48,0.7909925
0.04909091,0.01755838,119.0317740948282,75029.66,0.771012
0.05,0.0178125,115.49274456464315,71271.61,0.7518344
0.05090909,0.01806972,112.13763145025146,67738.27,0.7334931
0.05181818,0.01832999,108.96620524715156,64416.48,0.7159794
0.05272727,0.01859324,105.97387431261197,61292.92,0.6992654
0.05363636,0.01885942,103.16573452413324,58357.91,0.6833714
0.05454545,0.01912847,100.52386398342227,55597.64,0.6682252
0.05545455,0.01940035,98.06434353903815,53003.23,0.6537295
0.05636364,0.01967498,95.76003491175294,50564.1,0.6399915
0.05727273,0.01995232,93.59621436766318,48269.4,0.6269304
0.05818182,0.02023231,91.57511705889351,46110.86,0.6145299
0.05909091,0.02051489,89.69410406436259,44078.98,0.6027686
0.06,0.0208,87.93799580810365,42165.19,0.5915889
0.06090909,0.02108759,86.30287509542221,40362.16,0.5809727
0.06181818,0.02137761,84.78476877979027,38662.26,0.5709012
0.06272727,0.02166999,83.3737991400812,37058.25,0.5613353
0.06363636,0.02196469,82.06533367669152,35544.07,0.5522566
0.06454545,0.02226164,80.85477929525182,34113.66,0.5436462
0.06545455,0.02256078,79.73335282993098,32761.32,0.5354715
0.06636364,0.02286207,78.698810396351,31481.88,0.5277216
