species,chamber_mass_fraction,throat_mass_fraction,exit_mass_fraction
CO,0.192885,0.181061,0.096891
CO2,0.293172,0.311811,0.444137
COOH,7.596e-05,4.395e-05,4.583e-08
H,0.0006812,0.000578,1.985e-05
H2,0.005446,0.005058,0.003707
H2O,0.405186,0.413832,0.454649
H2O2,9.007e-05,5.411e-05,9.127e-09
"HCHO,formaldehy",1.362e-06,6.882e-07,1.561e-09
HCO,3.187e-05,1.697e-05,1.279e-08
HCOOH,1.601e-05,8.86e-06,3.137e-08
HO2,0.0003878,0.000245,1.464e-08
O,0.006672,0.005246,3.545e-06
O2,0.042254,0.036847,4.175e-05
O3,9.888e-07,4.435e-07,2.19e-14
OH,0.053101,0.045198,0.0005502
