case_id,geometry_id,chamber_pressure_pa,of_ratio,back_pressure_pa,area_ratio,throat_radius_m,divergent_length_m,wall_temperature_k,chemistry_model,turbulence_model,separated,x_sep_m,x_reattach_m,shock_x_m,converged,pressure_chamber_bar,pressure_throat_bar,pressure_exit_bar,temperature_chamber_k,temperature_throat_k,temperature_exit_k,mach_chamber,mach_throat,mach_exit,density_chamber,density_throat,density_exit,cp_chamber,cp_throat,cp_exit,gamma_chamber,gamma_throat,gamma_exit,molecular_weight_chamber,molecular_weight_throat,molecular_weight_exit,sound_speed_chamber,sound_speed_throat,sound_speed_exit
case_0001,bell_0001,20969585.0449535,3.9729390721027174,98238.57388445185,46.74188535105704,0.02962741906448294,0.21694522426640778,762.753629999802,CEA_equilibrium,SST,,,,,,209.6959,121.4109,0.5011,3712.77,3531.56,2178.26,0.0,1.0,3.8755,15.89,9.794,0.07248,6.4119,6.416,3.719,1.1317,1.1278,1.1251,23.3872,23.6865,26.1935,1222.21,1182.42,882.02
case_0002,bell_0002,28171476.498949073,3.7411676423878615,77325.57122092487,32.74091005359967,0.015035659644283305,0.3139675937513656,542.7805413360743,CEA_equilibrium,SST,,,,,,281.7148,162.9799,0.9951,3758.33,3570.19,2181.04,0.0,1.0,3.7025,20.7,12.76,0.1388,6.2139,6.1924,2.6085,1.1338,1.13,1.1585,22.9601,23.2469,25.2878,1242.22,1201.24,911.46
case_0003,bell_0003,24378968.73634065,3.8733207517903776,61165.209406373,20.239917855057893,0.03132653292208422,0.16598203159971003,686.8360876200757,CEA_equilibrium,SST,,,,,,243.7897,141.1049,1.5969,3737.12,3552.79,2392.98,0.0,1.0,3.444,18.22,11.23,0.2056,6.3287,6.3281,4.2386,1.1326,1.1287,1.1214,23.2189,23.5132,25.6146,1231.14,1190.82,933.31
case_0004,bell_0004,20531627.096011285,3.9374854215960937,35295.00384388594,30.393171675640556,0.021748183373350098,0.1914824164194623,799.6202265401638,CEA_equilibrium,SST,,,,,,205.3163,118.8746,0.8248,3711.25,3530.16,2288.73,0.0,1.0,3.6537,15.51,9.559,0.1124,6.4431,6.4463,4.1154,1.1317,1.1278,1.1209,23.3042,23.603,25.9347,1224.15,1184.29,906.9
case_0005,bell_0005,22674794.9268857,3.578907396329456,39659.82012385381,29.37266567991493,0.016794421277274513,0.3273839149769582,654.1487344419093,CEA_equilibrium,SST,,,,,,226.7479,131.1492,0.878,3723.13,3535.85,2078.32,0.0,1.0,3.6847,16.47,10.16,0.1243,6.282,6.2049,2.305,1.1342,1.1307,1.1784,22.4888,22.7693,24.4634,1249.49,1208.26,912.36
case_0006,bell_0006,26954154.26076726,3.9083956639395168,46917.769990595814,24.557931001738215,0.02720686342449285,0.2567308956712453,513.1278357896124,CEA_equilibrium,SST,,,,,,269.5415,155.9956,1.3942,3750.1,3564.41,2346.98,0.0,1.0,3.5475,20.17,12.43,0.1844,6.2444,6.2465,4.0975,1.1329,1.129,1.1222,23.3292,23.6231,25.8116,1230.49,1190.12,921.07
case_0007,bell_0007,26660603.60743822,3.485848626956006,23878.31959019655,37.92445773797046,0.025178685196921853,0.2382499904744665,861.3466733223333,CEA_equilibrium,SST,,,,,,266.606,154.085,0.7176,3737.34,3544.8,1881.16,0.0,1.0,3.9002,19.12,11.79,0.11,6.0304,5.9022,2.1677,1.136,1.1328,1.1917,22.2891,22.5588,23.9834,1258.45,1216.55,881.56
case_0008,bell_0008,23174787.417613026,3.3904807792549394,50905.132046676605,40.54643871156668,0.017038303304405367,0.2088129524797015,552.1068277742723,CEA_equilibrium,SST,,,,,,231.7479,133.8782,0.5564,3706.93,3513.67,1769.02,0.0,1.0,3.988,16.53,10.19,0.08881,5.9677,5.7763,2.151,1.1368,1.134,1.1977,21.9798,22.2421,23.4762,1262.56,1220.45,866.25
case_0009,bell_0009,23798022.778227907,3.3234247847367167,41084.15650306105,32.00933083639325,0.03367295403497112,0.18320542138465498,889.9509114707746,CEA_equilibrium,SST,,,,,,237.9802,137.3847,0.7556,3698.93,3502.26,1794.53,0.0,1.0,3.8647,16.86,10.4,0.1171,5.7867,5.5448,2.1739,1.1382,1.1359,1.1989,21.789,22.0419,23.1174,1267.49,1225.0,879.65
case_0010,bell_0010,29953346.383602932,3.6030476642035474,89762.59484353622,43.369107732990116,0.018373982559717172,0.3312775158344898,822.1441746875201,CEA_equilibrium,SST,,,,,,299.5335,173.191,0.7062,3762.37,3570.8,1940.34,0.0,1.0,3.9295,21.67,13.37,0.1077,6.0848,6.0174,2.1777,1.1351,1.1316,1.1858,22.6363,22.9138,24.6066,1252.47,1210.88,881.75
case_0011,bell_0011,20200413.825404666,3.681024809145997,94755.89749446964,48.08188149805805,0.03266472193008403,0.29017497885423693,745.427708194042,CEA_equilibrium,SST,,,,,,202.0041,116.9024,0.4365,3711.43,3527.98,1992.91,0.0,1.0,3.9292,14.87,9.166,0.0659,6.4521,6.4147,2.2469,1.1329,1.1291,1.1783,22.7099,22.9989,25.0137,1240.72,1200.06,883.49
case_0012,bell_0012,29421431.761961613,3.4637622856823462,27874.935569781417,45.85250729190351,0.02424535597930902,0.25585626900936426,714.253729540039,CEA_equilibrium,SST,,,,,,294.2143,169.9871,0.6149,3747.89,3552.84,1785.21,0.0,1.0,4.0426,21.01,12.96,0.09888,5.9148,5.7719,2.1367,1.1367,1.1337,1.1954,22.2566,22.5222,23.8678,1261.56,1219.4,862.21
case_0013,bell_0013,27909147.777749166,3.780738138638357,65114.554065978824,39.46247308923611,0.026048010956147564,0.17853268438987996,536.7864799153651,CEA_equilibrium,SST,,,,,,279.0915,161.4797,0.7904,3757.17,3569.69,2147.56,0.0,1.0,3.7957,20.59,12.7,0.1129,6.229,6.2159,2.6121,1.1335,1.1297,1.1571,23.0507,23.3395,25.4995,1239.44,1198.61,900.15
case_0014,bell_0014,23456981.105529834,3.5532462102539473,68096.40392762347,22.112649116027207,0.015731714861588322,0.15174253667240103,733.853711410847,CEA_equilibrium,SST,,,,,,234.5698,135.6497,1.2918,3726.06,3537.6,2165.83,0.0,1.0,3.5249,16.98,10.47,0.1744,6.2264,6.1368,2.4013,1.1346,1.1312,1.174,22.4321,22.7101,24.314,1251.79,1210.39,932.47
case_0015,bell_0015,28482536.32234569,3.3490490191787576,79033.35920798313,35.51926152546939,0.022251898450095484,0.22557708633835216,503.2972166542482,CEA_equilibrium,SST,,,,,,284.8254,164.4118,0.7939,3726.35,3527.35,1774.32,0.0,1.0,3.9304,20.15,12.43,0.1251,5.702,5.4787,2.1607,1.1386,1.1362,1.1988,21.9149,22.1672,23.2548,1268.73,1226.06,872.07
case_0016,bell_0016,24915910.94875614,3.752511508792521,34383.01815804537,41.15863851518576,0.02661902649993359,0.29906098491076366,702.2679686242647,CEA_equilibrium,SST,,,,,,249.1591,144.1751,0.6663,3741.41,3555.47,2111.57,0.0,1.0,3.8206,18.38,11.33,0.09626,6.3112,6.2924,2.4779,1.1333,1.1295,1.1636,22.948,23.2373,25.3665,1239.45,1198.7,897.42
case_0017,bell_0017,23035948.90738466,3.5348662042954886,87440.0216191047,41.9315123667178,0.022613383549614355,0.34133668229729347,843.9862560815004,CEA_equilibrium,SST,,,,,,230.3595,133.2064,0.558,3722.25,3533.67,1895.24,0.0,1.0,3.9309,16.66,10.27,0.08585,6.2188,6.1197,2.1694,1.1347,1.1313,1.1894,22.3781,22.6549,24.2441,1252.72,1211.28,879.26
case_0018,bell_0018,22001321.149934318,3.2691881726244483,45297.86197857009,49.557677965241986,0.034886121470275824,0.24943107329692626,872.068229488408,CEA_equilibrium,SST,,,,,,220.0132,126.956,0.3927,3677.95,3480.1,1588.17,0.0,1.0,4.1883,15.54,9.586,0.06789,5.7048,5.421,2.1414,1.139,1.1371,1.2051,21.6019,21.8486,22.8291,1269.81,1227.16,834.89
case_0019,bell_0019,25142728.02661183,3.3557232833777375,73060.04213557948,25.195820682603465,0.018034602400934397,0.2236548257532942,876.9196041387471,CEA_equilibrium,SST,,,,,,251.4273,145.1786,1.096,3711.77,3515.5,1917.62,0.0,1.0,3.6927,17.84,11.0,0.1601,5.8208,5.6032,2.2076,1.1378,1.1353,1.1943,21.9007,22.1567,23.2873,1266.24,1223.82,904.28
case_0020,bell_0020,21354115.653595887,3.524370843542613,25386.388150938878,23.545842657683465,0.01959969315584057,0.1971226435661616,593.3181828002753,CEA_equilibrium,SST,,,,,,213.5412,123.4897,1.0787,3711.22,3523.7,2115.42,0.0,1.0,3.5693,15.45,9.528,0.1482,6.2675,6.1631,2.3395,1.1345,1.1311,1.1785,22.3275,22.6048,24.1688,1252.16,1210.8,926.07
case_0021,bell_0021,21567817.993580274,3.9784427418003987,54048.34416869687,33.3699396403795,0.02856309401789777,0.16876061742394707,644.3422153587669,CEA_equilibrium,SST,,,,,,215.6782,124.8702,0.7738,3716.44,3534.81,2266.8,0.0,1.0,3.7027,16.34,10.07,0.1071,6.3876,6.3918,4.0402,1.1318,1.1279,1.1213,23.408,23.7071,26.0827,1222.32,1182.51,900.14
case_0022,bell_0022,22279430.085632004,3.4216867379419837,20509.995495389485,37.287402100797124,0.024930812481179527,0.30280255234207454,629.4879797978158,CEA_equilibrium,SST,,,,,,222.7943,128.7472,0.6026,3706.16,3514.79,1831.38,0.0,1.0,3.9136,15.95,9.835,0.09357,6.0648,5.8959,2.1643,1.1361,1.1331,1.195,22.058,22.3246,23.6417,1259.8,1217.91,877.29
