case_id,campaign,geometry_id,pc_pa,pa_pa,npr,of_ratio,t0_k,gas_model,turbulence_model,wall_model,evidence_status,physics_accepted,training_eligible,pressure_chamber_bar,pressure_throat_bar,pressure_exit_bar,temperature_chamber_k,temperature_throat_k,temperature_exit_k,mach_chamber,mach_throat,mach_exit,density_chamber_kg_m3,density_throat_kg_m3,density_exit_kg_m3,cp_chamber_kj_kg_k,cp_throat_kj_kg_k,cp_exit_kj_kg_k,gamma_chamber,gamma_throat,gamma_exit,molecular_weight_chamber_kg_kmol,molecular_weight_throat_kg_kmol,molecular_weight_exit_kg_kmol,sound_speed_chamber_m_s,sound_speed_throat_m_s,sound_speed_exit_m_s
hot_methalox_ground_throttle_exploratory_001,hot_methalox_ground_throttle_exploratory,DLR_PAR,2559971.7977145975,101325.0,25.264957293013545,3.2711208758272305,3406.26,equilibrium_products_LUT,SST_2003m,adiabatic,exploratory_not_validated_below_5.1MPa,false,false,25.5997,14.8375,0.0934,3406.26,3247.89,1836.76,0.0,1.0,3.7331,1.902,1.172,0.01396,7.8469,7.5637,2.2479,1.1276,1.1247,1.1958,21.0429,21.3282,22.8313,1231.91,1193.35,894.36
hot_methalox_ground_throttle_exploratory_002,hot_methalox_ground_throttle_exploratory,DLR_PAR,2998033.051501125,101325.0,29.58828572910067,3.1590683292722197,3409.66,equilibrium_products_LUT,SST_2003m,adiabatic,exploratory_not_validated_below_5.1MPa,false,false,29.9803,17.3542,0.1042,3409.66,3244.61,1719.22,0.0,1.0,3.8035,2.195,1.353,0.01621,7.3059,6.916,2.2138,1.1304,1.1283,1.2041,20.76,21.0305,22.2378,1242.44,1203.04,879.78
hot_methalox_ground_throttle_exploratory_003,hot_methalox_ground_throttle_exploratory,DLR_PAR,3443315.5431212774,101325.0,33.98288224151273,3.1936517429830267,3432.81,equilibrium_products_LUT,SST_2003m,adiabatic,exploratory_not_validated_below_5.1MPa,false,false,34.4332,19.9327,0.1207,3432.81,3266.73,1749.19,0.0,1.0,3.7919,2.521,1.554,0.01861,7.274,6.9188,2.2139,1.1305,1.1281,1.2023,20.8969,21.1696,22.4221,1242.6,1203.1,883.08
hot_methalox_ground_throttle_exploratory_004,hot_methalox_ground_throttle_exploratory,DLR_PAR,4938889.518787262,101325.0,48.74304977831001,3.1551986828150502,3470.26,equilibrium_products_LUT,SST_2003m,adiabatic,exploratory_not_validated_below_5.1MPa,false,false,49.3889,28.556,0.1687,3470.26,3295.89,1701.17,0.0,1.0,3.8312,3.573,2.202,0.0265,6.7499,6.361,2.2037,1.1333,1.1315,1.2052,20.8714,21.133,22.2181,1251.7,1211.28,875.91
hot_methalox_ground_throttle_exploratory_005,hot_methalox_ground_throttle_exploratory,DLR_PAR,3563497.00527115,101325.0,35.16898105374932,3.212038875517553,3440.09,equilibrium_products_LUT,SST_2003m,adiabatic,exploratory_not_validated_below_5.1MPa,false,false,35.635,20.6304,0.1256,3440.09,3274.13,1766.36,0.0,1.0,3.7837,2.611,1.609,0.01926,7.2975,6.9601,2.2156,1.1303,1.1279,1.2012,20.9594,21.2339,22.5199,1241.97,1202.49,885.07
hot_methalox_ground_throttle_exploratory_006,hot_methalox_ground_throttle_exploratory,DLR_PAR,3932227.8469366776,101325.0,38.80807152170419,3.105264345885516,3431.91,equilibrium_products_LUT,SST_2003m,adiabatic,exploratory_not_validated_below_5.1MPa,false,false,39.3223,22.7337,0.1328,3431.91,3259.32,1659.32,0.0,1.0,3.8465,2.847,1.755,0.02114,6.8002,6.3616,2.208,1.1332,1.1317,1.2075,20.6622,20.9206,21.9515,1250.99,1210.75,871.17
hot_methalox_ground_throttle_exploratory_007,hot_methalox_ground_throttle_exploratory,DLR_PAR,2370954.406922216,101325.0,23.399500685144,3.144660486376349,3378.2,equilibrium_products_LUT,SST_2003m,adiabatic,exploratory_not_validated_below_5.1MPa,false,false,23.7095,13.7293,0.0826,3378.2,3216.67,1712.05,0.0,1.0,3.7989,1.744,1.075,0.01286,7.5197,7.1131,2.2183,1.1294,1.1272,1.2045,20.6596,20.9318,22.1606,1239.13,1200.12,879.62
hot_methalox_ground_throttle_exploratory_008,hot_methalox_ground_throttle_exploratory,DLR_PAR,2723445.5341915283,101325.0,26.8783176332744,3.2075519750574997,3405.61,equilibrium_products_LUT,SST_2003m,adiabatic,exploratory_not_validated_below_5.1MPa,false,false,27.2345,15.7752,0.0967,3405.61,3244.13,1770.44,0.0,1.0,3.7715,2.008,1.237,0.01478,7.5833,7.2403,2.2237,1.1289,1.1264,1.2008,20.8782,21.156,22.4952,1237.38,1198.41,886.44
hot_methalox_ground_throttle_exploratory_009,hot_methalox_ground_throttle_exploratory,DLR_PAR,3712779.664363521,101325.0,36.64228634950428,3.2593710065103987,3452.28,equilibrium_products_LUT,SST_2003m,adiabatic,exploratory_not_validated_below_5.1MPa,false,false,37.1278,21.5016,0.133,3452.28,3287.32,1812.31,0.0,1.0,3.7603,2.73,1.682,0.0201,7.3982,7.1051,2.2247,1.1297,1.127,1.1981,21.1066,21.3858,22.7712,1239.49,1200.16,890.4
hot_methalox_ground_throttle_exploratory_010,hot_methalox_ground_throttle_exploratory,DLR_PAR,4738032.136874271,101325.0,46.76074154329406,3.1415202753669074,3462.34,equilibrium_products_LUT,SST_2003m,adiabatic,exploratory_not_validated_below_5.1MPa,false,false,47.3803,27.3928,0.1612,3462.34,3288.07,1689.14,0.0,1.0,3.8364,3.427,2.112,0.02542,6.7428,6.3407,2.2044,1.1334,1.1317,1.2058,20.8193,21.0797,22.1451,1251.88,1211.47,874.5
hot_methalox_ground_throttle_exploratory_011,hot_methalox_ground_throttle_exploratory,DLR_PAR,3280891.177662549,101325.0,32.3798783879847,3.2554596389631576,3435.97,equilibrium_products_LUT,SST_2003m,adiabatic,exploratory_not_validated_below_5.1MPa,false,false,32.8089,19.0045,0.1179,3435.97,3272.99,1812.47,0.0,1.0,3.7555,2.419,1.491,0.0178,7.5228,7.2258,2.2289,1.1291,1.1264,1.198,21.0633,21.3438,22.7499,1237.51,1198.4,890.81
hot_methalox_ground_throttle_exploratory_012,hot_methalox_ground_throttle_exploratory,DLR_PAR,5199776.420813104,101325.0,51.317803314217656,3.294631430907986,3500.22,equilibrium_products_LUT,SST_2003m,adiabatic,exploratory_not_validated_below_5.1MPa,false,false,51.9978,30.1016,0.1865,3500.22,3330.64,1836.54,0.0,1.0,3.7598,3.805,2.345,0.02804,7.1372,6.8756,2.2207,1.1309,1.1281,1.1966,21.2957,21.5738,22.9595,1243.17,1203.35,892.11
hot_methalox_ground_throttle_exploratory_013,hot_methalox_ground_throttle_exploratory,DLR_PAR,4066252.89295512,101325.0,40.13079588408705,3.132117395853095,3441.78,equilibrium_products_LUT,SST_2003m,adiabatic,exploratory_not_validated_below_5.1MPa,false,false,40.6625,23.5145,0.1386,3441.78,3269.93,1684.23,0.0,1.0,3.8338,2.949,1.818,0.02186,6.8698,6.4569,2.2069,1.1327,1.131,1.2061,20.7532,21.015,22.0947,1249.78,1209.62,874.33
hot_methalox_ground_throttle_exploratory_014,hot_methalox_ground_throttle_exploratory,DLR_PAR,2928883.2207461037,101325.0,28.905829960484617,3.178692975871261,3410.15,equilibrium_products_LUT,SST_2003m,adiabatic,exploratory_not_validated_below_5.1MPa,false,false,29.2888,16.9581,0.1026,3410.15,3246.32,1739.34,0.0,1.0,3.7914,2.15,1.325,0.01586,7.4027,7.0319,2.2165,1.1299,1.1276,1.2029,20.8123,21.0856,22.3422,1240.68,1201.42,882.38
hot_methalox_ground_throttle_exploratory_015,hot_methalox_ground_throttle_exploratory,DLR_PAR,2015501.0809350065,101325.0,19.891449108660314,3.2870942681089916,3377.4,equilibrium_products_LUT,SST_2003m,adiabatic,exploratory_not_validated_below_5.1MPa,false,false,20.155,11.6883,0.0747,3377.4,3223.34,1861.5,0.0,1.0,3.7109,1.509,0.9296,0.01105,8.1679,7.8983,2.2738,1.1261,1.1232,1.1933,21.025,21.3145,22.9134,1226.41,1188.39,897.79
hot_methalox_ground_throttle_exploratory_016,hot_methalox_ground_throttle_exploratory,DLR_PAR,2261264.9059175844,101325.0,22.316949478584597,3.1090965225888443,3365.9,equilibrium_products_LUT,SST_2003m,adiabatic,exploratory_not_validated_below_5.1MPa,false,false,22.6126,13.0906,0.0779,3365.9,3203.67,1678.34,0.0,1.0,3.8163,1.66,1.023,0.01226,7.4347,6.9912,2.2171,1.1298,1.128,1.2066,20.5417,20.81,21.9712,1240.68,1201.59,875.4
hot_methalox_ground_throttle_exploratory_017,hot_methalox_ground_throttle_exploratory,DLR_PAR,3247654.3238173514,101325.0,32.05185614426204,3.2761551388212884,3437.35,equilibrium_products_LUT,SST_2003m,adiabatic,exploratory_not_validated_below_5.1MPa,false,false,32.4765,18.8153,0.1177,3437.35,3275.21,1833.69,0.0,1.0,3.7438,2.4,1.479,0.01764,7.5928,7.3146,2.2367,1.1287,1.1259,1.1964,21.1191,21.4019,22.8593,1235.92,1196.92,893.27
hot_methalox_ground_throttle_exploratory_018,hot_methalox_ground_throttle_exploratory,DLR_PAR,4325104.872470283,101325.0,42.685466296277156,3.171734702444782,3457.23,equilibrium_products_LUT,SST_2003m,adiabatic,exploratory_not_validated_below_5.1MPa,false,false,43.251,25.0193,0.1492,3457.23,3286.11,1720.9,0.0,1.0,3.8157,3.143,1.937,0.02326,6.9501,6.5755,2.2066,1.1322,1.1301,1.204,20.8887,21.155,22.306,1248.21,1208.14,878.83
