case_id,species,chamber,throat,exit
hot_methalox_ground_throttle_exploratory_001,CO,0.256986,0.246537,0.169885
hot_methalox_ground_throttle_exploratory_001,CO2,0.238485,0.254916,0.375371
hot_methalox_ground_throttle_exploratory_001,COOH,1.421e-05,8.356e-06,6.379e-09
hot_methalox_ground_throttle_exploratory_001,H,0.001406,0.001203,2.231e-05
hot_methalox_ground_throttle_exploratory_001,H2,0.009348,0.008895,0.008947
hot_methalox_ground_throttle_exploratory_001,H2O,0.401421,0.411826,0.4456
hot_methalox_ground_throttle_exploratory_001,H2O2,1.631e-05,9.616e-06,3.67e-10
hot_methalox_ground_throttle_exploratory_001,"HCHO,formaldehy",2.886e-07,1.536e-07,7.24e-10
hot_methalox_ground_throttle_exploratory_001,HCO,1.055e-05,5.811e-06,4.38e-09
hot_methalox_ground_throttle_exploratory_001,HCOOH,1.945e-06,1.113e-06,6.147e-09
hot_methalox_ground_throttle_exploratory_001,HO2,0.0001093,6.676e-05,4.49e-10
hot_methalox_ground_throttle_exploratory_001,O,0.008234,0.006291,5.383e-07
hot_methalox_ground_throttle_exploratory_001,O2,0.030576,0.025402,2.64e-06
hot_methalox_ground_throttle_exploratory_001,O3,1.03e-07,4.375e-08,4.47e-17
hot_methalox_ground_throttle_exploratory_001,OH,0.053391,0.044838,0.000172
hot_methalox_ground_throttle_exploratory_002,CO,0.273721,0.264057,0.189452
hot_methalox_ground_throttle_exploratory_002,CO2,0.22949,0.244691,0.361931
hot_methalox_ground_throttle_exploratory_002,COOH,1.568e-05,9.113e-06,3.279e-09
hot_methalox_ground_throttle_exploratory_002,H,0.001398,0.001183,8.825e-06
hot_methalox_ground_throttle_exploratory_002,H2,0.010511,0.01009,0.011509
hot_methalox_ground_throttle_exploratory_002,H2O,0.408068,0.418374,0.437059
hot_methalox_ground_throttle_exploratory_002,H2O2,1.518e-05,8.63e-06,5.47e-11
hot_methalox_ground_throttle_exploratory_002,"HCHO,formaldehy",3.994e-07,2.151e-07,1.148e-09
hot_methalox_ground_throttle_exploratory_002,HCO,1.287e-05,7.078e-06,2.939e-09
hot_methalox_ground_throttle_exploratory_002,HCOOH,2.433e-06,1.396e-06,7.69e-09
hot_methalox_ground_throttle_exploratory_002,HO2,8.977e-05,5.209e-05,2.9e-11
hot_methalox_ground_throttle_exploratory_002,O,0.00656,0.004793,3.924e-08
hot_methalox_ground_throttle_exploratory_002,O2,0.022017,0.017334,1.493e-07
hot_methalox_ground_throttle_exploratory_002,O3,6.807e-08,2.631e-08,3.26e-19
hot_methalox_ground_throttle_exploratory_002,OH,0.048099,0.0394,3.962e-05
hot_methalox_ground_throttle_exploratory_003,CO,0.267496,0.257607,0.183301
hot_methalox_ground_throttle_exploratory_003,CO2,0.233827,0.249382,0.366157
hot_methalox_ground_throttle_exploratory_003,COOH,1.751e-05,1.019e-05,4.278e-09
hot_methalox_ground_throttle_exploratory_003,H,0.001342,0.001138,1.033e-05
hot_methalox_ground_throttle_exploratory_003,H2,0.010033,0.009607,0.010705
hot_methalox_ground_throttle_exploratory_003,H2O,0.407914,0.41816,0.439773
hot_methalox_ground_throttle_exploratory_003,H2O2,1.733e-05,9.924e-06,9.17e-11
hot_methalox_ground_throttle_exploratory_003,"HCHO,formaldehy",4.312e-07,2.313e-07,1.201e-09
hot_methalox_ground_throttle_exploratory_003,HCO,1.371e-05,7.528e-06,3.55e-09
hot_methalox_ground_throttle_exploratory_003,HCOOH,2.753e-06,1.576e-06,8.616e-09
hot_methalox_ground_throttle_exploratory_003,HO2,0.0001011,5.927e-05,5.57e-11
hot_methalox_ground_throttle_exploratory_003,O,0.006707,0.004945,6.664e-08
hot_methalox_ground_throttle_exploratory_003,O2,0.023547,0.018751,2.73e-07
hot_methalox_ground_throttle_exploratory_003,O3,8.457e-08,3.329e-08,1.04e-18
hot_methalox_ground_throttle_exploratory_003,OH,0.048981,0.040321,5.39e-05
hot_methalox_ground_throttle_exploratory_004,CO,0.272069,0.262579,0.189134
hot_methalox_ground_throttle_exploratory_004,CO2,0.232683,0.247618,0.363045
hot_methalox_ground_throttle_exploratory_004,COOH,2.262e-05,1.303e-05,3.691e-09
hot_methalox_ground_throttle_exploratory_004,H,0.001241,0.001042,5.911e-06
hot_methalox_ground_throttle_exploratory_004,H2,0.010313,0.009915,0.011675
hot_methalox_ground_throttle_exploratory_004,H2O,0.413102,0.423058,0.436115
hot_methalox_ground_throttle_exploratory_004,H2O2,1.986e-05,1.109e-05,4.11e-11
hot_methalox_ground_throttle_exploratory_004,"HCHO,formaldehy",6.471e-07,3.484e-07,1.885e-09
hot_methalox_ground_throttle_exploratory_004,HCO,1.793e-05,9.8e-06,3.359e-09
hot_methalox_ground_throttle_exploratory_004,HCOOH,4.072e-06,2.329e-06,1.25e-08
hot_methalox_ground_throttle_exploratory_004,HO2,0.000101,5.72e-05,1.52e-11
hot_methalox_ground_throttle_exploratory_004,O,0.005592,0.004001,1.64e-08
hot_methalox_ground_throttle_exploratory_004,O2,0.019306,0.014848,6.156e-08
hot_methalox_ground_throttle_exploratory_004,O3,8.061e-08,2.974e-08,9.84e-20
hot_methalox_ground_throttle_exploratory_004,OH,0.045529,0.036847,2.496e-05
hot_methalox_ground_throttle_exploratory_005,CO,0.264397,0.254383,0.180027
hot_methalox_ground_throttle_exploratory_005,CO2,0.23584,0.251593,0.368445
hot_methalox_ground_throttle_exploratory_005,COOH,1.803e-05,1.05e-05,4.86e-09
hot_methalox_ground_throttle_exploratory_005,H,0.001325,0.001124,1.151e-05
hot_methalox_ground_throttle_exploratory_005,H2,0.009807,0.009376,0.010286
hot_methalox_ground_throttle_exploratory_005,H2O,0.40742,0.417652,0.441166
hot_methalox_ground_throttle_exploratory_005,H2O2,1.818e-05,1.046e-05,1.22e-10
hot_methalox_ground_throttle_exploratory_005,"HCHO,formaldehy",4.326e-07,2.315e-07,1.181e-09
hot_methalox_ground_throttle_exploratory_005,HCO,1.38e-05,7.579e-06,3.865e-09
hot_methalox_ground_throttle_exploratory_005,HCOOH,2.822e-06,1.615e-06,8.805e-09
hot_methalox_ground_throttle_exploratory_005,HO2,0.0001064,6.28e-05,8.19e-11
hot_methalox_ground_throttle_exploratory_005,O,0.006856,0.005085,9.333e-08
hot_methalox_ground_throttle_exploratory_005,O2,0.024589,0.019724,3.982e-07
hot_methalox_ground_throttle_exploratory_005,O3,9.322e-08,3.714e-08,2.06e-18
hot_methalox_ground_throttle_exploratory_005,OH,0.049606,0.040968,6.533e-05
hot_methalox_ground_throttle_exploratory_006,CO,0.281519,0.272363,0.197642
hot_methalox_ground_throttle_exploratory_006,CO2,0.225873,0.24028,0.357708
hot_methalox_ground_throttle_exploratory_006,COOH,1.884e-05,1.083e-05,2.455e-09
hot_methalox_ground_throttle_exploratory_006,H,0.001324,0.001108,4.711e-06
hot_methalox_ground_throttle_exploratory_006,H2,0.011065,0.010678,0.012903
hot_methalox_ground_throttle_exploratory_006,H2O,0.412864,0.422895,0.431726
hot_methalox_ground_throttle_exploratory_006,H2O2,1.605e-05,8.856e-06,1.92e-11
hot_methalox_ground_throttle_exploratory_006,"HCHO,formaldehy",5.651e-07,3.062e-07,1.707e-09
hot_methalox_ground_throttle_exploratory_006,HCO,1.607e-05,8.796e-06,2.488e-09
hot_methalox_ground_throttle_exploratory_006,HCOOH,3.311e-06,1.899e-06,1.03e-08
hot_methalox_ground_throttle_exploratory_006,HO2,8.375e-05,4.667e-05,5.86e-12
hot_methalox_ground_throttle_exploratory_006,O,0.005426,0.003825,7.667e-09
hot_methalox_ground_throttle_exploratory_006,O2,0.017482,0.013202,2.595e-08
hot_methalox_ground_throttle_exploratory_006,O3,5.739e-08,2.057e-08,1.83e-20
hot_methalox_ground_throttle_exploratory_006,OH,0.044309,0.035571,1.599e-05
hot_methalox_ground_throttle_exploratory_007,CO,0.277072,0.267465,0.19232
