case_id,species,chamber,throat,exit
case_0001,CO,0.151876,0.139316,0.023171
case_0001,CO2,0.312922,0.332701,0.515242
case_0001,COOH,6.014e-05,3.47e-05,3.705e-08
case_0001,H,0.0005813,0.0004925,2.532e-05
case_0001,H2,0.003786,0.003435,0.0006727
case_0001,H2O,0.38036,0.388463,0.44288
case_0001,H2O2,0.000105,6.569e-05,1.973e-07
case_0001,"HCHO,formaldehy",6.392e-07,3.089e-07,4.45e-11
case_0001,HCO,1.872e-05,9.703e-06,1.92e-09
case_0001,HCOOH,1.014e-05,5.495e-06,4.715e-09
case_0001,HO2,0.0005654,0.0003789,1.637e-06
case_0001,O,0.009336,0.007686,0.0002096
case_0001,O2,0.079931,0.074694,0.013048
case_0001,O3,2.28e-06,1.147e-06,1.77e-10
case_0001,OH,0.060445,0.052717,0.004749
case_0002,CO,0.173844,0.161599,0.065158
case_0002,CO2,0.305334,0.324633,0.476239
case_0002,COOH,7.973e-05,4.608e-05,8.468e-08
case_0002,H,0.0006115,0.0005189,3.278e-05
case_0002,H2,0.004609,0.004236,0.002093
case_0002,H2O,0.397326,0.40567,0.453643
case_0002,H2O2,0.0001087,6.648e-05,6.827e-08
case_0002,"HCHO,formaldehy",1.178e-06,5.834e-07,7.47e-10
case_0002,HCO,2.884e-05,1.518e-05,1.333e-08
case_0002,HCOOH,1.605e-05,8.794e-06,2.602e-08
case_0002,HO2,0.0004897,0.0003177,2.344e-07
case_0002,O,0.00742,0.00596,3.732e-05
case_0002,O2,0.054407,0.048955,0.0007646
case_0002,O3,1.588e-06,7.489e-07,3.5e-12
case_0002,OH,0.055725,0.047971,0.002033
case_0003,CO,0.160443,0.147962,0.050167
case_0003,CO2,0.310721,0.330383,0.484102
case_0003,COOH,6.924e-05,3.999e-05,2.123e-07
case_0003,H,0.0005906,0.0005009,6.34e-05
case_0003,H2,0.004091,0.003731,0.001374
case_0003,H2O,0.387761,0.395958,0.44389
case_0003,H2O2,0.0001091,6.769e-05,5.851e-07
case_0003,"HCHO,formaldehy",8.435e-07,4.116e-07,6.11e-10
case_0003,HCO,2.281e-05,1.19e-05,2.224e-08
case_0003,HCOOH,1.263e-05,6.873e-06,3.118e-08
