"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,     -0.2530662323,       3.072487111,      -14.83197885,       6.752146648,       3.132859979,       7.183707349
          0,           0,           1,     -0.1404945314,       3.193630954,      -1.181931751,       6.879125327,       3.548036109,       8.821732736
          0,           0,           2,     -0.1004868039,       3.257135367,      -1.158485768,       6.929277267,       3.775314142,       8.835459191
          0,           0,           3,    -0.09896836992,       3.283926405,      -1.080316422,       6.938652268,       3.913692793,       8.836292842
          0,           0,           4,     -0.1243512655,       3.282789922,     -0.9927808762,       6.919624113,       3.996293049,       8.836514235
          0,           0,           5,     -0.1459131683,        3.20676817,     -0.8936254803,       6.908412532,       3.733232846,       8.835250822
          0,           0,           6,     -0.1706137494,       3.189714705,     -0.7893529094,       6.883500268,       3.786874198,        8.83523261
          0,           0,           7,     -0.1998804546,       3.168493369,     -0.7032866077,       6.853939748,       3.817486187,        8.83511079
          0,           0,           8,     -0.2269959878,       3.148052153,     -0.6342266607,        6.82651528,       3.833854649,       8.834981745
          0,           0,           9,     -0.2517181822,       3.128900145,     -0.5794602397,       6.801475161,       3.843122353,       8.834866364
          0,           0,          10,     -0.2742895731,       3.111033169,     -0.5328691424,       6.778584334,        3.84836303,        8.83476735
          0,           0,          11,     -0.2950109465,       3.094356633,     -0.4947028849,       6.757543025,         3.8511981,         8.8346833
          0,           0,          12,     -0.3141507298,       3.078732693,     -0.4614881617,       6.738086517,       3.852475839,       8.834611705
          0,           0,          13,     -0.3319306217,       3.064044434,     -0.4320758088,       6.719994225,       3.852726916,       8.834551759
          0,           0,          14,     -0.3485381445,       3.050187703,     -0.4054634018,       6.703079896,       3.852290182,        8.83449974
          0,           0,          15,     -0.3641258536,       3.037071967,     -0.3811045167,       6.687191685,       3.851051055,       8.834452501
          0,           0,          16,     -0.3788181654,       3.024619418,     -0.3587633484,       6.672205366,       3.848941392,       8.834408024
          0,           0,          17,     -0.3927199215,       3.012762351,     -0.3381894985,       6.658016032,       3.846009729,       8.834363914
          0,           0,          18,     -0.4065565184,       3.000893038,     -0.3182287013,       6.643884915,        3.84235814,       8.834314838
          0,           0,          19,     -0.4203385159,       2.989013713,     -0.2995007093,       6.629800811,       3.838000672,       8.834252231
          0,           0,          20,     -0.4340759394,       2.977108287,     -0.2802170907,       6.615756528,       3.832912957,        8.83416229
          0,           0,          21,     -0.4477779866,       2.965179894,     -0.2612675012,       6.601742238,       3.827097107,       8.834018348
          0,           0,          22,     -0.4614530206,       2.953225498,     -0.2425542363,       6.587750172,       3.820539107,       8.833770222
          0,           0,          23,      -0.475108595,       2.941242443,      -0.224006793,       6.573773408,       3.813220688,       8.833370648
          0,           0,          24,     -0.4887514214,        2.92922848,      -0.205564738,       6.559805899,       3.805119859,       8.832944654
          0,           0,          25,     -0.5023872645,       2.917185959,     -0.1876093979,       6.545841742,       3.796217263,        8.83248823
          0,           0,          26,     -0.5160194236,       2.905104715,     -0.1691425633,       6.531880193,       3.786472273,       8.831998489
          0,           0,          27,     -0.5296457911,       2.892988062,     -0.1506689961,         6.5179236,       3.775860679,       8.831472369
          0,           0,          28,     -0.5432718038,       2.880836354,     -0.1321759944,       6.503967078,       3.764349342,       8.830906516
          0,           0,          29,     -0.5568998618,       2.868649888,     -0.1135860946,       6.490008891,        3.75190267,       8.830297275
          0,           0,          30,     -0.5705313417,       2.856429299,    -0.09476450636,       6.476048409,       3.738483226,       8.829640655
          0,           0,          31,     -0.5841664369,       2.844175673,    -0.07574764489,       6.462086109,       3.724051587,       8.828932295
          0,           0,          32,     -0.5978042676,       2.831893054,    -0.05675359352,       6.448122919,       3.708570318,       8.828167441
          0,           0,          33,     -0.6114428297,       2.819577634,    -0.03725183952,       6.434162527,       3.691988444,       8.827340865
          0,           0,          34,     -0.6250693583,       2.807235454,    -0.01751477574,       6.420217874,       3.674265278,        8.82644688
          0,           0,          35,     -0.6386820906,       2.794868835,     0.00243230907,       6.406290778,       3.655353968,       8.825479255
          0,           0,          36,     -0.6522800724,        2.78247962,     0.02265585387,       6.392381968,       3.635205217,       8.824431173
          0,           0,          37,     -0.6658609684,       2.770069449,     0.04322251807,       6.378493398,       3.613767005,       8.823295177
          0,           0,          38,     -0.6794216207,        2.75763957,     0.06410246024,        6.36462753,       3.590983825,       8.822063115
          0,           0,          39,     -0.6929590772,       2.745192235,     0.08517026593,       6.350785897,       3.566799033,       8.820726071
          0,           0,          40,     -0.7064703911,       2.732723604,      0.1066910325,        6.33697083,       3.541140928,        8.81927429
          0,           0,          41,     -0.7199536991,       2.720234048,      0.1285161659,       6.323181986,        3.51394061,       8.817697126
          0,           0,          42,     -0.7334067482,       2.707720917,      0.1506372297,       6.309419411,       3.485117316,        8.81598294
          0,           0,          43,     -0.7468297399,       2.695180055,      0.1730020783,       6.295680294,       3.454579526,       8.814119026
          0,           0,          44,     -0.7602244583,       2.682605696,      0.1956087964,        6.28195988,       3.422222404,       8.812091518
          0,           0,          45,     -0.7735942691,       2.669990175,      0.2184504279,         6.2682517,       3.387925217,       8.809885286
          0,           0,          46,     -0.7869442495,       2.657325101,       0.241476424,       6.254547176,       3.351551747,        8.80748384
          0,           0,          47,     -0.8002810046,       2.644596814,      0.2648076765,       6.240836942,       3.312932248,       8.804869206
          0,           0,          48,     -0.8136134623,       2.631793595,      0.2883465815,       6.227108578,       3.271881473,       8.802021821
          0,           0,          49,     -0.8269534404,       2.618900892,      0.3120673342,       6.213347464,       3.228180095,       8.798920394
