"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
100, -2.000000000000000e-01, 7.406854766121000e-02, 8.628194194260291e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.948334952911724e+05, 1.000000000000000e-10, 3.390040075099873e+10
201, -1.966666666667000e-01, 7.403809515010000e-02, 7.443554262103770e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.460340714990373e+05, 1.000000000000000e-10, 3.864979774031923e+10
302, -1.933333333333000e-01, 7.394682108500000e-02, 7.443763889996169e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.460561587169734e+05, 1.000000000000000e-10, 3.879551862594219e+10
403, -1.900000000000000e-01, 7.379497564178000e-02, 7.444316560752390e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.461181772913507e+05, 1.000000000000000e-10, 3.902920209363638e+10
504, -1.866666666667000e-01, 7.358297501824000e-02, 7.444859054242885e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.461790557298032e+05, 1.000000000000000e-10, 3.935310223811317e+10
605, -1.833333333333000e-01, 7.331140029335000e-02, 7.445388127674542e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.462384277452643e+05, 1.000000000000000e-10, 3.976808164429144e+10
706, -1.800000000000000e-01, 7.298099583456000e-02, 7.445900717500911e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.462959501870001e+05, 1.000000000000000e-10, 4.027527613821114e+10
807, -1.766666666667000e-01, 7.259266725752000e-02, 7.446393952160243e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.463513022852384e+05, 1.000000000000000e-10, 4.087609987058962e+10
908, -1.733333333333000e-01, 7.214747894387000e-02, 7.446865326144358e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.464042014494913e+05, 1.000000000000000e-10, 4.157224675559300e+10
1009, -1.700000000000000e-01, 7.164665112382999e-02, 7.447312647300548e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.464543994176426e+05, 1.000000000000000e-10, 4.236569695071998e+10
1110, -1.666666666667000e-01, 7.109155653165000e-02, 7.447733804286093e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.465016629624667e+05, 1.000000000000000e-10, 4.325872320016773e+10
1211, -1.633333333333000e-01, 7.048371664302000e-02, 7.448127203856625e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.465458112941738e+05, 1.000000000000000e-10, 4.425389435170381e+10
1312, -1.600000000000000e-01, 6.982479750482000e-02, 7.448491587327349e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.465867004962909e+05, 1.000000000000000e-10, 4.535408196176225e+10
1413, -1.566666666667000e-01, 6.911660516861000e-02, 7.448825731156086e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.466241979499235e+05, 1.000000000000000e-10, 4.656246822827412e+10
1514, -1.533333333333000e-01, 6.836108074036000e-02, 7.449128970172457e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.466582266529377e+05, 1.000000000000000e-10, 4.788254945497243e+10
1615, -1.500000000000000e-01, 6.756029506001000e-02, 7.449400838761344e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.466887342357383e+05, 1.000000000000000e-10, 4.931814242695255e+10
1716, -1.466666666667000e-01, 6.671644302544000e-02, 7.449641134027606e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.467156978687377e+05, 1.000000000000000e-10, 5.087338886184172e+10
1817, -1.433333333333000e-01, 6.583183757644000e-02, 7.449850002925389e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.467391309331257e+05, 1.000000000000000e-10, 5.255275757486037e+10
1918, -1.400000000000000e-01, 6.490890335504000e-02, 7.450027496346638e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.467590451644445e+05, 1.000000000000000e-10, 5.436104972687960e+10
2019, -1.366666666667000e-01, 6.395017005979001e-02, 7.450174178623543e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.467755009378094e+05, 1.000000000000000e-10, 5.630339241658979e+10
2120, -1.333333333333000e-01, 6.295826551203000e-02, 7.450290682033708e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.467885692269391e+05, 1.000000000000000e-10, 5.838523589672361e+10
2221, -1.300000000000000e-01, 6.193590845315000e-02, 7.450386810885662e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.467991478529811e+05, 1.000000000000000e-10, 6.061226941522653e+10
