x,r,cf_t,pressure_pa,yplus
-0.2,0.07406855,2899.05197276211,1702579.0,7.617385
-0.1966667,0.0740381,1932.1239955282122,1336401.0,4.525841
-0.1933333,0.07394682,1137.6467300775703,1336681.0,3.274019
-0.19,0.07379498,594.5653245766481,1353496.0,2.355731
-0.1866667,0.07358298,328.32545127155566,1356912.0,1.742628
-0.1833333,0.0733114,199.78884469276503,1337505.0,1.34303
-0.18,0.072981,134.65790678677206,1300739.0,1.083204
-0.1766667,0.07259267,98.9224340367453,1265066.0,0.9115397
-0.1733333,0.07214748,79.07536735291521,1246694.0,0.8034075
-0.17,0.07164665,68.60741167275741,1248597.0,0.7414695
-0.1666667,0.07109156,63.488557306349335,1266210.0,0.7093625
-0.1633333,0.07048372,61.313063469210825,1293501.0,0.6945476
-0.16,0.0698248,60.737235321285134,1325278.0,0.6888871
-0.1566667,0.06911661,61.05913580103238,1357625.0,0.6876772
-0.1533333,0.06836108,61.917465583719746,1387589.0,0.6882756
-0.15,0.0675603,63.08238093583668,1412676.0,0.6889082
-0.1466667,0.06671644,64.39105400057565,1430633.0,0.6882822
-0.1433333,0.06583184,65.70467413394786,1439330.0,0.685326
-0.14,0.0649089,66.91468404296253,1436964.0,0.6792536
-0.1366667,0.06395017,67.96254369539635,1422310.0,0.6696851
-0.1333333,0.06295827,68.82965282057883,1394697.0,0.6565528
-0.13,0.06193591,69.51167356704605,1354107.0,0.6399627
-0.1266667,0.0608859,70.0472676455803,1300975.0,0.6202663
-0.1233333,0.05981112,70.52221207894753,1236364.0,0.5980673
-0.12,0.05871452,71.01547896393193,1161460.0,0.5738627
-0.1166667,0.05759909,71.65858615984484,1077503.0,0.5482453
-0.1133333,0.0564679,72.70807384772311,985229.8,0.5219738
-0.11,0.05532405,74.18850669485568,882631.6,0.4940864
-0.1066667,0.05417066,75.6779158422825,764932.2,0.4613252
-0.1033333,0.05301092,76.8610713056111,640684.7,0.4239893
-0.1,0.05184798,77.57048028832773,516669.8,0.3828482
-0.09666667,0.05068505,78.42846107196307,400217.8,0.3410011
-0.09333333,0.0495253,78.7237899516737,299075.4,0.2992363
-0.09,0.04837192,73.58276676894971,219556.1,0.2528373
-0.08666667,0.04722807,58.71523568901469,164514.0,0.1998916
-0.08333333,0.04609688,38.09996620015517,131149.4,0.1461122
-0.08,0.04498145,21.50402674957453,113511.4,0.1024509
-0.07666667,0.04388485,14.077989968522704,105193.8,0.07908013
-0.07333333,0.04281007,11.99161779125944,101512.1,0.07053339
-0.07,0.04176006,11.277216886817385,99899.07,0.06653062
-0.06666667,0.0407377,10.928933782216303,99176.9,0.06390118
-0.06333333,0.0397458,10.83382304814577,98841.25,0.06217062
-0.06,0.03878706,10.911277897836138,98678.09,0.06102527
-0.05666667,0.03786413,11.086978273302242,98594.06,0.06020841
-0.05333333,0.03697952,11.313460592789706,98546.95,0.05956633
-0.05,0.03613567,11.564481308493084,98517.2,0.05902008
-0.04666667,0.03533489,11.824944572481865,98495.43,0.05852946
-0.04333333,0.03457936,12.088374894029117,98477.15,0.05808096
-0.04,0.03387117,12.348693428378908,98460.18,0.0576645
-0.03666667,0.03321225,12.601967760410806,98443.51,0.05727665
-0.03333333,0.03260441,12.83456750155558,98426.63,0.05689338
-0.03,0.03204932,13.064635066822952,98409.42,0.05656206
-0.02666667,0.03154849,13.27248466283131,98391.73,0.05624589
-0.02333333,0.0311033,13.468913973002893,98373.65,0.05597446
-0.02,0.03071497,13.633899167343323,98355.13,0.05571214
-0.01666667,0.03038457,13.810821473903719,98336.29,0.05555293
-0.01333333,0.03011299,13.928508561423236,98317.13,0.05535766
-0.01,0.02990099,14.029858380295225,98297.74,0.05521754
-0.006666667,0.02974915,14.092861778262602,98278.16,0.05509255
-0.003333333,0.02965787,14.126104165352977,98258.49,0.05500232
0.0,0.02962742,14.145558106583916,98243.19,0.05498265
0.0009861147,0.02963811,14.159514309572325,98215.38,0.05502036
0.001972229,0.02967003,14.150494729149338,98192.18,0.05503146
0.002958344,0.02972301,14.13444538041827,98169.32,0.055043
0.003944459,0.02979684,14.10908292336964,98146.76,0.0550507
0.004930573,0.02989133,14.063925623244012,98124.55,0.05503425
0.005916688,0.03000628,14.019775497916577,98102.66,0.05503432
0.006902803,0.0301415,13.963000025480829,98081.12,0.05502422
0.007888917,0.03029679,13.90162337710815,98059.98,0.05501973
0.008875032,0.03047196,13.821226858737534,98039.27,0.05499214
0.009861147,0.03066681,13.73298365915016,98018.92,0.05496323
0.01084726,0.03088116,13.615221682648347,97999.08,0.05488909
0.01183338,0.03111479,13.522524099881407,97979.53,0.05487911
0.01281949,0.03136753,13.41296206403579,97960.51,0.05484867
0.01380561,0.03163917,13.296718814638604,97941.92,0.0548178
0.01479172,0.03192952,13.174629380897244,97923.78,0.05478774
0.01577783,0.03223838,13.048215915401103,97906.05,0.05476113
0.01676395,0.03256556,12.91579485313729,97888.81,0.05473392
0.01775006,0.03291087,12.778963126981985,97872.03,0.05470885
0.01873618,0.03327411,12.648715625866837,97855.57,0.05470908
0.01972229,0.03365508,12.504305415995994,97839.67,0.0546894
0.02070841,0.03405359,12.356112863956277,97824.17,0.05467131
0.02169452,0.03446944,12.205009433914205,97809.1,0.05465609
0.02268064,0.03490245,12.051412037749724,97794.45,0.05464399
0.02366675,0.03535241,11.895701263604177,97780.22,0.05463517
0.02465287,0.03581913,11.73822606551852,97766.4,0.05462981
0.02563898,0.03630242,11.579325274361386,97752.98,0.054628
0.0266251,0.03680207,11.419298171580596,97739.98,0.05462979
0.02761121,0.03731791,11.25866704547264,97727.42,0.05463583
0.02859733,0.03784972,11.10601813702435,97714.94,0.0546665
0.02958344,0.03839732,10.945217247751943,97703.13,0.054682
0.03056955,0.03896051,10.783882087090287,97691.62,0.05470007
0.03155567,0.03953909,10.622802791580142,97680.45,0.05472211
0.03254178,0.04013288,10.462230794507049,97669.61,0.05474821
0.0335279,0.04074168,10.302376804407542,97659.11,0.05477842
0.03451401,0.04136528,10.143427786863183,97648.93,0.05481272
0.03550013,0.0420035,9.985559352078221,97639.07,0.05485113
0.03648624,0.04265614,9.828921370129695,97629.52,0.0548936
0.03747236,0.04332301,9.673620709731354,97620.3,0.05494003
0.03845847,0.04400392,9.51999892047379,97611.42,0.05499099
0.03944459,0.04469865,9.375860044863078,97602.53,0.05506897
0.0404307,0.04540703,9.226085035441283,97594.22,0.05512983
0.04141682,0.04612886,9.077588100143624,97586.1,0.05519304
0.04240293,0.04686394,8.930915880303289,97578.23,0.05525994
0.04338904,0.04761208,8.786292971612774,97570.58,0.05533095
0.04437516,0.04837308,8.643891222248095,97563.09,0.05540638
0.04536127,0.04914675,8.502987649518762,97555.68,0.0554837
0.04634739,0.04993289,8.345393257986162,97549.55,0.05550248
0.0473335,0.05073131,8.207537568912247,97542.61,0.05558182
0.04831962,0.05154181,8.073803089373309,97536.03,0.05567129
0.04930573,0.0523642,7.942381504787278,97529.73,0.05576475
0.05029185,0.05319828,7.8132402834700425,97523.65,0.05586202
0.05127796,0.05404386,7.686436178538343,97517.73,0.05596319
