case_id,geometry_id,pc_pa,t0_k,pa_pa,of_ratio,separated,x_sep_m,physics_accepted,provisional,p_s000,p_s001,p_s002,p_s003,p_s004,p_s005,p_s006,p_s007,p_s008,p_s009,p_s010,p_s011,p_s012,p_s013,p_s014,p_s015,p_s016,p_s017,p_s018,p_s019,p_s020,p_s021,p_s022,p_s023,p_s024,p_s025,p_s026,p_s027,p_s028,p_s029,p_s030,p_s031,p_s032,p_s033,p_s034,p_s035,p_s036,p_s037,p_s038,p_s039,p_s040,p_s041,p_s042,p_s043,p_s044,p_s045,p_s046,p_s047,p_s048,p_s049,p_s050,p_s051,p_s052,p_s053,p_s054,p_s055,p_s056,p_s057,p_s058,p_s059,p_s060,p_s061,p_s062,p_s063,p_s064,p_s065,p_s066,p_s067,p_s068,p_s069,p_s070,p_s071,p_s072,p_s073,p_s074,p_s075,p_s076,p_s077,p_s078,p_s079,p_s080,p_s081,p_s082,p_s083,p_s084,p_s085,p_s086,p_s087,p_s088,p_s089,p_s090,p_s091,p_s092,p_s093,p_s094,p_s095,p_s096,p_s097,p_s098,p_s099,p_s100,p_s101,p_s102,p_s103,p_s104,p_s105,p_s106,p_s107,p_s108,p_s109,p_s110,p_s111,p_s112,p_s113,p_s114,p_s115,p_s116,p_s117,p_s118,p_s119,p_s120,p_s121,p_s122,p_s123,p_s124,p_s125,p_s126,p_s127
mock_0000,DLR_PAR,2704251.7229013536,3486.7809245113017,94403.06458422943,3.250883557465765,1,0.10559900317899926,0,1,1066020.821635636,1029003.4258359972,1003034.0845309643,973808.7424166605,947580.4929382892,918366.8866371791,892254.856069696,870077.0216875754,842140.0808877106,814066.6800601578,793479.4537833559,767820.0449864285,744275.0564746481,723506.8670958614,701639.0840811672,681003.4363429327,661357.0366087167,644034.2422005644,624776.282427423,610413.6918137104,581624.4494695928,576056.6511108307,551152.7318111346,532450.7033850807,520193.3989595618,504838.8832145508,494601.21556405025,475572.06520434364,458571.48390478315,450534.4197710962,436787.48493150773,422329.55445556936,412294.34889796877,395920.26209907536,387886.0507927299,376999.7834007766,365255.96458623075,352595.3962208992,344569.2941700121,335133.21994344244,326271.3026861127,311862.86573571863,304448.1666305044,298555.3710841573,289226.9236274951,282032.5860638469,268827.0449540161,267467.99570367363,258216.83906428659,248987.57157404663,236825.1106378669,233436.4040673118,224086.7136178346,220975.97396593244,214337.9366376835,210043.08121461494,198192.7808106552,197283.98762036572,190695.36410193006,183920.13941493919,181891.18967828565,176815.01001694944,168842.42271657637,163192.78339109875,159195.657403707,158155.36773614847,152337.4093973467,146815.92996098514,142930.41555692293,135509.10129954986,130906.21619603584,134136.5300503257,123824.0681441478,120068.83153793738,118168.53894840473,109968.4677648132,112051.17623326223,108917.29059893842,102914.18463455365,104488.00722312105,99486.8471311855,94441.45426751133,93568.96258448156,90645.19920916652,86482.83259225229,90568.6848162599,81491.82021482084,78500.30364067905,80336.72577914357,73903.58131864268,76285.19334484945,72084.60174978944,71244.30910260377,64373.48041874877,62278.5950162542,65842.38925031821,55109.62475531359,64715.593019588996,57946.606844108195,54764.91737898318,54660.16572746358,57051.60402772054,58830.95143052681,55762.70855145659,54016.066351085465,61560.92861775866,73905.72745853935,76306.32440630342,83347.76131775169,89314.77594546518,96630.31728248084,110600.83616948524,106416.60477679007,108572.32630126954,111307.68607101332,112430.55995216475,112738.41698355395,108462.43307958769,111846.74244834771,106433.0662694739,106793.25300281926,105607.01719526552,100549.23660841258,106072.59636756871,106708.58042887955,104795.51660387366,109716.56312828793,96732.08811154575
mock_0001,DLR_PAR,3996223.0720406426,3485.283459876996,69275.59896914125,3.2080988536284623,1,0.06058690428036325,0,1,1576454.9566218674,1534014.8143848623,1486722.339796656,1439615.1042413327,1402051.6812949565,1357924.2627219504,1317611.677959863,1279771.0841032497,1240567.7936192572,1209108.1541946263,1174685.9201724448,1133800.763877934,1104005.230064934,1074554.2272257784,1041566.133907625,1011448.5703639592,973552.5314297045,951748.3207604056,921134.5594044024,893169.5608995204,868194.417175531,842819.1105774075,817440.4816896362,794244.1331149183,772198.5931660332,751794.3100124657,729897.968388615,708404.6263121847,685485.8990249588,660552.5261449994,647551.1264211418,626230.2260676033,607069.3007363289,587394.8446820027,572571.8910399291,554906.9211582005,537002.4222604987,522369.1865131186,509524.2521389056,493916.4580492508,478463.0025892952,464819.929062956,452415.68991064746,437604.92891654803,430441.36739763845,411107.60923480015,399200.42205224396,390425.4510873434,376666.1162808651,368019.2051564615,351309.3802722536,341545.42733071785,338953.70796122134,328787.49411995115,318264.47623977053,308429.3837167673,304876.1177268197,296859.33166047325,294047.99546956626,294044.3375051111,281075.5796496046,282064.2269374961,286016.4120402303,284267.31277621427,278779.38082070823,278646.7656495049,273608.20019448304,272094.8470401711,262574.1543662214,260016.29440361026,249716.41998573902,249384.99532425497,244535.34481582444,236844.30024036363,227878.90652197506,225301.65241234636,221764.3462141809,215268.87367248672,212284.27339871493,207566.24584734847,202604.00568619155,194516.13129187084,195350.73487170227,189813.67885155173,185749.24100130968,181231.9393700448,175053.79590128388,176336.07322861638,170466.34323291483,167465.02742530667,164620.5783121833,161820.72892775535,160418.34234690946,155144.73233529364,151703.87346159574,151724.14452559262,150419.22469286347,145863.65997056384,144003.6993579393,138028.20714706474,135352.53451293512,135925.90530923678,130561.48203141273,129774.878244529,123430.68655181043,126687.43452568042,126119.50522163224,124745.65426016111,118908.14313255443,117876.56169252419,114049.07165937521,114189.17669368123,111521.9480251129,111330.37435243493,105790.0045812548,109398.30367010011,109960.81466448244,100402.21459313536,101598.0404846488,106499.9094939077,100584.03142072626,96388.65959128561,98682.8984729901,97359.56863074187,93628.87918034886,94262.44527419287,98610.64891254096,94345.69799169787
mock_0002,DLR_PAR,4834443.884644869,3486.656404086715,86102.77196702763,3.2473258310489994,1,0.06297158209878445,0,1,1908165.302469911,1850104.2822849574,1799493.8696184698,1745154.9025365103,1689935.3925356641,1643573.7593714888,1598524.490536861,1550075.6045148536,1502800.6458093673,1462160.697429692,1413059.4366769982,1374784.125400285,1332500.7147281235,1295390.3649653955,1251123.0198206317,1217417.7687951266,1185480.2544356762,1155610.3022144963,1120799.8133156642,1079837.847951268,1052765.5127361747,1015844.3952204367,988559.5601489113,963387.8507271304,930684.7796415495,910278.3605051449,878218.202532329,854570.4787468424,825239.2805976223,802962.5825839028,782462.930897851,757879.6223349491,737017.3573662685,714195.1188399477,696811.0893027246,674152.9877877525,653106.6286342477,633864.5769680688,614555.655411976,594792.6432454069,576910.072971309,564623.3021963899,544589.3739534232,528987.5459401641,512680.48820461467,499905.8681967452,489839.6538484662,470888.3154844352,455536.9497153659,438479.5020107781,429106.84500021016,417833.88204419264,404065.4342246331,391460.33991223865,381633.18319038337,372652.6235305029,360845.29521674453,350735.7975981977,343236.5594528452,336671.902077275,328758.2727078345,326271.3560066411,326748.85719821526,323111.00212614186,322579.56113295536,324879.7090621141,327228.67435965745,320580.47913794854,317897.95584797236,309358.3735824356,307745.87924969,302291.47830073134,292163.55449156713,286447.58241768484,281859.3253296511,276699.6472093404,267696.4206195555,266341.78164260916,256234.7988070373,249386.280045232,245552.00902817535,238040.32970194975,240809.07303584274,232415.6971862216,227235.98500194092,224290.24350361596,215373.4234939157,210201.02259606821,208855.2476057475,204485.86533450673,201573.35505121486,195821.3831228936,194087.8986218377,190391.4804347412,182664.8002948564,185312.86488612468,180939.79142825853,178650.36276252224,174725.02963050304,174335.26577213436,171120.99765415082,165732.34392284398,160071.402727593,156925.24297789615,159940.69913614492,158486.29777406232,151232.5387004137,152982.28421661205,144446.5451490328,146670.13571725535,138093.93973487493,145955.2424706682,139820.81374437435,138350.83229773224,136721.05162130724,131284.94027639373,129518.65529707065,128126.52162164463,126968.85196445412,126888.49924563848,125204.42850531651,123096.53033205154,121504.10240406626,119879.08878520591,119336.9472642092,115744.65779922645,117009.25834335737,112784.47525327875
mock_0003,DLR_PAR,2842052.478354954,3484.14513539811,67214.14140269755,3.1755752970888618,1,0.08446049819996089,0,1,1121223.207281153,1085460.9469021845,1056907.3381576305,1027606.1998684584,996346.7830175569,967381.3138651521,935536.7473311971,911041.2295227007,885957.9552953307,856612.2533836524,833876.8353093872,812426.3108428611,781631.8217395457,759095.6955302313,742392.9707608402,714563.6867406843,698040.2934014258,676927.2234681016,657729.6728044448,634887.3699651598,615383.2928799527,595644.9911936335,582726.7191647906,564651.4386044716,548061.6475305102,533305.1032865432,517312.2099587778,507182.6463740768,490738.6726580084,469191.24546006246,459598.6662077482,445346.430307606,428673.3067139313,414666.7983228421,408100.45883194124,393448.16904167534,385327.823377478,371308.93427281716,362341.156283116,351614.0651333017,339682.0708061093,331179.7867319402,323652.31050535716,313485.1052298351,304142.405568106,290598.0861981685,282894.48157847504,276401.7952106998,266632.2838000801,252998.790034406,252328.4225102944,243044.4872009426,238760.8458048178,230420.81046494466,226816.65460059672,216228.25664724014,207784.11180189456,203045.4379457419,198295.07491912192,195482.21380263576,186000.91524809648,180043.24279991057,177974.63735589597,168350.3023405962,164032.5996024063,159245.81706735666,161748.78232824896,155079.3514199389,147807.21175290504,144663.37001409073,140653.0465627295,138328.52003379006,131617.22498033202,125509.22223078032,122076.05484968559,125861.75521841057,121252.79854036408,118329.44242592629,107984.32728172492,107074.74206693661,110865.88883366018,108100.68654367603,110413.58023594347,101033.14092836136,100507.94424594201,109105.74804381744,115661.37483626351,120550.21151177649,123328.10827575871,123074.72999391989,121171.5107095403,120400.57552518451,125031.89415585581,126157.3856647192,120251.93312447712,121274.4484969027,121418.33852328171,110208.32195956088,114133.75772834224,115611.97706988637,115462.40099939762,110421.46596486459,110116.81162603952,110685.87262141085,101063.38651457528,109310.848843987,103999.22222765839,103349.03461922641,97952.79619420918,97322.99220643724,102056.11589484892,98885.36121478702,92314.46540463602,97356.43059072495,97235.54281161507,89785.77376924708,91703.3145162949,91910.1998581512,88403.9588801354,87773.58188953962,90682.35221230189,87106.99981456203,81847.59767642972,82423.08430374743,82068.40464755766,84536.66786778154,81961.2295580624,82644.98294125668
mock_0004,DLR_PAR,4993212.856526305,3484.903086537859,93393.52964168732,3.19723104393883,1,0.06713044835858561,0,1,1964064.0073610703,1908844.8755087866,1863466.4319528264,1805267.7527923614,1750099.9466124452,1696804.8785517837,1650375.5156236412,1598672.6678352896,1551505.9991818964,1504473.3305381783,1464447.1513733317,1417157.1139239909,1381742.3395905553,1338807.7414517615,1301898.2022435472,1264136.622032545,1224331.9978201669,1189602.0525785114,1156032.2927704842,1112902.0052767186,1086047.5825721202,1058085.5134493522,1022557.7174281604,997835.329126818,962742.5370148813,934105.5757015311,912774.2532356211,881362.9061411251,855637.9959097523,831675.9492291843,804438.5325048348,784628.1498673672,759777.4370685171,736924.9893283985,717208.1183827609,695273.4421032355,675889.9361597564,657546.5997606006,634196.6894742064,614463.6499349305,600398.3907488898,582510.8627386427,563302.0739325776,546462.1747577877,533683.4852028673,519906.065596924,500010.9878363362,486804.290499087,472626.24561283004,454036.2312005429,440637.77860882843,433196.29962091806,422766.7707211321,405578.313403425,396501.07085015,379567.5647608621,375285.1095355623,365801.7853314645,348447.3144047584,342645.2727636903,332446.19150018494,325229.36343868927,311989.85015974543,307047.9925101223,301008.70391749823,300561.97917304834,294515.8594392058,298602.5214946415,297458.203476015,301321.00674636714,307722.1174228021,302367.1365784141,300593.1214383495,292833.20669321297,293998.98395196826,283426.60008416197,279294.9411000156,270289.1736385425,269105.2407687173,263814.88483859977,254683.26590623576,251997.72811606847,253167.4210227084,242606.47092723922,236000.34425038056,234787.38960671134,230276.08465817693,224397.3698504768,219937.236803185,218206.4241283702,213093.42458843932,204996.1776472663,203547.18405356572,200340.20429975877,199638.16740002998,193442.00165277757,187378.83967201033,188227.47763978614,183686.26383467508,178749.10401016622,177313.55924188573,172428.39073257227,165810.52812009212,165878.63463404682,165591.81477380462,162363.8798589799,159207.00791857846,158366.40574085966,161318.83512288862,150627.76683660428,148933.86465768307,152538.70925967718,145702.69595042162,143576.04828062502,144014.51510932372,137402.65754992902,138343.31376755892,134069.78479064305,136550.13231216013,134664.36933250146,127634.37972286016,125723.49817270022,126498.77681230061,124887.01256931877,123354.73777301787,123495.49217968345,122852.19926970202,120665.13901960991
mock_0005,DLR_PAR,2458463.470975355,3484.9651080927897,85985.0784212368,3.1990030883654175,1,0.10568279461997158,0,1,968441.985214417,942948.7401098532,916213.6751111959,889270.4021855472,856493.4636404904,839768.4521753982,814743.7636548504,789092.3409692456,764252.140692116,746649.9156942373,720167.5294324012,700269.0558772564,675406.488669432,659947.25373108,637847.4343744904,622389.0621005152,601885.2516533433,583881.0579481077,569678.2785221688,552809.5043795567,533722.9408502871,517067.3391838955,502438.8910239042,491445.804002334,475379.26101036597,463177.5231995242,446382.6544559379,436131.72938638,419739.153705892,412783.95944351796,398418.4591056961,381305.67314438085,376610.2678435365,363209.2138825725,350230.30964398815,347092.3344627553,331303.6684983683,324488.3709429345,315721.85733089974,303219.86469574523,295758.79382267303,284788.8980532559,278002.4640425326,268309.19111151353,257267.4819486651,256194.49904409447,247391.53297374034,239864.11927410576,233020.98967519996,228467.14974608156,216634.2377811872,212442.99604282522,206247.6224078148,203414.1422110728,196817.8166062855,185149.06306904284,183003.25111130535,181233.95492224905,174971.0523586776,168477.82203727926,160509.3290627537,157527.30927212385,149340.21817860083,150655.09301985108,142412.3679296348,140274.56198401153,135729.9612466389,132948.98573075756,130646.19970541229,125618.64828466404,118190.86592048706,119077.09649212002,112396.90460700779,109580.21752538836,109224.40101911455,100449.8760315346,102330.28574800177,98208.75034017347,93878.58262261788,88983.75251076708,86117.37563910044,84047.78931248268,89204.9133065077,81489.56769711163,78816.55000547034,77295.94054022337,74252.34622026434,75633.11350089955,72684.8220152704,67808.52423329707,69569.42152263066,65689.165856973,62915.520940223134,58383.63993720434,58851.028650414206,54354.01782054152,56539.11767683295,55620.03622011993,57303.695467784964,50661.17450778599,50590.58055673483,55451.80489848679,48529.96830335714,49634.70950053371,51410.550634707244,52036.6534484509,62795.535810039844,64072.19985342557,75812.08567115967,81575.55031229359,87285.30950127068,93627.50615489723,99520.60181819354,101193.17230820854,101990.79601030667,99181.400681878,98833.55470898956,101145.20235075735,102079.02714954726,99210.12582977785,98883.18508813666,97675.60706326678,97769.49198200386,90825.99931107117,98580.21900872793,89111.27236437915,96157.58076099966,92603.83865330821
mock_0006,DLR_PAR,2844206.9329340737,3485.810808930963,66845.4663676083,3.223165969456088,1,0.08404906891061684,0,1,1122548.4795657252,1093804.8280561005,1060003.2922637174,1027743.9968141153,999416.7516970844,967038.1616519835,940472.9676272329,913690.3480921747,880822.6734060827,860027.5741189874,831863.1709309833,810195.3850561162,785479.3530140845,763557.5815833423,741303.2957374743,716690.9375447466,697083.5599827553,678560.2677590902,656768.1315739563,636662.9052073796,617898.9048118076,599278.567991406,583704.5101512283,564978.0624194391,545494.6658669072,534907.5645709934,513992.21851545706,503343.790893795,490407.53745740256,468881.23753016593,459407.0430190624,445828.5463774207,429541.28155031794,417443.4508144637,410446.7975589567,395638.241742129,383080.5738743431,376142.44809437095,356243.813940217,351463.5798096394,337180.70604067727,331700.51295447897,319135.85562814795,311945.1559916563,298236.6278126083,296615.18937245454,287058.75627375575,279851.5730285874,264306.81410128844,258423.17610280382,254397.4923196962,245165.92983559298,241728.8946077406,232402.04884576992,223581.32853967077,217659.28968174578,215374.21132515205,202213.7974985323,199755.81891259033,188849.2302876408,188532.64085787183,179735.47804245097,175017.3143779224,169915.9651395818,168113.0094365318,158971.08213773364,157861.62529969643,152939.67747143892,145587.01212238232,147945.3708580348,141306.53181202427,131699.6511597157,130851.09576758876,131552.1178930833,122265.30498348478,118787.11452576176,116083.47691495746,111715.70636878443,115082.58443191161,108952.98220982257,107268.88169484668,109178.4086660166,111983.99545617276,105583.28038784947,109332.11828406907,113547.7336160234,123106.93299014679,124231.91456254061,122065.89958309886,130414.8069821779,124581.82028598321,127548.3692088268,124485.53432312893,125316.00069653326,119836.73553922401,118613.1905885162,117416.76933683647,122437.57550680354,115869.66850336024,115107.91483326937,115024.0180280988,112621.10364884161,108816.46530492353,106581.9806476886,106250.5101476178,100993.90178455703,102638.66711405503,102091.92502344202,103915.81461125913,97759.373958319,95907.948422102,100270.13338237985,92389.66679912157,95032.2186163467,91169.14271513034,88066.95456751483,87755.2012212101,91500.6961031757,90176.95219145167,88279.45611465555,83437.34573973475,86336.69848850199,84237.3395909737,81386.35657764917,84660.70431549277,80649.508698387,79624.60927512313,84182.5159512777
mock_0007,DLR_PAR,4532975.650124479,3485.095851526268,95626.2333023929,3.20273861503622,1,0.07652526388365936,0,1,1793573.280673429,1738165.2143417,1689042.1702094586,1633189.537003997,1588689.9599006197,1540319.6406289074,1495920.9386199943,1453536.991724299,1406870.0881065982,1369131.0356400257,1328140.6027745462,1286019.7242010296,1254081.1589973492,1217670.629946361,1181294.0377869636,1142907.2182697067,1106810.4395410053,1079249.4388957974,1047399.2659437355,1021341.5566873396,990637.7068613019,957338.6101286376,927614.9501819977,906312.4994889962,875964.9083976119,851301.462993785,825907.0589316932,798720.2886473833,780627.3330526921,751862.5428770321,733286.9975322526,711226.8222919196,690368.2613379408,667845.8931354051,649462.4052277452,633830.588137817,611428.4744061916,594334.0094265222,575712.9279205519,558500.1841255022,546844.5614240933,529930.8564208667,508871.99825285835,497808.668803141,481064.8715282042,469233.2074682446,458530.5132542953,436690.90808043926,426846.26287071436,417997.80843224685,407499.73116802215,386327.47476713645,375685.0234603113,368626.0705941627,355043.3785264613,343235.5305833927,332307.3880177679,328827.0972092658,314460.096079091,310019.81110358203,302512.9641155419,291192.2305051966,283716.4487194264,269363.7877287243,267024.12230386905,258143.88376994265,246652.96729564026,244898.54509632828,235927.63567118958,228327.79296022683,225154.02032121265,219749.69341496352,213526.96781113572,205941.21218201373,210315.283377196,207837.08807495874,211783.13967221274,215210.22101175744,219187.59559795196,223066.1886280521,227506.4531251995,225628.93821689708,229351.60489740357,224084.88671711745,219901.76273792368,222545.20054644873,214925.97713212593,210502.2302905597,208414.9832517186,201614.75118160903,205355.78276302252,198219.11616579702,190374.42538633657,190184.17399266662,183774.86097113026,178289.63574405888,180353.68128437723,174854.97398899845,175407.3081262157,170807.6620793264,167306.8397066307,167876.0541932656,165891.6279574311,162709.26243919175,160650.5873015698,156963.93452182857,153993.51333465814,154665.1308412844,149177.49854584335,147293.69710085855,145498.86301528558,145966.92711446332,141710.37355305228,140219.79253038228,136071.42960862687,140393.19088430377,136506.8523811147,133721.79791385724,129271.66047987853,129443.71615861669,130929.72189273611,131658.419986356,129261.66333140773,123839.50710729703,125543.42758924991,122312.04346934585,122236.60182425549,119986.25495698009
mock_0008,DLR_PAR,2219601.607109669,3486.4456018391625,61185.71746772166,3.2413029096903596,1,0.0937714775047796,0,1,874787.5074070083,853304.4461426778,827055.173103874,800276.2714068154,779214.4689237752,754618.2303581899,731879.7853384783,712887.2849338386,693265.1491057107,668439.5758365045,645610.3774487284,632127.3963699149,614434.499921872,594801.9438405462,577662.6339099235,560030.3361382167,542075.005966671,529977.9259328098,514612.6074857778,498656.9991688947,482507.1931173841,466449.81896784843,450307.44671354117,443481.98703797197,431516.72750437225,418406.5253317233,403575.709382213,397208.96643564134,375594.66159967263,367863.539841865,359158.3083951737,349746.0032901023,339453.6498108774,327570.4421279605,320091.9711948736,309902.1376173276,295127.67612494243,287804.8471997784,285264.70707765117,275987.89138346014,264316.461638438,258390.83767373097,249887.9705359513,239640.86094067423,239822.73142013396,230135.0020451159,217903.237978979,217383.7711640803,210182.91913158965,200957.2459692855,197419.44105454793,193154.79324788065,185895.37853520323,178020.33700306242,171260.90313456408,169171.08971065038,160055.67161789737,165529.16804731888,158576.8435875816,150767.4975310228,144512.4703196803,143229.65533275926,133057.30026764903,131272.76924304117,127651.64614398795,126779.02070978544,118643.34430645421,120190.8497991535,116006.68927333021,114227.82805378291,106107.71175779523,106167.11320091732,101567.02075685991,100904.87626058381,98221.20390141191,96451.01516174106,92884.13736645362,89749.79899809162,89334.3062047638,86449.58446961247,77838.25298900116,79165.75926781454,71529.58082655004,73257.8770834139,69324.30506530323,65159.96178345179,67145.26797597241,67561.0334831594,60344.107090118,62700.96582055419,64116.10629357446,61267.74622695129,64098.0353274605,68203.84317162851,67460.71251282755,71732.61683031965,75373.98901824694,87048.322752966,88460.72921524144,89463.38326626358,91873.76850101272,90702.30434901189,86977.46375563205,86103.9736106514,95026.33648221442,90140.255299944,89771.74574903319,82716.06717886573,82382.56624987353,83102.47670540187,79741.14445719885,80203.1126831696,82507.60137995395,84305.71114470111,74008.31807013619,80028.54719982317,73721.78513760897,78815.67771843489,70803.77351786886,79178.87943684025,71165.81670135906,71888.42241119481,72322.1653435521,75375.09629731458,71807.88266626297,72660.17085566159,71229.41606691704,67989.02253742324
mock_0009,DLR_PAR,4754964.538811015,3485.1604646493874,63031.106878649276,3.2045847042682114,0,nan,0,1,1878980.622843701,1822930.2434853378,1764493.822657171,1716458.0050472803,1667847.5538299712,1617984.963537553,1573105.6050200379,1520117.2892907774,1475944.603820072,1438896.2704396164,1392350.6457623169,1348633.4563118888,1314985.2942121783,1273258.3969202605,1239744.1032013653,1205748.1804895538,1166459.4631167657,1130806.8695300806,1100629.2718912987,1067248.6553548172,1033377.4981878784,1003370.0208256034,970699.7753350923,947084.8691731762,923166.5751398179,891055.434411905,867937.2683670849,843783.5013968536,814677.1767437295,791061.148321708,769315.9278412564,745533.7470005197,724984.1219993398,704864.5748877145,686611.1739360449,662412.3599296357,641163.9600578286,623670.1141398577,603123.5432540335,592174.2444548851,570962.671889914,552099.6390192304,537033.4150729775,517975.04814870434,505382.1150745254,490108.4299838959,476317.06858926243,467984.22110240674,451421.88470676844,435622.8639684037,427012.1343961442,409803.6649031666,397896.7659278126,387885.23573390703,376814.10959232657,369925.51318239805,349720.3239472322,342048.1161683501,331502.7387712904,320839.97178060206,315410.097920031,301008.53180571477,296009.6659381588,291051.67221660196,275003.44390872365,267637.7668426655,262464.0698851084,252128.52025134073,255070.92515724577,244919.01197912847,231299.8126270235,221376.18989733528,220728.23541350185,208111.00280602108,211744.2725371842,200944.71445852253,192428.22812945308,190534.59300538807,189496.62463449425,180096.44630024311,178316.70379723576,168645.65470380482,160095.10545058144,158427.21141239972,154087.66994288124,149036.25546740057,147607.87499053968,138483.99630831048,138700.81170200167,132658.72080312893,130076.4571595586,122908.74096610279,118633.68825594685,119851.99012600096,113444.7695056014,109359.63512346355,103426.96690604868,104987.46893890864,102736.02385962429,96501.15457304477,93150.29641135685,92955.5962910972,87144.07160937868,88951.2899303515,86036.34632448817,81664.59200872754,80493.75342720357,77204.939999696,75821.67546141244,74047.63566638385,69813.6737281961,67642.35672715803,66871.53298325704,66234.33724598546,66877.06718854353,63354.57798609331,53795.43690695253,57553.93566552649,57503.81219552144,53892.55186226264,55112.60395307676,49871.78512795068,53999.01966347678,46774.37245669269,44155.590010387,43717.93263554999,42362.33300968167,46083.57861030212
