"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
0, -2.268000000000000e-02, 2.000000000000000e-02, 3.777252304738690e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.593918523456943e+07, 0.000000000000000e+00
1, 1.250200000000000e-01, 5.477226000000000e-02, 2.950287181093007e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.131805500298857e+05, 0.000000000000000e+00
730, 1.247592264357035e-01, 5.472614609981309e-02, 2.952947937346715e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.133222509090393e+05, 0.000000000000000e+00
731, 1.244984551723221e-01, 5.468001867917841e-02, 2.958072823959782e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.136885552406872e+05, 0.000000000000000e+00
732, 1.242377096557596e-01, 5.463374559995363e-02, 2.963192019735020e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.140548109492025e+05, 0.000000000000000e+00
733, 1.239769889766657e-01, 5.458732363764015e-02, 2.968344058539847e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.144232848781095e+05, 0.000000000000000e+00
734, 1.237162917546814e-01, 5.454077812060126e-02, 2.973530270356441e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.147941156072674e+05, 0.000000000000000e+00
735, 1.234556163013989e-01, 5.449411137960169e-02, 2.978744278193848e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.151669229835873e+05, 0.000000000000000e+00
736, 1.231949626618069e-01, 5.444732278551007e-02, 2.983984926929235e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.155416472692497e+05, 0.000000000000000e+00
737, 1.229343315638529e-01, 5.440040898697789e-02, 2.989252354536420e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.159182984027239e+05, 0.000000000000000e+00
738, 1.226737235001168e-01, 5.435336802870325e-02, 2.994547988359842e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.162969595664397e+05, 0.000000000000000e+00
739, 1.224131383330425e-01, 5.430620073915140e-02, 2.999872439971537e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.166776710609991e+05, 0.000000000000000e+00
740, 1.221525760309599e-01, 5.425890712603065e-02, 3.005225427116022e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.170604185082545e+05, 0.000000000000000e+00
741, 1.218920368017264e-01, 5.421148654073917e-02, 3.010607412016189e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.174452295087147e+05, 0.000000000000000e+00
742, 1.216315145556244e-01, 5.416393854593850e-02, 3.016019028785438e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.178321433956954e+05, 0.000000000000000e+00
743, 1.213710210391867e-01, 5.411626636498262e-02, 3.021459732258132e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.182211284577668e+05, 0.000000000000000e+00
744, 1.211105506016566e-01, 5.406846843659121e-02, 3.026929598138326e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.186121935606171e+05, 0.000000000000000e+00
745, 1.208501033741451e-01, 5.402054440606219e-02, 3.032428948846662e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.190053583887621e+05, 0.000000000000000e+00
746, 1.205896863959409e-01, 5.397249572265825e-02, 3.037957738400355e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.194006218842065e+05, 0.000000000000000e+00
747, 1.203292859340331e-01, 5.392431929259341e-02, 3.043516011757497e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.197979973442388e+05, 0.000000000000000e+00
748, 1.200689093064339e-01, 5.387601438919079e-02, 3.049103805225457e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.201974866370586e+05, 0.000000000000000e+00
749, 1.198085568619844e-01, 5.382757991743629e-02, 3.054722296245241e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.205991582361877e+05, 0.000000000000000e+00
750, 1.195482208477998e-01, 5.377901566185880e-02, 3.060372349228884e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.210030653874211e+05, 0.000000000000000e+00
751, 1.192879158344279e-01, 5.373032585704160e-02, 3.066053226586672e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.214091640605597e+05, 0.000000000000000e+00
752, 1.190276424225175e-01, 5.368151036963988e-02, 3.071764389239899e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.218174290786186e+05, 0.000000000000000e+00
753, 1.187673856029878e-01, 5.363256459981270e-02, 3.077506174842615e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.222278876333164e+05, 0.000000000000000e+00
754, 1.185070782456145e-01, 5.358347430745512e-02, 3.083281025216183e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.226407024173281e+05, 0.000000000000000e+00
755, 1.182469224892384e-01, 5.353427811037050e-02, 3.089085322317298e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.230556038703929e+05, 0.000000000000000e+00
756, 1.179866870443897e-01, 5.348493361689695e-02, 3.094924277645140e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.234729656832442e+05, 0.000000000000000e+00
757, 1.177265804413341e-01, 5.343548099423524e-02, 3.100792576299288e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.238924228839892e+05, 0.000000000000000e+00
758, 1.174664684675190e-01, 5.338589308669706e-02, 3.106692964783761e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.243141809707941e+05, 0.000000000000000e+00
759, 1.172063591588212e-01, 5.333616927397992e-02, 3.112625984482234e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.247382698495245e+05, 0.000000000000000e+00
760, 1.169462788022903e-01, 5.328631421974769e-02, 3.118592361845205e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.251647236214975e+05, 0.000000000000000e+00
761, 1.166862197458429e-01, 5.323632828313751e-02, 3.124592594031011e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.255935745744179e+05, 0.000000000000000e+00
762, 1.164261854608350e-01, 5.318621332545419e-02, 3.130625923255474e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.260247830194140e+05, 0.000000000000000e+00
763, 1.161661762510151e-01, 5.313596836865826e-02, 3.136692203070657e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.264583442010169e+05, 0.000000000000000e+00
764, 1.159061892918255e-01, 5.308559199624190e-02, 3.142792029349319e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.268942943421023e+05, 0.000000000000000e+00
765, 1.156462309920779e-01, 5.303508557496250e-02, 3.148925436903857e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.273326400122156e+05, 0.000000000000000e+00
766, 1.153862983213056e-01, 5.298444738779312e-02, 3.155092322582360e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.277733819737509e+05, 0.000000000000000e+00
767, 1.151263916395426e-01, 5.293367563687419e-02, 3.161293286945752e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.282165560159223e+05, 0.000000000000000e+00
768, 1.148665137031607e-01, 5.288277059719020e-02, 3.167529562246080e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.286622324136574e+05, 0.000000000000000e+00
769, 1.146066590392850e-01, 5.283173306701305e-02, 3.173801554950183e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.291104377793578e+05, 0.000000000000000e+00
770, 1.143468300771612e-01, 5.278056460820677e-02, 3.180108522860598e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.295611342721808e+05, 0.000000000000000e+00
771, 1.140870271521668e-01, 5.272926418448504e-02, 3.186450366148158e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.300143199402214e+05, 0.000000000000000e+00
772, 1.138272489887603e-01, 5.267783072023097e-02, 3.192827785914294e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.304700358283837e+05, 0.000000000000000e+00
773, 1.135674989578283e-01, 5.262626540660345e-02, 3.199240570094850e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.309282785928149e+05, 0.000000000000000e+00
774, 1.133077756650485e-01, 5.257456577154400e-02, 3.205688248885966e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.313890296357577e+05, 0.000000000000000e+00
775, 1.130480797348101e-01, 5.252272872875379e-02, 3.212172021356238e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.318523574068312e+05, 0.000000000000000e+00
776, 1.127884112228749e-01, 5.247075447714854e-02, 3.218694132363357e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.323183866036909e+05, 0.000000000000000e+00
777, 1.125287694791219e-01, 5.241864706636879e-02, 3.225254793958479e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.327871301285464e+05, 0.000000000000000e+00
778, 1.122691535167528e-01, 5.236640859928194e-02, 3.231852211711678e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.332584954754799e+05, 0.000000000000000e+00
779, 1.120095636296323e-01, 5.231403656495777e-02, 3.238485612985548e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.337324450666814e+05, 0.000000000000000e+00
780, 1.117500023504794e-01, 5.226152868118574e-02, 3.245156035080244e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.342090389129392e+05, 0.000000000000000e+00
781, 1.114904681504583e-01, 5.220888425287953e-02, 3.251864869886239e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.346883604593181e+05, 0.000000000000000e+00
782, 1.112309615313072e-01, 5.215610423463388e-02, 3.258612470782132e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.351704318611940e+05, 0.000000000000000e+00
783, 1.109714804771680e-01, 5.210318884704760e-02, 3.265398623484401e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.356552464734878e+05, 0.000000000000000e+00
784, 1.107120288669744e-01, 5.205013820787195e-02, 3.272223030381215e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.361427931914959e+05, 0.000000000000000e+00
785, 1.104525882960305e-01, 5.199694694049340e-02, 3.279086444230361e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.366331255314272e+05, 0.000000000000000e+00
786, 1.101931352709523e-01, 5.194360911299659e-02, 3.285990669863353e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.371263574635226e+05, 0.000000000000000e+00
787, 1.099338209564853e-01, 5.189015682637396e-02, 3.292932383247428e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.376222429172886e+05, 0.000000000000000e+00
788, 1.096744316138105e-01, 5.183654722548801e-02, 3.299916996480216e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.381211779613644e+05, 0.000000000000000e+00
789, 1.094151940826154e-01, 5.178282668632562e-02, 3.306938232988597e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.386227218596409e+05, 0.000000000000000e+00
790, 1.091559122084865e-01, 5.172895387508543e-02, 3.314001832799732e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.391272810279107e+05, 0.000000000000000e+00
791, 1.088966591431097e-01, 5.167494378814932e-02, 3.321106127113629e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.396347369731829e+05, 0.000000000000000e+00
792, 1.086374349722807e-01, 5.162079586484640e-02, 3.328251125813369e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.401450981618761e+05, 0.000000000000000e+00
793, 1.083782267435449e-01, 5.156650582538666e-02, 3.335437668064217e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.406584197629415e+05, 0.000000000000000e+00
794, 1.081190600750084e-01, 5.151207873072082e-02, 3.342665851777512e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.411747026050740e+05, 0.000000000000000e+00
795, 1.078599228974891e-01, 5.145751196925739e-02, 3.349936195388714e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.416939858371909e+05, 0.000000000000000e+00
796, 1.076008153829452e-01, 5.140280500958778e-02, 3.357248993511618e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.422162895736150e+05, 0.000000000000000e+00
797, 1.073417552843140e-01, 5.134796142199820e-02, 3.364604667168484e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.427416319795125e+05, 0.000000000000000e+00
798, 1.070827083758290e-01, 5.129297531919255e-02, 3.372004329405157e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.432700939098226e+05, 0.000000000000000e+00
799, 1.068236910732685e-01, 5.123785039111311e-02, 3.379447200794799e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.438016310069807e+05, 0.000000000000000e+00
800, 1.065647015929222e-01, 5.118258538470877e-02, 3.386933493312343e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.443362610079027e+05, 0.000000000000000e+00
801, 1.063057430494536e-01, 5.112718028350377e-02, 3.394463602884283e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.448740088103945e+05, 0.000000000000000e+00
802, 1.060468142921062e-01, 5.107163452554495e-02, 3.402038303718490e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.454149231936128e+05, 0.000000000000000e+00
803, 1.057879134329502e-01, 5.101594810347816e-02, 3.409658112826325e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.459590361700769e+05, 0.000000000000000e+00
804, 1.055290474990856e-01, 5.096012320466996e-02, 3.417322551202352e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.465063260825606e+05, 0.000000000000000e+00
805, 1.052702097678651e-01, 5.090415702232745e-02, 3.425031408312632e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.470567942848231e+05, 0.000000000000000e+00
806, 1.050114033050477e-01, 5.084804759222981e-02, 3.432785515228008e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.476104883472832e+05, 0.000000000000000e+00
807, 1.047526131720568e-01, 5.079179146059276e-02, 3.440586525441074e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.481675150501521e+05, 0.000000000000000e+00
808, 1.044938702435457e-01, 5.073539535490312e-02, 3.448433608130740e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.487278196054219e+05, 0.000000000000000e+00
809, 1.042351692600050e-01, 5.067885736746326e-02, 3.456327353305899e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.492914409782357e+05, 0.000000000000000e+00
810, 1.039764875856117e-01, 5.062217263177783e-02, 3.464269691964576e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.498584986929990e+05, 0.000000000000000e+00
