"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
0, -2.268000000000000e-02, 2.000000000000000e-02, 3.729942210911252e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.129793906749005e+07, 0.000000000000000e+00
1, 1.250200000000000e-01, 5.477226000000000e-02, 2.738678557758324e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.247798876253630e+04, 0.000000000000000e+00
730, 1.247592264357035e-01, 5.472614609981309e-02, 2.743134667538166e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.260854284881722e+04, 0.000000000000000e+00
731, 1.244984551723221e-01, 5.468001867917841e-02, 2.747965077755729e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.274819662491769e+04, 0.000000000000000e+00
732, 1.242377096557596e-01, 5.463374559995363e-02, 2.752778700475670e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.288713651099912e+04, 0.000000000000000e+00
733, 1.239769889766657e-01, 5.458732363764015e-02, 2.757634899717885e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.302724655218732e+04, 0.000000000000000e+00
734, 1.237162917546814e-01, 5.454077812060126e-02, 2.762514457994445e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.316804697322201e+04, 0.000000000000000e+00
735, 1.234556163013989e-01, 5.449411137960169e-02, 2.767428922594703e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.331127409625459e+04, 0.000000000000000e+00
736, 1.231949626618069e-01, 5.444732278551007e-02, 2.772363154390608e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.345607882745237e+04, 0.000000000000000e+00
737, 1.229343315638529e-01, 5.440040898697789e-02, 2.777321667107192e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.360226682271982e+04, 0.000000000000000e+00
738, 1.226737235001168e-01, 5.435336802870325e-02, 2.782308882697108e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.374987751911124e+04, 0.000000000000000e+00
739, 1.224131383330425e-01, 5.430620073915140e-02, 2.787312976252835e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.389849524985153e+04, 0.000000000000000e+00
740, 1.221525760309599e-01, 5.425890712603065e-02, 2.792354155655628e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.404868267904872e+04, 0.000000000000000e+00
741, 1.218920368017264e-01, 5.421148654073917e-02, 2.797410700183188e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.419975236245603e+04, 0.000000000000000e+00
742, 1.216315145556244e-01, 5.416393854593850e-02, 2.802497269667980e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.435212322173361e+04, 0.000000000000000e+00
743, 1.213710210391867e-01, 5.411626636498262e-02, 2.807606951108130e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.450554963064565e+04, 0.000000000000000e+00
744, 1.211105506016566e-01, 5.406846843659121e-02, 2.812735328287356e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.465986831713941e+04, 0.000000000000000e+00
745, 1.208501033741451e-01, 5.402054440606219e-02, 2.817896530085670e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.481548589279952e+04, 0.000000000000000e+00
746, 1.205896863959409e-01, 5.397249572265825e-02, 2.823076473247112e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.497185547579598e+04, 0.000000000000000e+00
747, 1.203292859340331e-01, 5.392431929259341e-02, 2.828292776460027e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.512946831459962e+04, 0.000000000000000e+00
748, 1.200689093064339e-01, 5.387601438919079e-02, 2.833535990728145e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.528804477499113e+04, 0.000000000000000e+00
749, 1.198085568619844e-01, 5.382757991743629e-02, 2.838805728232552e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.544758572410392e+04, 0.000000000000000e+00
750, 1.195482208477998e-01, 5.377901566185880e-02, 2.844115880138381e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.560852724022561e+04, 0.000000000000000e+00
751, 1.192879158344279e-01, 5.373032585704160e-02, 2.849448354197550e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.577031060657423e+04, 0.000000000000000e+00
752, 1.190276424225175e-01, 5.368151036963988e-02, 2.854817273473663e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.593337284688454e+04, 0.000000000000000e+00
753, 1.187673856029878e-01, 5.363256459981270e-02, 2.860215741258059e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.609752589205759e+04, 0.000000000000000e+00
754, 1.185070782456145e-01, 5.358347430745512e-02, 2.865640892315479e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.626270181242478e+04, 0.000000000000000e+00
755, 1.182469224892384e-01, 5.353427811037050e-02, 2.871106320604321e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.642926392129167e+04, 0.000000000000000e+00
756, 1.179866870443897e-01, 5.348493361689695e-02, 2.876596444612212e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.659651908202375e+04, 0.000000000000000e+00
