"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
128, -2.268000000000000e-02, 2.000000000000000e-02, 1.023727350864246e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.033848058211790e+06, 1.000000000000000e-10, 8.661642539767377e+10
257, -2.253266666667000e-02, 1.999894984229000e-02, 6.449783523932008e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.914432260151478e+06, 1.000000000000000e-10, 1.471497900290170e+11
386, -2.238533333333000e-02, 1.999568608471000e-02, 5.251037418353742e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.223361228804716e+06, 1.000000000000000e-10, 1.871694277068137e+11
515, -2.223800000000000e-02, 1.999024081807000e-02, 4.793446591575717e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.889050961640677e+06, 1.000000000000000e-10, 2.061873917191303e+11
644, -2.209066666667000e-02, 1.998262555891000e-02, 4.591170719242850e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.715382003488883e+06, 1.000000000000000e-10, 2.149167940475464e+11
773, -2.194333333333000e-02, 1.997283196466000e-02, 4.515565096734878e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.638184109905933e+06, 1.000000000000000e-10, 2.178996504858292e+11
902, -2.179600000000000e-02, 1.996084582568000e-02, 4.518240899185667e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.626941735401046e+06, 1.000000000000000e-10, 2.172541281462557e+11
1031, -2.164866666667000e-02, 1.994667306151000e-02, 4.574759721100706e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.663668607350251e+06, 1.000000000000000e-10, 2.142446768242976e+11
1160, -2.150133333333000e-02, 1.993029187271000e-02, 4.670738139064137e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.736533284121669e+06, 1.000000000000000e-10, 2.096974632748529e+11
1289, -2.135400000000000e-02, 1.991169140531000e-02, 4.795408524655407e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.836207837526947e+06, 1.000000000000000e-10, 2.042440512136239e+11
