x_m,r_m,pressure_pa,pressure_over_pc,cf_t,yplus
-0.02268,0.02,1394771.0,0.2682251923076923,25090.137328629167,2.552281
-0.02253267,0.01999895,974502.9,0.18740440384615384,15185.897126019363,1.472533
-0.02238533,0.01999569,837467.6,0.16105146153846153,13733.904552667696,1.220143
-0.022238,0.01999024,771175.8,0.14830303846153847,12805.369774710378,1.119388
-0.02209067,0.01998263,736738.3,0.1416804423076923,11817.951013595817,1.054168
-0.02194333,0.01997283,721430.4,0.1387366153846154,10923.526746999003,1.007953
-0.021796,0.01996085,719201.1,0.13830790384615385,10220.426736999096,0.9775808
-0.02164867,0.01994667,726483.8,0.13970842307692308,9718.354332341385,0.9606668
-0.02150133,0.01993029,740932.5,0.14248701923076923,9386.00278389302,0.9546073
-0.021354,0.01991169,760697.4,0.14628796153846155,9182.756260765527,0.9567424
-0.02120667,0.01989087,784629.1,0.15089021153846152,9071.873494764073,0.9649132
-0.02105933,0.0198678,811797.4,0.1561148846153846,9026.903787827152,0.9774627
-0.020912,0.01984247,841502.5,0.16182740384615385,9029.316313082314,0.9931713
-0.02076467,0.01981487,873396.6,0.1679608846153846,9063.049212490854,1.011069
-0.02061733,0.01978496,907093.5,0.1744410576923077,9118.482140568445,1.030477
-0.02047,0.01975274,942302.1,0.1812119423076923,9189.581520916705,1.050964
-0.02032267,0.01971818,978968.2,0.18826311538461538,9274.457297383413,1.07245
-0.02017533,0.01968125,1016906.0,0.19555884615384617,9373.832160565533,1.09492
-0.020028,0.01964194,1056225.0,0.20312019230769232,9480.30311027852,1.118025
-0.01988067,0.01960019,1096909.0,0.21094403846153847,9591.112882568432,1.141645
-0.01973333,0.019556,1138700.0,0.21898076923076923,9704.577382128275,1.165557
-0.019586,0.01950932,1181513.0,0.22721403846153845,9824.944049764928,1.189986
-0.01943867,0.01946011,1225350.0,0.23564423076923077,9949.156862031274,1.214737
-0.01929133,0.01940835,1270301.0,0.24428865384615384,10069.561303759854,1.239378
-0.019144,0.01935396,1316071.0,0.2530905769230769,10182.778068757621,1.263548
-0.01899667,0.01929694,1362567.0,0.2620321153846154,10288.415904280373,1.287174
-0.01884933,0.01923721,1409966.0,0.2711473076923077,10392.255207548033,1.310671
-0.018702,0.01917472,1458206.0,0.2804242307692308,10493.446034137844,1.333946
-0.01855467,0.01910942,1507342.0,0.28987346153846155,10588.644549825554,1.356834
-0.01840733,0.01904125,1557556.0,0.29953,10677.340892163345,1.379354
-0.01826,0.01897015,1609144.0,0.30945076923076925,10767.108968170234,1.402061
-0.01811267,0.01889604,1662253.0,0.31966403846153846,10862.464051345713,1.425249
-0.01796533,0.01881884,1716966.0,0.33018576923076925,10963.633327214275,1.448952
-0.017818,0.01873847,1772758.0,0.340915,11112.677499144947,1.475728
-0.01767067,0.01865491,1807992.0,0.34769076923076925,11312.269053491587,1.497561
-0.01752333,0.01857015,1814583.0,0.3489582692307692,11471.674825999811,1.505746
-0.017376,0.01848489,1807989.0,0.3476901923076923,11564.569686600566,1.504989
-0.01722867,0.01839968,1795641.0,0.3453155769230769,11616.651986498735,1.499783
-0.01708133,0.01831462,1785224.0,0.3433123076923077,11656.739696723505,1.494757
-0.016934,0.01822956,1778179.0,0.3419575,11712.118774225246,1.491953
-0.01678667,0.01814451,1772922.0,0.34094653846153844,11790.445273662854,1.491024
-0.01663933,0.01805945,1769137.0,0.34021865384615385,11889.187110246334,1.491648
-0.016492,0.01797439,1766441.0,0.33970019230769233,12006.418329088561,1.49353
-0.01634467,0.01788933,1764402.0,0.3393080769230769,12137.971086570195,1.496298
-0.01619733,0.01780427,1762593.0,0.3389601923076923,12279.258936948225,1.499527
-0.01605,0.01771921,1760640.0,0.3385846153846154,12424.078182866087,1.502736
-0.01590267,0.01763416,1758225.0,0.3381201923076923,12573.346801283844,1.5059
-0.01575533,0.0175491,1755125.0,0.33752403846153844,12722.02125364466,1.508656
-0.015608,0.01746404,1751236.0,0.33677615384615384,12862.28935829959,1.510505
-0.01546067,0.01737898,1746574.0,0.33587961538461536,12990.791987137105,1.511289
-0.01531333,0.01729392,1741263.0,0.3348582692307692,13106.8203801973,1.511029
-0.015166,0.01720886,1735514.0,0.33375269230769233,13211.502260832536,1.509864
-0.01501867,0.0171238,1729577.0,0.33261096153846154,13307.484828945544,1.508034
-0.01487133,0.01703874,1723700.0,0.33148076923076925,13398.761336753903,1.505855
-0.014724,0.01695367,1718138.0,0.3304111538461538,13490.201205806143,1.503645
-0.01457667,0.01686861,1713174.0,0.32945653846153844,13587.16548452419,1.501795
-0.01442933,0.01678355,1709076.0,0.3286684615384615,13695.52261164939,1.500686
-0.014282,0.01669849,1706046.0,0.3280857692307692,13820.890648786972,1.500666
-0.01413467,0.01661343,1704192.0,0.3277292307692308,13968.677581148811,1.502022
-0.01398733,0.01652837,1703557.0,0.3276071153846154,14143.292442638662,1.504958
-0.01384,0.01644331,1704120.0,0.32771538461538463,14347.983764783108,1.509574
