x_m,r_m,pressure_pa,pressure_over_pc,tau_wall_pa,su2_cf_t,yplus
-0.02268,0.02,5175633.0,0.9953140384615384,1041.756937929977,334.3717935611872,0.5683581
-0.02253267,0.01999895,5173938.0,0.9949880769230769,835.5001407152405,268.1697336489035,0.5086724
-0.02238533,0.01999569,5174481.0,0.9950925,747.2008209196565,239.82837986924977,0.4808887
-0.022238,0.01999024,5174678.0,0.9951303846153846,706.161447911556,226.65600898337667,0.467389
-0.02209067,0.01998263,5174822.0,0.9951580769230769,683.9490650684895,219.52652030892438,0.4599113
-0.02194333,0.01997283,5174946.0,0.9951819230769231,672.1625579942385,215.74341566450502,0.455887
-0.021796,0.01996085,5175043.0,0.995200576923077,666.868165858747,214.04407935129728,0.4540583
-0.02164867,0.01994667,5175119.0,0.9952151923076923,665.8028238075098,213.70213746499107,0.4536733
-0.02150133,0.01993029,5175181.0,0.9952271153846154,667.6618689578172,214.29883352583488,0.4542889
-0.021354,0.01991169,5175215.0,0.9952336538461538,671.5089146109477,215.5336163317983,0.4555803
-0.02120667,0.01989087,5175234.0,0.9952373076923077,676.6713692700488,217.1906047910947,0.4573141
-0.02105933,0.0198678,5175233.0,0.9952371153846153,682.7497461963486,219.14157600212053,0.4593518
-0.020912,0.01984247,5175211.0,0.9952328846153846,689.4084538548436,221.27881544973556,0.4615746
-0.02076467,0.01981487,5175172.0,0.9952253846153846,696.4595871118581,223.5420113910765,0.4639174
-0.02061733,0.01978496,5175109.0,0.9952132692307692,703.758972559468,225.88488861622034,0.4663304
-0.02047,0.01975274,5175020.0,0.9951961538461539,711.1399968493365,228.25396938761995,0.4687578
-0.02032267,0.01971818,5174911.0,0.9951751923076924,718.5441647090341,230.63047852994887,0.4711797
-0.02017533,0.01968125,5174775.0,0.9951490384615385,725.9458693925152,233.0061970688084,0.4735879
-0.020028,0.01964194,5174616.0,0.9951184615384615,733.3065235704823,235.36873966359164,0.4759688
-0.01988067,0.01960019,5174435.0,0.9950836538461538,740.7212882673551,237.74865006328048,0.4783561
-0.01973333,0.019556,5174220.0,0.9950423076923077,748.2012301528138,240.1494803269541,0.4807507
-0.019586,0.01950932,5173974.0,0.994995,755.7595782986814,242.57547657797545,0.483157
-0.01943867,0.01946011,5173696.0,0.9949415384615384,763.4800411185663,245.05350663106728,0.4856018
-0.01929133,0.01940835,5173389.0,0.9948825,771.5257326714224,247.6359250599901,0.4881357
-0.019144,0.01935396,5173036.0,0.9948146153846154,780.0282435965366,250.36496839466008,0.4907981
-0.01899667,0.01929694,5172636.0,0.9947376923076923,789.0315053534437,253.2547372763915,0.4936004
-0.01884933,0.01923721,5172197.0,0.9946532692307692,798.7743853009938,256.3819007479274,0.4966148
-0.018702,0.01917472,5171703.0,0.9945582692307692,809.544592269227,259.83880445537875,0.4999253
-0.01855467,0.01910942,5171146.0,0.9944511538461539,821.5503172669254,263.6922712808165,0.5035889
-0.01840733,0.01904125,5170522.0,0.9943311538461539,835.1029450925033,268.04224612476645,0.507692
-0.01826,0.01897015,5169828.0,0.9941976923076923,850.7097631809227,273.0515525819688,0.5123761
-0.01811267,0.01889604,5169047.0,0.9940475,869.089011839828,278.9507236022229,0.5178383
