"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
128, -2.268000000000000e-02, 2.000000000000000e-02, 3.803298965975398e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.610079277959526e+07, 1.000000000000000e-10, 2.329603063748829e+10
257, -2.253266666667000e-02, 1.999894984229000e-02, 3.800586423290093e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609224672151935e+07, 1.000000000000000e-10, 2.331946422550611e+10
386, -2.238533333333000e-02, 1.999568608471000e-02, 3.799723907426896e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609498295713300e+07, 1.000000000000000e-10, 2.332926249253158e+10
515, -2.223800000000000e-02, 1.999024081807000e-02, 3.799054546752389e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609597598190006e+07, 1.000000000000000e-10, 2.333661550270450e+10
644, -2.209066666667000e-02, 1.998262555891000e-02, 3.798633681960625e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609670331185213e+07, 1.000000000000000e-10, 2.334137779534187e+10
773, -2.194333333333000e-02, 1.997283196466000e-02, 3.798372156590107e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609732751450738e+07, 1.000000000000000e-10, 2.334447687738172e+10
902, -2.179600000000000e-02, 1.996084582568000e-02, 3.798195378413419e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609781564533978e+07, 1.000000000000000e-10, 2.334651928914868e+10
1031, -2.164866666667000e-02, 1.994667306151000e-02, 3.798066248808154e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609819994857541e+07, 1.000000000000000e-10, 2.334804667107751e+10
1160, -2.150133333333000e-02, 1.993029187271000e-02, 3.797965346576995e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609851143576299e+07, 1.000000000000000e-10, 2.334923672460833e+10
1289, -2.135400000000000e-02, 1.991169140531000e-02, 3.797871704670404e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609868703062687e+07, 1.000000000000000e-10, 2.335033762521846e+10
1418, -2.120666666667000e-02, 1.989087019292000e-02, 3.797784080466467e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609877977696113e+07, 1.000000000000000e-10, 2.335135812114715e+10
1547, -2.105933333333000e-02, 1.986779834767000e-02, 3.797695712632418e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609877320282829e+07, 1.000000000000000e-10, 2.335219484339690e+10
1676, -2.091200000000000e-02, 1.984247404967000e-02, 3.797602914727144e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609866220372806e+07, 1.000000000000000e-10, 2.335306547438121e+10
1805, -2.076466666667000e-02, 1.981486694226000e-02, 3.797506035065277e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609846632890034e+07, 1.000000000000000e-10, 2.335395546123664e+10
1934, -2.061733333333000e-02, 1.978496181149000e-02, 3.797399017962384e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609814827141495e+07, 1.000000000000000e-10, 2.335488514330379e+10
2063, -2.047000000000000e-02, 1.975273596935000e-02, 3.797279721899710e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609769906274395e+07, 1.000000000000000e-10, 2.335583456293901e+10
2192, -2.032266666667000e-02, 1.971817768455000e-02, 3.797151461178758e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609715251366656e+07, 1.000000000000000e-10, 2.335682808336597e+10
2321, -2.017533333333000e-02, 1.968124563943000e-02, 3.797008333230532e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609646605149411e+07, 1.000000000000000e-10, 2.335786257510951e+10
2450, -2.002800000000000e-02, 1.964193667367000e-02, 3.796852867700589e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609566557325440e+07, 1.000000000000000e-10, 2.335907682239567e+10
2579, -1.988066666667000e-02, 1.960019346592000e-02, 3.796684620891423e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609475239127381e+07, 1.000000000000000e-10, 2.336021455336776e+10
2708, -1.973333333333000e-02, 1.955599990701000e-02, 3.796495422351275e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609366496816657e+07, 1.000000000000000e-10, 2.336150237893516e+10
2837, -1.958600000000000e-02, 1.950931626905000e-02, 3.796287724633251e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609242773588519e+07, 1.000000000000000e-10, 2.336291964312292e+10
2966, -1.943866666667000e-02, 1.946011447491000e-02, 3.796058980303093e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.609102508508762e+07, 1.000000000000000e-10, 2.336443704406102e+10
3095, -1.929133333333000e-02, 1.940834664283000e-02, 3.795810552962502e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.608947394424526e+07, 1.000000000000000e-10, 2.336607511620854e+10
3224, -1.914400000000000e-02, 1.935396455491000e-02, 3.795531783520814e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.608769375750963e+07, 1.000000000000000e-10, 2.336789590300333e+10
