iteration,inner_iterations,history_file,rho_drop_decades,energy_drop_decades,tke_drop_decades,omega_drop_decades
9,50,history_npr20_bdf2_production_00009.csv,3.4449098090000003,2.807812876,3.79000802,-0.31541044699999965
10,50,history_npr20_bdf2_production_00009.csv,3.3648691239999997,2.731521704,3.7229322410000005,-0.30782720300000044
11,50,history_npr20_bdf2_production_00009.csv,3.3186616509999998,2.7021453970000002,3.6483209580000002,-0.3038598610000003
12,50,history_npr20_bdf2_production_00009.csv,3.283758383,2.6802005559999995,3.575028443,-0.32228355200000003
13,50,history_npr20_bdf2_production_00009.csv,3.257705163,2.663793162,3.5038981820000004,-0.3245200260000001
14,50,history_npr20_bdf2_production_00009.csv,3.2438411069999997,2.6510155789999996,3.4400513569999998,-0.307690043
15,50,history_npr20_bdf2_production_00009.csv,3.2350494969999994,2.6476380330000002,3.3840867671000003,-0.2816461099999996
16,50,history_npr20_bdf2_production_00009.csv,3.2288519879999997,2.6475709160000003,3.3335257604999997,-0.2377438449999998
17,50,history_npr20_bdf2_production_00009.csv,3.224283985,2.651391002,3.2918562284,-0.20092415500000005
18,50,history_npr20_bdf2_production_00009.csv,3.2220046499999997,2.6535448429999997,3.257664578,-0.2035006879999992
19,50,history_npr20_bdf2_production_00009.csv,3.2237053710000003,2.6569307319999997,3.2292370518,-0.22709078699999985
20,50,history_npr20_bdf2_production_00009.csv,3.226269727,2.661646748,3.2060860679000003,-0.23619871699999972
21,50,history_npr20_bdf2_production_00009.csv,3.2322632019999995,2.668464361,3.1876839707999998,-0.22168383200000008
22,50,history_npr20_bdf2_production_00009.csv,3.2305974840000005,2.6785523509999996,3.1735556135000005,-0.19721815300000056
23,50,history_npr20_bdf2_production_00009.csv,3.226429648,2.687788019,3.1628485576,-0.18517106600000055
24,50,history_npr20_bdf2_production_00009.csv,3.21858601,2.696791127,3.1537577473000002,-0.203212744
25,50,history_npr20_bdf2_production_00009.csv,3.2056341670000004,2.70700014,3.1502321978,-0.23721678300000004
26,50,history_npr20_bdf2_production_00009.csv,3.1942122160000004,2.723361303,3.1478023686,-0.26780666500000017
27,50,history_npr20_bdf2_production_00009.csv,3.1890671040000003,2.750362977,3.147051195,-0.23604071000000015
28,50,history_npr20_bdf2_production_00009.csv,3.1955096759999995,2.785576732,3.1484582260000002,-0.15908142499999922
29,50,history_npr20_bdf2_to100_00029.csv,3.2133498550000006,2.8355352819999995,3.1479874544,-0.09526586900000034
30,50,history_npr20_bdf2_to100_00029.csv,3.243015778,2.892550129,3.1538723489000002,-0.12533432599999994
31,50,history_npr20_bdf2_to100_00029.csv,3.2721007879999995,2.9191039840000004,3.1559697303,-0.20514622399999993
32,50,history_npr20_bdf2_to100_00029.csv,3.26920766,2.912336999,3.1554923377,-0.26358459700000036
33,50,history_npr20_bdf2_to100_00029.csv,3.228985931,2.8802639450000003,3.1507892272,-0.27780780299999996
34,50,history_npr20_bdf2_to100_00029.csv,3.19160854,2.8449714079999997,3.1399271491,-0.1460459080000005
35,50,history_npr20_bdf2_to100_00029.csv,3.214692941,2.839677496,3.1238962680999998,-0.022921635999999523
36,50,history_npr20_bdf2_to100_00029.csv,3.269663867,2.79838506,3.1012211211,-0.1362580529999997
37,50,history_npr20_bdf2_to100_00029.csv,3.343327372,2.8579718649999997,3.099340404,-0.20355712000000015
38,50,history_npr20_bdf2_to100_00029.csv,3.3191341670000005,2.8372568979999997,3.0940177103,-0.24474402500000014
39,50,history_npr20_bdf2_to100_00029.csv,3.241893955,2.7892683610000004,3.0910424599,-0.29086478400000004
40,50,history_npr20_bdf2_to100_00029.csv,3.1875665570000002,2.7636195269999995,3.0896012896,-0.10070095599999984
41,50,history_npr20_bdf2_to100_00029.csv,3.288736002,2.842948823,3.0888617425,0.01746355399999988
42,50,history_npr20_bdf2_to100_00029.csv,3.4408492419999996,2.8999913520000007,3.0873190734,-0.12808890600000034
43,50,history_npr20_bdf2_to100_00029.csv,3.445939693,2.8984246889999996,3.0845013096,-0.1566478999999994
44,50,history_npr20_bdf2_to100_00029.csv,3.370187627,2.815114853,3.0875945006,-0.21526685899999976
45,50,history_npr20_bdf2_to100_00029.csv,3.3179299659999995,2.7936380880000007,3.0921631335999997,-0.3763439740000001
46,50,history_npr20_bdf2_to100_00029.csv,3.2150829560000003,2.7214071079999997,3.0998609652,-0.2667804570000003
47,50,history_npr20_bdf2_to100_00029.csv,3.252982049,2.7683779819999996,3.110485677,0.15635831999999983
48,50,history_npr20_bdf2_to100_00029.csv,3.511368535,2.9451219240000004,3.1282382661,0.0042407349999997734
49,50,history_npr20_bdf2_to100_00029.csv,3.5427530799999998,2.930424192,3.1137364965,-0.1215107419999999
50,50,history_npr20_bdf2_to100_00029.csv,3.5032742830000005,2.8926882029999996,3.1657553099999998,-0.18151588699999976
51,50,history_npr20_bdf2_to100_00029.csv,3.399306485,2.793933985,3.1841471776,-0.3894008169999994
52,50,history_npr20_bdf2_to100_00029.csv,3.256752219,2.6804005450000004,3.1987319181,-0.46630710200000003
53,50,history_npr20_bdf2_to100_00029.csv,3.235027617,2.6896486729999998,3.2115025814,0.0951930179999998
54,50,history_npr20_bdf2_to100_00029.csv,3.5013674640000003,2.920958145,3.2201451752,0.17234167700000036
55,50,history_npr20_bdf2_to100_00029.csv,3.531736297,2.887767877,3.222967297,-0.16529989499999953
56,50,history_npr20_bdf2_to100_00029.csv,3.4459440709999996,2.788597318,3.2333931524,-0.3362552299999999
57,50,history_npr20_bdf2_to100_00029.csv,3.273031153,2.628801466,3.2372940816,-0.6685387629999999
58,50,history_npr20_bdf2_to100_00029.csv,3.242238976,2.670543112,3.2416223919,-0.0275483190000001
59,50,history_npr20_bdf2_to100_00029.csv,3.4468540389999998,2.812115276,3.2465042572000002,0.24894364000000024
60,50,history_npr20_bdf2_to100_00029.csv,3.41321706,2.719297444,3.2466884372,-0.40879093400000066
61,50,history_npr20_bdf2_to100_00029.csv,3.2821620200000003,2.6239929249999996,3.2443767804999997,-0.6657032580000006
62,50,history_npr20_bdf2_to100_00029.csv,3.307205593,2.660475462,3.2439007746,0.1429477110000006
63,50,history_npr20_bdf2_to100_00029.csv,3.349049146,2.6357356980000004,3.2362537515,-0.0894672139999999
64,50,history_npr20_bdf2_to100_00029.csv,3.2839096969999995,2.6064157619999997,3.2319291891,-0.7302969470000003
65,50,history_npr20_bdf2_to100_00029.csv,3.2849438710000003,2.586828822,3.2230862042000004,0.1634553040000002
66,50,history_npr20_bdf2_to100_00029.csv,3.308510252,2.5795357130000003,3.2116779279,-0.4314033039999998
67,50,history_npr20_bdf2_to100_00029.csv,3.286077477,2.5807940250000003,3.2033980439,-0.29025680199999915
68,50,history_npr20_bdf2_to100_00029.csv,3.292336347,2.5625684480000004,3.1909817331,-0.09480497799999998
69,50,history_npr20_bdf2_to100_00029.csv,3.2963743770000002,2.575748998,3.1836253441,-0.4099566149999996
70,50,history_npr20_bdf2_to100_00029.csv,3.288478883,2.552579551,3.1726606087,-0.1223986410000002
71,50,history_npr20_bdf2_to100_00029.csv,3.299755123,2.5624826200000004,3.1666843869,-0.3310574279999994
72,50,history_npr20_bdf2_to100_00029.csv,3.2896391360000004,2.550357859,3.160419279,-0.20475425699999938
73,50,history_npr20_bdf2_to100_00029.csv,3.2993290600000003,2.546401093,3.0278795590999996,-0.22782484899999922
74,50,history_npr20_bdf2_to100_00029.csv,3.2938930319999997,2.547182198,3.1524543440999997,-0.24985936499999983
75,50,history_npr20_bdf2_to100_00029.csv,3.292168182,2.5335449160000003,3.1436273982,-0.22452052600000005
76,50,history_npr20_bdf2_to100_00029.csv,3.2968183530000004,2.533400586,3.1409630103,-0.23415368800000014
