iteration,time_us,separation_x_mm,reattachment_x_mm,shock_x_mm,wall_shear_min_kpa,wall_pressure_max_bar,yplus_p95
530,35.75,114.58985136075296,123.7351335632807,114.8665,-7.364784892770325,21.36485,0.5372274350000005
540,36.0,114.38527204753498,117.15809183388781,114.6716,-10.440248179010226,21.33125,0.5668984050000001
550,36.25,114.15291558906348,116.96050656710194,114.4767,-15.077885130991556,21.29906,0.5408128800000008
560,36.5,113.91599861120518,116.8997781868764,114.08699999999999,-17.54043742109146,21.26808,0.5394198350000007
570,36.75,113.69956697963009,116.8403654272827,113.8922,-16.54056585034451,21.23871,0.5606350550000002
580,37.0,113.37195262763424,116.75747547416107,113.6974,-20.068075369984353,21.21206,0.5593922000000002
590,37.25,113.12251564047861,116.68088071671896,113.3078,-19.788392721113667,21.1896,0.5608142150000003
600,37.5,112.81032981043012,116.62633877990203,113.113,-17.596942909689716,21.17275,0.5589838400000002
610,37.75,112.53790291990458,116.59504233368322,112.9182,-20.23341173663578,21.16255,0.5410916300000008
620,38.0,112.19958774554351,116.58219422515467,112.5288,-18.778919108695,21.15998,0.5250061850000001
630,38.25,111.94354176851871,116.5823879338927,112.3341,-19.425350338155376,21.16611,0.5335108450000003
640,38.5,111.5767430866135,116.595758114501,111.9447,-17.958789224135188,21.18198,0.5422648500000009
650,38.75,111.24966871818214,116.62149322041125,111.5553,-18.318486314082467,21.20828,0.5433274000000009
660,39.0,110.97465084681733,116.64536028082958,111.36070000000001,-16.687266693984956,21.24495,0.5511088050000006
670,39.25,110.62214534753743,116.67603952181626,110.9715,-17.066441129279156,21.29093,0.5705398150000001
680,39.5,110.35109373208876,116.71899990831417,110.7769,-16.359469793490277,21.34467,0.5925684900000003
690,39.75,110.02766960316558,116.77584660674344,110.38770000000001,-15.750815852781209,21.405,0.6074775700000001
700,40.0,109.76057075483808,116.83993560777536,110.1931,-15.503472454691767,21.47169,0.6065829400000002
710,40.25,109.448677662364,116.91416398918018,109.8041,-14.643082462174657,21.54538,0.6179836750000001
720,40.5,109.20638855573908,117.00016647677236,109.6096,-14.31549309873898,21.62718,0.6319766500000009
730,40.75,108.87996739450358,117.08504167723434,109.22070000000001,-13.804998477107816,21.71784,0.6340187650000009
740,41.0,108.64087306704823,117.18423277039503,109.0263,-12.818690355559083,21.81717,0.6519687150000004
750,41.25,108.31885379315617,117.27231145791202,108.6374,-13.040025545301361,21.9231,0.6661734950000001
760,41.5,108.06492599597853,117.36780699804605,108.443,-12.047750936269727,22.03063,0.6706626650000004
770,41.75,107.76431932687541,117.44910024018169,117.0113,-12.218357198679037,22.13151,0.6688282350000001
