iteration,time_us,shock_x_mm,separation_x_mm,reattachment_x_mm,bubble_length_mm,wall_shear_min_pa,label_accepted
8,2.0,124.6288,123.67082545854649,125.00369280003842,1.3328673414919334,-2328.5791971856697,False
10,2.5,124.6288,123.75479534760719,125.00783730230047,1.253041954693293,-2386.550416250369,False
20,5.0,123.8466,123.48849946712902,124.74767455802757,1.259175090898554,-7354.028693022235,False
28,7.0,123.4556,123.26424201177645,124.58739868498917,1.3231566732127136,-11599.408391645235,False
30,7.499999999999999,123.4556,123.17274077515032,124.57327173874343,1.4005309635931051,-11777.476020095526,False
40,10.0,123.0646,122.91015060305355,124.58663655028656,1.6764859472330058,-11465.975074317328,False
50,12.499999999999998,122.86919999999999,122.6672458526827,124.58290211105539,1.9156562583727,-5325.716681258932,False
60,14.999999999999998,122.2829,122.24962373068648,124.65625480626643,2.406631075579951,-7703.94499575151,False
70,17.5,121.6966,121.39542480430586,,,-17982.691982455908,False
80,20.0,120.52459999999999,120.14101713974745,,,-21950.844633604207,False
90,22.499999999999996,119.5482,119.35617818194929,124.73320196279823,5.377023780848936,-24373.480037684592,False
95,23.749999999999996,119.5482,119.16897496939826,124.65138222146555,5.482407252067293,-31618.192721130363,False
100,24.999999999999996,119.353,118.9957161720787,124.58329061174105,5.587574439662346,-41298.451640166,False
