x_m,r_m,pressure_pa,pressure_over_pc,tau_wall_pa,su2_cf_t,yplus
-0.02268,0.02,5164110.0,0.993098076923077,1838.8358766718677,11804.190166838294,0.7541441
-0.0224814,0.01999803,5170172.0,0.9942638461538461,1177.3660519942362,7557.962594722421,0.6022896
-0.02228287,0.01999211,5177822.0,0.995735,1203.7126827892632,7727.091685635559,0.6123488
-0.02208451,0.01998225,5184002.0,0.9969234615384616,1230.379421444837,7898.275671228385,0.616495
-0.02188638,0.01996846,5189285.0,0.9979394230769231,1241.169844576138,7967.543520653351,0.6200212
-0.02168856,0.01995073,5193917.0,0.9988301923076923,1258.3704249918844,8077.960619201018,0.6201257
-0.02149113,0.01992908,5198099.0,0.9996344230769231,1270.9595106202294,8158.774770517532,0.62305
-0.02129417,0.01990351,5201817.0,1.000349423076923,1288.7005151107537,8272.661057713489,0.6224744
-0.02109776,0.01987403,5205095.0,1.0009798076923078,1300.1379757791863,8346.082488341799,0.6243581
-0.02090197,0.01984066,5207907.0,1.0015205769230768,1315.1049233531753,8442.161044139953,0.62238
-0.02070689,0.01980341,5210304.0,1.0019815384615385,1325.4549753407948,8508.60198291457,0.6232522
-0.02051258,0.01976229,5212267.0,1.0023590384615384,1342.3055403297324,8616.772198686132,0.6210027
-0.02031912,0.01971732,5213856.0,1.0026646153846155,1352.7532613062217,8683.84011202256,0.6211336
-0.0201266,0.01966851,5215083.0,1.002900576923077,1371.887981908097,8806.673195518113,0.6186836
-0.01993509,0.0196159,5215993.0,1.003075576923077,1384.348963850575,8886.665000322779,0.6184952
-0.01974466,0.01955948,5216612.0,1.0031946153846154,1404.3891852455235,9015.31083942815,0.6155008
-0.01955538,0.0194993,5216989.0,1.0032671153846153,1420.5199287258272,9118.860245870348,0.6152311
-0.01936734,0.01943538,5217119.0,1.0032921153846155,1439.4100796955795,9240.123343439893,0.6112519
-0.01918061,0.01936772,5217080.0,1.0032846153846153,1456.6492489074117,9350.788158215575,0.6104105
-0.01899525,0.01929638,5216809.0,1.0032325,1477.563935130361,9485.047521211189,0.606156
-0.01881135,0.01922136,5216357.0,1.0031455769230768,1493.2564746078008,9585.783928708079,0.6041389
-0.01862898,0.01914271,5215675.0,1.0030144230769231,1515.6283481586659,9729.397533996678,0.5994381
-0.0184482,0.01906045,5214762.0,1.0028388461538462,1534.0231096347916,9847.480537103413,0.5971104
-0.01826909,0.01897463,5213579.0,1.0026113461538462,1559.199131505826,10009.095042008574,0.5921587
-0.01809173,0.01888525,5212175.0,1.0023413461538462,1589.0239013479318,10200.551636566426,0.5875065
-0.01791617,0.01879238,5210429.0,1.002005576923077,1603.8146916768821,10295.499371693697,0.5842592
-0.01774245,0.01869611,5207864.0,1.0015123076923076,1597.7543028528007,10256.595419975116,0.5776092
