x_m,r_m,pressure_pa,pressure_over_pc,tau_wall_pa,su2_cf_t,yplus
-0.02268,0.02,5164838.0,0.993238076923077,1900.1874753106856,12198.029522791525,0.7666839
-0.0224814,0.01999803,5170616.0,0.9943492307692308,1115.8344443453623,7162.967692146784,0.5863663
-0.02228287,0.01999211,5177828.0,0.9957361538461539,1121.7789212502048,7201.127560962342,0.5907681
-0.02208451,0.01998225,5183829.0,0.9968901923076923,1163.8054773715303,7470.912084315947,0.5995244
-0.02188638,0.01996846,5189099.0,0.9979036538461539,1184.592671282802,7604.353025444257,0.60539
-0.02168856,0.01995073,5193774.0,0.9988026923076923,1204.3552566004792,7731.21661247653,0.6066489
-0.02149113,0.01992908,5197964.0,0.9996084615384615,1218.8436189485515,7824.222946827718,0.609821
-0.02129417,0.01990351,5201689.0,1.0003248076923077,1237.4854709343135,7943.892118336522,0.6099629
-0.02109776,0.01987403,5204960.0,1.000953846153846,1250.7705371105055,8029.174034744762,0.6120676
-0.02090197,0.01984066,5207785.0,1.0014971153846153,1266.3543511512423,8129.212492116195,0.6107184
-0.02070689,0.01980341,5210188.0,1.0019592307692309,1278.219824466974,8205.381499484021,0.6117244
-0.02051258,0.01976229,5212178.0,1.002341923076923,1295.4282016767788,8315.84864863214,0.6100467
-0.02031912,0.01971732,5213781.0,1.0026501923076923,1306.7953362652136,8388.818629279234,0.6101723
-0.0201266,0.01966851,5215035.0,1.0028913461538462,1325.719379617425,8510.299295003082,0.6081694
-0.01993509,0.0196159,5215958.0,1.0030688461538462,1338.4783365514518,8592.203915143702,0.607846
-0.01974466,0.01955948,5216601.0,1.0031925,1357.7349076507842,8715.819203545172,0.6051774
-0.01955538,0.0194993,5216984.0,1.0032661538461538,1373.888419538177,8819.514769092968,0.6047453
-0.01936734,0.01943538,5217132.0,1.0032946153846154,1391.398492985217,8931.918621675104,0.6009593
-0.01918061,0.01936772,5217089.0,1.0032863461538462,1408.5350543670386,9041.924757580411,0.5999441
-0.01899525,0.01929638,5216828.0,1.0032361538461538,1428.2805558134594,9168.678676714828,0.5959478
-0.01881135,0.01922136,5216370.0,1.003148076923077,1443.7694772875034,9268.107982439358,0.5937483
-0.01862898,0.01914271,5215698.0,1.003018846153846,1465.2223930816172,9405.82244672598,0.5893719
-0.0184482,0.01906045,5214792.0,1.0028446153846153,1483.728085672078,9524.617559045746,0.5869499
-0.01826909,0.01897463,5213637.0,1.0026225,1507.2205647658752,9675.424759531503,0.58221
-0.01809173,0.01888525,5212215.0,1.0023490384615386,1532.3132105819236,9836.504041679209,0.5769967
-0.01791617,0.01879238,5210345.0,1.001989423076923,1535.9962984589747,9860.147190180627,0.5714382
-0.01774245,0.01869611,5207621.0,1.001465576923077,1529.3318770453234,9817.36572245058,0.5647118
-0.01757033,0.01859701,5203479.0,1.0006690384615384,1814.0455952651346,11645.051877376514,0.609768
-0.01739833,0.01849767,5196987.0,0.999420576923077,1755.1968419595876,11267.27924203001,0.5946946
-0.01722634,0.01839834,5191609.0,0.9983863461538461,1718.65914281293,11032.729789054096,0.5846302
-0.01705434,0.01829904,5186739.0,0.9974498076923077,1710.1260644709455,10977.952698431078,0.5800348
-0.01688233,0.01819973,5182082.0,0.9965542307692308,1717.2452368136098,11023.653386148462,0.5783914
-0.01671032,0.01810043,5177454.0,0.9956642307692307,1727.444838266949,11089.12852545186,0.577343
-0.01653832,0.01800113,5172812.0,0.9947715384615384,1740.2630344170234,11171.413424757375,0.5767337
-0.01636631,0.01790182,5168131.0,0.9938713461538462,1755.7995079779225,11271.14798549851,0.5765488
