x_m,r_m,pressure_pa,pressure_over_pc,tau_wall_pa,su2_cf_t,yplus
-0.02268,0.02,5167762.0,0.9938003846153847,2159.0241720235304,13859.601188276212,0.8174491
-0.0224814,0.01999803,5172414.0,0.994695,931.323447280308,5978.521094786046,0.5357636
-0.02228287,0.01999211,5178279.0,0.9958228846153846,880.1670172030066,5650.128421709662,0.5225833
-0.02208451,0.01998225,5183780.0,0.9968807692307692,957.4767365553924,6146.409052601065,0.5436393
-0.02188638,0.01996846,5189026.0,0.9978896153846154,1014.0429139489352,6509.528960927521,0.559452
-0.02168856,0.01995073,5193823.0,0.9988121153846153,1048.4638664421825,6730.4902082626495,0.5659644
-0.02149113,0.01992908,5198144.0,0.999643076923077,1069.8685601211007,6867.89511636471,0.5707045
-0.02129417,0.01990351,5202000.0,1.0003846153846154,1091.9463151121072,7009.620662226032,0.572928
-0.02109776,0.01987403,5205415.0,1.001041346153846,1110.3931559594907,7128.037982717965,0.5760719
-0.02090197,0.01984066,5208396.0,1.0016146153846155,1128.5642754953737,7244.685342749972,0.5765013
-0.02070689,0.01980341,5210962.0,1.002108076923077,1144.6311292139392,7347.824616397374,0.5782604
-0.02051258,0.01976229,5213137.0,1.002526346153846,1163.8955710557218,7471.490430102278,0.5782236
-0.02031912,0.01971732,5214963.0,1.0028775,1177.353125304387,7557.879613360602,0.5785674
-0.0201266,0.01966851,5216477.0,1.003168653846154,1196.6706091671701,7681.885924067261,0.5778042
-0.01993509,0.0196159,5217727.0,1.0034090384615384,1209.7286688780353,7765.710599228571,0.5773025
-0.01974466,0.01955948,5218746.0,1.003605,1227.6608633531616,7880.824207995129,0.5754767
-0.01955538,0.0194993,5219569.0,1.0037632692307692,1243.9988630492712,7985.704071285418,0.5749358
-0.01936734,0.01943538,5220211.0,1.0038867307692307,1258.3851899859603,8078.05540134014,0.571564
-0.01918061,0.01936772,5220685.0,1.0039778846153846,1275.8411276003012,8190.111735325249,0.5705167
-0.01899525,0.01929638,5220990.0,1.0040365384615384,1293.6656147372787,8304.533929530018,0.5672519
-0.01881135,0.01922136,5221121.0,1.0040617307692308,1309.0555601228061,8403.32786992062,0.5649542
-0.01862898,0.01914271,5221048.0,1.0040476923076922,1330.068417659362,8538.217432092486,0.5616521
-0.0184482,0.01906045,5220715.0,1.003983653846154,1350.2393586912447,8667.702410499242,0.5595594
-0.01826909,0.01897463,5219973.0,1.0038409615384616,1370.8284857518358,8799.871884825734,0.5554574
-0.01809173,0.01888525,5218537.0,1.0035648076923076,1383.8272743153154,8883.316075842687,0.5486733
-0.01791617,0.01879238,5216001.0,1.0030771153846154,1363.2086129776774,8750.957009705897,0.5378742
-0.01774245,0.01869611,5212207.0,1.0023475,1360.6131739009004,8734.29589447675,0.5320363
-0.01757033,0.01859701,5207924.0,1.0015238461538463,1754.174758253887,11260.7180961542,0.5997619
-0.01739833,0.01849767,5203746.0,1.0007203846153847,1681.320045076872,10793.035852294322,0.5825036
-0.01722634,0.01839834,5200064.0,1.0000123076923078,1607.896564843454,10321.702475356398,0.5658936
-0.01705434,0.01829904,5196381.0,0.9993040384615385,1583.590258019141,10165.671003680414,0.5585272
-0.01688233,0.01819973,5192587.0,0.9985744230769231,1591.5961987614821,10217.064196616197,0.557182
-0.01671032,0.01810043,5188608.0,0.9978092307692308,1605.3711422905058,10305.490822949128,0.5569309
-0.01653832,0.01800113,5184444.0,0.9970084615384616,1619.980748690762,10399.275469202285,0.5568197
-0.01636631,0.01790182,5180114.0,0.9961757692307692,1635.7106591130234,10500.251775074545,0.5568684
-0.0161943,0.01780252,5175642.0,0.9953157692307693,1652.82602378947,10610.12184122815,0.5571072
-0.01602229,0.01770322,5171041.0,0.9944309615384616,1671.626210622958,10730.807424629014,0.557577
-0.01585028,0.01760391,5166321.0,0.9935232692307693,1692.4186518444192,10864.282050246586,0.5583228
-0.01567828,0.01750461,5161487.0,0.9925936538461538,1714.8388078695468,11008.205599187662,0.5592767
-0.01550627,0.01740531,5156542.0,0.9916426923076923,1738.5781277808906,11160.597365206548,0.5603807
-0.01533426,0.017306,5151486.0,0.9906703846153846,1763.2559001837565,11319.01341637943,0.5615651
-0.01516226,0.0172067,5146317.0,0.9896763461538461,1788.8760782379197,11483.479129549529,0.5628247
-0.01499025,0.01710739,5141032.0,0.98866,1815.6956467822213,11655.644188598995,0.5641967
-0.01481824,0.01700808,5135626.0,0.9876203846153846,1844.1682748518958,11838.420868425583,0.56575
-0.01464624,0.01690878,5130093.0,0.9865563461538461,1873.4656208921888,12026.491728055105,0.5673498
-0.01447423,0.01680947,5124423.0,0.9854659615384616,1902.9618877459143,12215.839536399675,0.5688936
-0.01430223,0.01671017,5118601.0,0.9843463461538462,1933.364881468602,12411.007971003717,0.5704845
-0.01413022,0.01661086,5112605.0,0.9831932692307692,1964.976927741508,12613.937775942943,0.5721642
-0.01395821,0.01651156,5106415.0,0.9820028846153847,1997.369585837364,12821.878626468935,0.5738657
-0.0137862,0.01641226,5100007.0,0.9807705769230769,2030.2675167284522,13033.063016147453,0.5755453
-0.0136142,0.01631295,5093357.0,0.9794917307692308,2063.7681039824347,13248.116087312506,0.5772149
-0.01344219,0.01621365,5086441.0,0.9781617307692307,2097.9781771976077,13467.723619978362,0.5788879
-0.01327018,0.01611434,5079239.0,0.9767767307692308,2132.6038668048845,13689.999153084651,0.5805204
-0.01309817,0.01601504,5071728.0,0.9753323076923077,2167.1349750348586,13911.667532187648,0.5820394
-0.01292617,0.01591574,5063889.0,0.9738248076923077,2201.9627064773454,14135.24004904041,0.5834961
-0.01275416,0.01581644,5055704.0,0.9722507692307693,2237.5444552644453,14363.652891360947,0.5849533
-0.01258215,0.01571713,5047161.0,0.9706078846153846,2273.4113252027346,14593.896035304331,0.5863488
-0.01241015,0.01561783,5038249.0,0.9688940384615384,2309.240100559852,14823.89463557409,0.5876402
-0.01223814,0.01551852,5028962.0,0.9671080769230769,2345.160500537674,15054.481409296674,0.588844
-0.01206613,0.01541922,5019295.0,0.9652490384615384,2381.433645463074,15287.33258763221,0.5899936
-0.01189412,0.01531992,5009248.0,0.9633169230769231,2417.939264791467,15521.676107996022,0.5910734
-0.01172212,0.01522061,4998821.0,0.9613117307692308,2454.169623302662,15754.252623988803,0.5920196
-0.01155011,0.01512131,4988019.0,0.9592344230769231,2490.4747968920724,15987.309406557739,0.592876
-0.0113781,0.015022,4976849.0,0.9570863461538461,2527.7749702007704,16226.753472544096,0.5937573
-0.0112061,0.01492269,4965325.0,0.9548701923076923,2565.437766398114,16468.525353421777,0.5945893
-0.01103409,0.01482339,4953467.0,0.9525898076923077,2602.305880161156,16705.195864081623,0.5952342
-0.01086209,0.01472408,4941293.0,0.9502486538461539,2639.0062137060095,16940.78932940705,0.5957655
-0.01069008,0.01462478,4928819.0,0.9478498076923076,2676.2463616297946,17179.848069510146,0.5962659
-0.01051807,0.01452547,4916065.0,0.9453971153846153,2714.0126183040215,17422.2841027243,0.5967349
-0.01034606,0.01442617,4903051.0,0.9428944230769231,2751.7545604166235,17664.56405147606,0.5971117
-0.01017406,0.01432687,4889794.0,0.940345,2789.677053805944,17908.003027867147,0.5974194
-0.01000205,0.01422756,4876310.0,0.9377519230769231,2828.298523993678,18155.929003427304,0.5977152
-0.009830044,0.01412826,4862608.0,0.9351169230769231,2867.585935918231,18408.12991347246,0.5979941
-0.009658036,0.01402896,4848688.0,0.93244,2907.1854319031454,18662.334210357785,0.5982152
-0.009486028,0.01392965,4834539.0,0.9297190384615385,2947.5450201718854,18921.417830067105,0.5984208
-0.00931402,0.01383035,4820134.0,0.9269488461538462,2989.83314095172,19192.8814369154,0.5987276
-0.009142013,0.01373105,4805432.0,0.9241215384615384,3034.2693140577185,19478.134212480727,0.5991501
-0.008970006,0.01363174,4790382.0,0.9212273076923077,3080.7922199134905,19776.78252297018,0.5996718
-0.008797999,0.01353244,4774916.0,0.9182530769230769,3129.8324795381577,20091.590689258745,0.6003222
-0.008625992,0.01343313,4758952.0,0.9151830769230769,3182.4600854194728,20429.427402001606,0.6011896
-0.008453985,0.01333383,4742397.0,0.911999423076923,3239.345496584959,20794.59659389899,0.6023186
-0.008281978,0.01323453,4725158.0,0.9086842307692308,3300.2336932886847,21185.46119575105,0.6036616
-0.008109971,0.01313522,4707138.0,0.9052188461538462,3365.7909892933158,21606.298530218864,0.6052566
-0.007937965,0.01303592,4688258.0,0.901588076923077,3437.263018773783,22065.104799065586,0.6071937
-0.00776596,0.01293661,4668464.0,0.8977815384615384,3514.8511302961374,22563.172535678037,0.6094662
-0.007593954,0.0128373,4647740.0,0.8937961538461539,3596.683750981099,23088.487398559842,0.6118828
-0.007421947,0.012738,4626103.0,0.8896351923076923,3682.257542873606,23637.8182690369,0.6143786
-0.00724994,0.01263869,4603596.0,0.885306923076923,3772.2492521107815,24215.509439168447,0.6169944
-0.007077933,0.01253939,4580289.0,0.8808248076923076,3866.5749563755594,24821.022179531992,0.6197099
-0.006905926,0.01244008,4556264.0,0.8762046153846154,3964.242165138183,25447.985314156558,0.6224332
-0.006733919,0.01234078,4531594.0,0.8714603846153847,4064.9017124480542,26094.15741337844,0.6251273
-0.006561911,0.01224148,4506314.0,0.8665988461538462,4168.28955168361,26757.84346103368,0.6277585
-0.006389903,0.01214218,4480391.0,0.8616136538461538,4276.624557105991,27453.287258903107,0.6304778
-0.006217895,0.01204287,4453700.0,0.8564807692307692,4393.819207811386,28205.604505381074,0.6335446
-0.006045888,0.01194357,4425994.0,0.8511526923076923,4520.483184139261,29018.70897154379,0.6369533
-0.005873881,0.01184426,4396860.0,0.84555,4631.109738593437,29728.86309831811,0.6388008
