x_m,r_m,pressure_pa,pressure_over_pc,tau_wall_pa,su2_cf_t,yplus
-0.02268,0.02,5179007.0,0.9959628846153846,1566.9863846760693,10059.084395851962,0.6971731
-0.0224814,0.01999803,5175562.0,0.9953003846153846,725.0576237632943,4654.421953256834,0.4732578
-0.02228287,0.01999211,5175607.0,0.9953090384615385,466.0886996302782,2992.001469433995,0.3786204
-0.02208451,0.01998225,5175236.0,0.9952376923076923,384.538356899033,2468.4986566039865,0.3430352
-0.02188638,0.01996846,5175394.0,0.995268076923077,336.2105709918616,2158.26413136566,0.3198954
-0.02168856,0.01995073,5175349.0,0.995259423076923,319.36055095333046,2050.0974138389984,0.3108179
-0.02149113,0.01992908,5175449.0,0.9952786538461539,312.2113542035235,2004.2039879789359,0.3062195
-0.02129417,0.01990351,5175465.0,0.9952817307692308,317.82136489348187,2040.2167903515542,0.3076597
-0.02109776,0.01987403,5175522.0,0.9952926923076924,327.2333507791363,2100.6359243543916,0.3106862
-0.02090197,0.01984066,5175524.0,0.9952930769230769,340.5482510275496,2186.1093570727157,0.3152318
-0.02070689,0.01980341,5175502.0,0.9952888461538462,354.8406013994744,2277.8574156469435,0.3198617
-0.02051258,0.01976229,5175417.0,0.9952725,370.0889731860384,2375.74254100627,0.3245353
-0.02031912,0.01971732,5175279.0,0.9952459615384616,385.0604074775478,2471.8498987586972,0.3286967
-0.0201266,0.01966851,5175075.0,0.9952067307692307,400.24419463118164,2569.320430679515,0.3325693
-0.01993509,0.0196159,5174807.0,0.9951551923076923,414.8759459838575,2663.2472338445045,0.3358333
-0.01974466,0.01955948,5174474.0,0.9950911538461539,429.5438616395944,2757.40618949031,0.3387442
-0.01955538,0.0194993,5174080.0,0.9950153846153846,444.1361540210388,2851.0796904405056,0.3412693
-0.01936734,0.01943538,5173633.0,0.9949294230769231,458.6254893906504,2944.092270988776,0.3433765
-0.01918061,0.01936772,5173133.0,0.9948332692307692,474.0250433939282,3042.9478927684595,0.3454685
-0.01899525,0.01929638,5172585.0,0.9947278846153846,490.03023537726443,3145.691336174622,0.3473976
-0.01881135,0.01922136,5171990.0,0.9946134615384615,507.2095628406851,3255.972003899919,0.3493451
-0.01862898,0.01914271,5171338.0,0.994488076923077,526.2067914610459,3377.92247382631,0.3515016
-0.0184482,0.01906045,5170614.0,0.9943488461538461,547.3799722924571,3513.8412124922033,0.353923
-0.01826909,0.01897463,5169779.0,0.9941882692307692,571.322748218472,3667.5390404159252,0.3567331
-0.01809173,0.01888525,5168776.0,0.9939953846153846,600.0274395936194,3851.80542327871,0.3604622
-0.01791617,0.01879238,5167475.0,0.9937451923076923,635.6835549075406,4080.6956527525977,0.3656134
-0.01774245,0.01869611,5165738.0,0.9934111538461539,686.729451535911,4408.37876938214,0.3748408
-0.01757033,0.01859701,5163343.0,0.992950576923077,772.9761124717903,4962.029043372097,0.3955348
-0.01739833,0.01849767,5161084.0,0.9925161538461539,792.8571456065307,5089.652992204571,0.3987672
-0.01722634,0.01839834,5159280.0,0.9921692307692308,800.0358934931327,5135.736118104099,0.3988011
-0.01705434,0.01829904,5157671.0,0.9918598076923076,809.4032633330942,5195.868844660501,0.3992797
-0.01688233,0.01819973,5156183.0,0.9915736538461538,820.6186237251043,5267.864528743261,0.4001172
-0.01671032,0.01810043,5154720.0,0.9912923076923077,832.5830068393959,5344.668475904452,0.4010474
-0.01653832,0.01800113,5153246.0,0.9910088461538461,844.7369910398207,5422.689544889808,0.4019635
-0.01636631,0.01790182,5151721.0,0.9907155769230769,857.7200899018605,5506.033017717713,0.4030393
-0.0161943,0.01780252,5150112.0,0.9904061538461538,871.746022547641,5596.070839101596,0.4043267
-0.01602229,0.01770322,5148390.0,0.990075,887.0453081940647,5694.282799983079,0.4058698
-0.01585028,0.01760391,5146521.0,0.9897155769230769,903.6025946593255,5800.570348840618,0.4076522
-0.01567828,0.01750461,5144478.0,0.9893226923076923,921.2168875304817,5913.643225731531,0.4096145
-0.01550627,0.01740531,5142239.0,0.9888921153846154,939.6769488620051,6032.145413563101,0.4116969
-0.01533426,0.017306,5139781.0,0.9884194230769231,958.7817296091088,6154.786301689956,0.4138439
-0.01516226,0.0172067,5137085.0,0.9879009615384615,978.4283662339506,6280.905569755438,0.4160251
-0.01499025,0.01710739,5134132.0,0.9873330769230769,998.5803023507143,6410.268548349695,0.4182283
-0.01481824,0.01700808,5130907.0,0.9867128846153846,1019.1888548734833,6542.5627221409595,0.4204427
-0.01464624,0.01690878,5127397.0,0.9860378846153847,1039.9968705161543,6676.137325919731,0.4226117
-0.01447423,0.01680947,5123593.0,0.9853063461538462,1060.836755408104,6809.916510587821,0.4246966
-0.01430223,0.01671017,5119492.0,0.9845176923076923,1081.8266877962074,6944.658907471381,0.426721
-0.01413022,0.01661086,5115091.0,0.9836713461538461,1103.0348443762316,7080.802168832907,0.4286996
-0.01395821,0.01651156,5110394.0,0.9827680769230769,1124.3950437702513,7217.9214511176015,0.4306196
-0.0137862,0.01641226,5105408.0,0.9818092307692308,1145.8890867849432,7355.899926749063,0.4324773
-0.0136142,0.01631295,5100142.0,0.9807965384615385,1167.5786317165596,7495.133403892422,0.4342847
-0.01344219,0.01621365,5094602.0,0.9797311538461538,1189.524761002526,7636.0139940549525,0.4360541
-0.01327018,0.01611434,5088796.0,0.9786146153846154,1211.7232548431818,7778.51460873012,0.4377837
-0.01309817,0.01601504,5082729.0,0.9774478846153846,1234.156714123132,7922.523556347476,0.4394675
-0.01292617,0.01591574,5076406.0,0.9762319230769231,1256.9634003315282,8068.92839023976,0.4411291
-0.01275416,0.01581644,5069827.0,0.9749667307692308,1280.2709117256793,8218.548212379768,0.4427916
-0.01258215,0.01571713,5062995.0,0.9736528846153846,1304.0235082552956,8371.02520608474,0.444444
-0.01241015,0.01561783,5055917.0,0.9722917307692308,1328.1964403068432,8526.200494127832,0.4460792
-0.01223814,0.01551852,5048597.0,0.9708840384615385,1352.882682944166,8684.670918972424,0.4477107
-0.01206613,0.01541922,5041037.0,0.9694301923076923,1378.2059172586623,8847.230436806469,0.4493569
-0.01189412,0.01531992,5033240.0,0.9679307692307693,1404.25017096943,9014.41845366837,0.4510281
-0.01172212,0.01522061,5025203.0,0.9663851923076923,1431.065011888151,9186.553164282668,0.4527265
-0.01155011,0.01512131,5016918.0,0.9647919230769231,1458.8653848524252,9365.0143816988,0.4544814
-0.0113781,0.015022,5008375.0,0.9631490384615384,1487.915988459862,9551.501307364117,0.456332
-0.0112061,0.01492269,4999562.0,0.9614542307692308,1518.1540113152805,9745.610730930826,0.4582629
-0.01103409,0.01482339,4990470.0,0.9597057692307692,1549.4560751195374,9946.550639950172,0.4602447
-0.01086209,0.01472408,4981087.0,0.9579013461538461,1582.1033542202904,10156.12600000494,0.4623105
-0.01069008,0.01462478,4971401.0,0.9560386538461538,1616.4091688558515,10376.348133433943,0.4644986
-0.01051807,0.01452547,4961402.0,0.9541157692307692,1652.4866314835315,10607.943152324326,0.4668166
-0.01034606,0.01442617,4951083.0,0.9521313461538462,1690.307540360573,10850.730018912598,0.4692493
-0.01017406,0.01432687,4940439.0,0.9500844230769231,1729.9912394657533,11105.474847803453,0.4718028
-0.01000205,0.01422756,4929464.0,0.9479738461538462,1771.7171000170051,11373.329091387935,0.4744913
-0.009830044,0.01412826,4918152.0,0.9457984615384616,1815.526736610555,11654.559889661414,0.4773087
-0.009658036,0.01402896,4906495.0,0.9435567307692307,1861.4502262118772,11949.360318158579,0.4802444
-0.009486028,0.01392965,4894483.0,0.9412467307692308,1909.747759291521,12259.400638936491,0.4833178
-0.00931402,0.01383035,4882098.0,0.938865,1960.8350578740055,12587.349530530424,0.4865682
-0.009142013,0.01373105,4869326.0,0.9364088461538461,2014.8994161556884,12934.40930595754,0.4900034
-0.008970006,0.01363174,4856147.0,0.933874423076923,2072.035103340214,13301.18511525913,0.4936163
-0.008797999,0.01353244,4842541.0,0.9312578846153846,2132.474128197452,13689.16631138652,0.4974143
-0.008625992,0.01343313,4828485.0,0.9285548076923077,2196.639194829456,14101.066393498731,0.5014262
-0.008453985,0.01333383,4813952.0,0.92576,2264.900225308527,14539.260032736218,0.5056713
-0.008281978,0.01323453,4798917.0,0.9228686538461538,2337.4586615868816,15005.040361967282,0.5101441
-0.008109971,0.01313522,4783346.0,0.9198742307692308,2414.743282116556,15501.15987392469,0.5148634
-0.007937965,0.01303592,4767202.0,0.9167696153846154,2497.4109221798667,16031.83504528213,0.5198719
-0.00776596,0.01293661,4750448.0,0.9135476923076923,2585.9294258391847,16600.06914585326,0.5251876
-0.007593954,0.0128373,4733044.0,0.9102007692307692,2680.2960672463146,17205.844677376877,0.5307713
-0.007421947,0.012738,4714944.0,0.90672,2781.1449361239925,17853.232104087976,0.5366442
-0.00724994,0.01263869,4696074.0,0.9030911538461538,2889.6520557678905,18549.78076891534,0.5428765
-0.007077933,0.01253939,4676351.0,0.8992982692307693,3006.863618774118,19302.20658191505,0.549517
-0.006905926,0.01244008,4655669.0,0.8953209615384615,3133.6499372056037,20116.096408791444,0.5565876
-0.006733919,0.01234078,4633905.0,0.8911355769230769,3271.1163691857964,20998.545965729525,0.5641202
-0.006561911,0.01224148,4610904.0,0.8867123076923077,3420.5312112023366,21957.696932537678,0.5721455
-0.006389903,0.01214218,4586470.0,0.8820134615384615,3584.142294628455,23007.978997764632,0.5807628
-0.006217895,0.01204287,4560350.0,0.8769903846153846,3765.2167572030403,24170.365167027885,0.5901298
-0.006045888,0.01194357,4532210.0,0.8715788461538462,3966.5888568047026,25463.049624705396,0.6003319
-0.005873881,0.01184426,4501585.0,0.8656894230769231,4183.291983631318,26854.14980458638,0.6107645
-0.005701897,0.01174492,4467768.0,0.8591861538461538,4454.129871669638,28592.76170320537,0.6242467
-0.005529897,0.01164561,4430144.0,0.8519507692307692,4770.431983383958,30623.225826847563,0.6398073
-0.005357828,0.01154641,4387240.0,0.8437,5099.572992635217,32736.107739908173,0.6545124
-0.00518574,0.01144724,4337108.0,0.8340592307692307,5530.0798114962145,35499.69551977758,0.6739091
-0.005013605,0.01134816,4275902.0,0.8222888461538461,6182.499491237129,39687.82675321215,0.7044643
-0.004841241,0.01124947,4197491.0,0.8072098076923077,7323.232384570092,47010.627103856394,0.767614
-0.0046663,0.01115547,4120689.0,0.7924401923076924,7196.186468330733,46195.07081945113,0.7573985
-0.004489727,0.01106455,4055959.0,0.7799921153846154,7283.812074572229,46757.573070294304,0.7601107
-0.004311381,0.01097714,3988260.0,0.7669730769230769,7495.005213944757,48113.302535175615,0.7685164
-0.004131335,0.0108933,3921439.0,0.7541228846153846,7683.1914466698145,49321.34187465597,0.7752616
-0.003949659,0.01081305,3854315.0,0.7412144230769231,7897.839286246108,50699.24838029008,0.7827542
-0.003766427,0.01073641,3786581.0,0.7281886538461538,8126.910402145727,52169.7434082112,0.7903324
-0.003581707,0.01066344,3718041.0,0.7150078846153847,8363.88400735154,53690.96753476757,0.7975796
-0.003395578,0.01059414,3648543.0,0.7016428846153846,8609.8813936411,55270.118760358615,0.8045603
-0.003208104,0.01052857,3578029.0,0.6880825,8854.228461986428,56838.67596442951,0.8106864
-0.003019367,0.01046672,3506556.0,0.6743376923076924,9099.783640320811,58414.9884881753,0.8161131
-0.00282944,0.01040864,3433977.0,0.6603801923076923,9344.459245051827,59985.65469284956,0.8207108
-0.002638397,0.01035433,3360321.0,0.646215576923077,9585.834300748027,61535.13341203031,0.8243889
-0.002446311,0.01030384,3285704.0,0.6318661538461539,9818.075300163164,63025.97713354535,0.8268868
-0.002253261,0.01025717,3210247.0,0.6173551923076923,10044.740511182217,64481.027738669516,0.8283864
-0.002059324,0.01021433,3133846.0,0.6026626923076923,10267.927666714259,65913.75137655297,0.8289829
-0.001864573,0.01017537,3056616.0,0.5878107692307692,10480.028972581676,67275.3107092027,0.8283764
-0.001669086,0.01014028,2978780.0,0.5728423076923077,10681.581931541783,68569.15617221387,0.8266304
-0.001472941,0.01010907,2900316.0,0.557753076923077,10877.524751992301,69826.98801232937,0.8239635
-0.001276215,0.01008177,2821256.0,0.5425492307692308,11061.878136996856,71010.42283764546,0.8201548
-0.001078986,0.01005838,2741729.0,0.5272555769230769,11236.275395944735,72129.94548526859,0.8153165
-0.000881331,0.01003892,2661890.0,0.5119019230769231,11394.586364717898,73146.20408920504,0.8092513
-0.0006833288,0.01002337,2581738.0,0.49648807692307695,11555.089007702649,74176.5318874103,0.8026481
-0.0004850564,0.01001177,2500618.0,0.48088807692307695,11737.00575922899,75344.32503131882,0.7960332
-0.0002865932,0.0100041,2416063.0,0.4646275,12078.031831062424,77533.5017027342,0.7935313
-8.801603e-05,0.01000044,2317863.0,0.44574288461538464,12884.038287533545,82707.56514612565,0.8025956
0.0001105874,0.01000122,2181717.0,0.41956096153846156,14191.814481956753,91102.68027873644,0.8175452
0.0003090139,0.01000956,2017349.0,0.3879517307692308,14838.55963343549,95254.38454684822,0.8046145
0.0005069526,0.01002577,1857201.0,0.3571540384615385,14918.198554776209,95765.61721536085,0.7739741
0.0007040912,0.01004983,1704792.0,0.3278446153846154,14831.909040701816,95211.6918506993,0.7386553
