x_m,r_m,pressure_pa,pressure_over_pc,tau_wall_pa,su2_cf_t,yplus
-0.02268,0.02,5181604.0,0.9964623076923077,1739.7794190355105,11168.308912819464,0.734761
-0.0224814,0.01999803,5177358.0,0.9956457692307692,702.2591891250308,4508.070089346405,0.4657487
-0.02228287,0.01999211,5176853.0,0.9955486538461539,506.61211909222953,3252.1367841773613,0.3947798
-0.02208451,0.01998225,5176559.0,0.9954921153846154,438.85931179859426,2817.2056237745483,0.366693
-0.02188638,0.01996846,5176493.0,0.995479423076923,422.8014874764906,2714.1243132734385,0.35915
-0.02168856,0.01995073,5176406.0,0.9954626923076924,433.12622846783717,2780.4027710908863,0.3624399
-0.02149113,0.01992908,5176350.0,0.9954519230769231,450.9632396372081,2894.905361845398,0.3685095
-0.02129417,0.01990351,5176386.0,0.9954588461538462,471.4598710631882,3026.4810713479583,0.3751499
-0.02109776,0.01987403,5176475.0,0.9954759615384615,491.72293757595406,3156.5574384204197,0.3812665
-0.02090197,0.01984066,5176616.0,0.9955030769230769,509.85588078083737,3272.959729995415,0.3860844
-0.02070689,0.01980341,5176821.0,0.9955425,526.2874515948535,3378.440262047883,0.3899118
-0.02051258,0.01976229,5177076.0,0.9955915384615385,541.1932817634482,3474.126481866013,0.3927879
-0.02031912,0.01971732,5177359.0,0.9956459615384615,553.9223237689957,3555.8390666493306,0.3945815
-0.0201266,0.01966851,5177640.0,0.9957,566.5165439553174,3636.686178655566,0.3959914
-0.01993509,0.0196159,5177886.0,0.9957473076923077,577.6223953096088,3707.978882378514,0.3966113
-0.01974466,0.01955948,5178077.0,0.9957840384615385,589.3549819858017,3783.294839627159,0.3971219
-0.01955538,0.0194993,5178180.0,0.9958038461538462,601.4925596213046,3861.2105886028394,0.3975055
-0.01936734,0.01943538,5178173.0,0.9958025,613.3399495890314,3937.263512049631,0.3974359
-0.01918061,0.01936772,5178031.0,0.9957751923076923,627.7739076755989,4029.9206046567165,0.3979248
-0.01899525,0.01929638,5177722.0,0.9957157692307692,643.0149356026503,4127.758586975522,0.3982928
-0.01881135,0.01922136,5177222.0,0.9956196153846154,659.4751975224314,4233.42329819963,0.398705
-0.01862898,0.01914271,5176478.0,0.9954765384615385,677.1668256069286,4346.992619377089,0.3990918
-0.0184482,0.01906045,5175417.0,0.9952725,693.8099017877262,4453.830885201489,0.3988006
-0.01826909,0.01897463,5173953.0,0.9949909615384616,706.8763056051426,4537.709124371286,0.3971712
-0.01809173,0.01888525,5171943.0,0.9946044230769231,713.0440940353576,4577.302515202257,0.3932015
-0.01791617,0.01879238,5169420.0,0.9941192307692308,713.5312816278403,4580.429958527432,0.3874189
-0.01774245,0.01869611,5166321.0,0.9935232692307693,749.7643222384019,4813.023691940958,0.3917599
-0.01757033,0.01859701,5161963.0,0.9926851923076923,990.4265536808475,6357.926519845273,0.4479695
-0.01739833,0.01849767,5157446.0,0.9918165384615385,1017.0637942103572,6528.921145694774,0.4519093
-0.01722634,0.01839834,5152989.0,0.9909594230769231,998.5943073394395,6410.35845172405,0.4455958
-0.01705434,0.01829904,5148347.0,0.9900667307692308,978.393843216884,6280.683953316604,0.4386896
-0.01688233,0.01819973,5143421.0,0.9891194230769231,970.7530154925103,6231.634560363819,0.4345742
-0.01671032,0.01810043,5138144.0,0.9881046153846154,969.9696420793198,6226.605787074012,0.4320584
-0.01653832,0.01800113,5132475.0,0.9870144230769231,974.0268343451554,6252.650454603574,0.4306935
-0.01636631,0.01790182,5126368.0,0.98584,981.507749632392,6300.673308515025,0.4301286
-0.0161943,0.01780252,5119784.0,0.9845738461538461,991.2537569136745,6363.236653496018,0.4300672
-0.01602229,0.01770322,5112700.0,0.9832115384615384,1002.7775431917618,6437.212241200314,0.4303717
-0.01585028,0.01760391,5105099.0,0.9817498076923077,1015.9286365309782,6521.634134772958,0.4309887
-0.01567828,0.01750461,5096976.0,0.9801876923076923,1030.2591981252262,6613.627485784936,0.4318068
-0.01550627,0.01740531,5088336.0,0.9785261538461538,1045.4288592018881,6711.0073370196715,0.4327425
-0.01533426,0.017306,5079182.0,0.9767657692307692,1061.127809828,6811.784900129778,0.4337219
-0.01516226,0.0172067,5069527.0,0.9749090384615384,1077.3652380396322,6916.019156629819,0.4347408
-0.01499025,0.01710739,5059386.0,0.9729588461538462,1094.40005915235,7025.372182869733,0.4358476
-0.01481824,0.01700808,5048779.0,0.9709190384615385,1112.560078536386,7141.948286785331,0.4371052
-0.01464624,0.01690878,5037731.0,0.9687944230769231,1131.3175140375552,7262.35943304747,0.4384032
-0.01447423,0.01680947,5026270.0,0.9665903846153846,1150.2478494886955,7383.880490158744,0.4396528
-0.01430223,0.01671017,5014425.0,0.9643125,1169.7730491924294,7509.220208222933,0.4409337
-0.01413022,0.01661086,5002229.0,0.9619671153846154,1190.1237489390876,7639.8591265110435,0.4422879
-0.01395821,0.01651156,4989717.0,0.9595609615384615,1211.0798659404866,7774.384449505473,0.4436713
-0.0137862,0.01641226,4976933.0,0.9571025,1232.4796947248878,7911.758127990608,0.4450518
-0.0136142,0.01631295,4963920.0,0.9546,1254.3791744472646,8052.339256778256,0.446439
-0.01344219,0.01621365,4950730.0,0.9520634615384616,1276.8248562676383,8196.42666555319,0.4478411
-0.01327018,0.01611434,4937415.0,0.9495028846153846,1299.602102979642,8342.642516068414,0.4492195
-0.01309817,0.01601504,4924034.0,0.9469296153846154,1322.403415111697,8489.012851711068,0.45052
-0.01292617,0.01591574,4910648.0,0.9443553846153846,1345.4773463048903,8637.133233283108,0.451787
-0.01275416,0.01581644,4897319.0,0.9417921153846154,1369.1362905118008,8789.009036941265,0.453076
-0.01258215,0.01571713,4884116.0,0.9392530769230769,1393.1360944582598,8943.072949520338,0.4543471
-0.01241015,0.01561783,4871108.0,0.9367515384615385,1417.2777636219034,9098.047549139485,0.4555684
-0.01223814,0.01551852,4858369.0,0.9343017307692307,1441.6319364687101,9254.386291104902,0.4567536
-0.01206613,0.01541922,4845973.0,0.9319178846153846,1466.3611703064175,9413.132692892994,0.4579306
-0.01189412,0.01531992,4833996.0,0.9296146153846154,1491.4049643134174,9573.898376610674,0.4590914
-0.01172212,0.01522061,4822516.0,0.9274069230769231,1516.51320032595,9735.077738187096,0.4601977
-0.01155011,0.01512131,4811611.0,0.9253098076923076,1542.011888658377,9898.763562408492,0.4613018
-0.0113781,0.015022,4801361.0,0.9233386538461539,1568.5819438115486,10069.326899653726,0.4625096
-0.0112061,0.01492269,4791840.0,0.9215076923076924,1595.8946376080426,10244.657518135004,0.463772
-0.01103409,0.01482339,4783126.0,0.9198319230769231,1623.2378694760312,10420.184172166719,0.464982
-0.01086209,0.01472408,4775289.0,0.9183248076923077,1651.0425065207855,10598.672762344888,0.4662021
-0.01069008,0.01462478,4768393.0,0.9169986538461539,1679.9052850520163,10783.953967072428,0.4675174
-0.01051807,0.01452547,4762491.0,0.9158636538461539,1709.9974371703001,10977.126990635876,0.4689497
-0.01034606,0.01442617,4757627.0,0.9149282692307692,1741.1197596123673,11176.913071166746,0.4704671
-0.01017406,0.01432687,4753831.0,0.9141982692307692,1773.53085238366,11384.97226091881,0.4721005
-0.01000205,0.01422756,4751115.0,0.9136759615384615,1807.6910841205463,11604.259842089616,0.473906
-0.009830044,0.01412826,4749474.0,0.9133603846153846,1843.6739400949275,11835.247544720427,0.475885
-0.009658036,0.01402896,4748877.0,0.913245576923077,1881.3067391515478,12076.826862488997,0.4780033
-0.009486028,0.01392965,4749272.0,0.9133215384615384,1920.9430612244876,12331.26756010571,0.4802946
-0.00931402,0.01383035,4750574.0,0.913571923076923,1963.5188206825562,12604.57762954498,0.4828638
-0.009142013,0.01373105,4752669.0,0.9139748076923077,2009.2923326306097,12898.415294174842,0.4857246
-0.008970006,0.01363174,4755412.0,0.9145023076923077,2058.211724313523,13212.447562958014,0.4888495
-0.008797999,0.01353244,4758623.0,0.9151198076923077,2110.5383257854073,13548.352013373902,0.4922453
-0.008625992,0.01343313,4762089.0,0.9157863461538461,2166.9811584768004,13910.68012492354,0.4959687
-0.008453985,0.01333383,4765572.0,0.9164561538461539,2227.98059515769,14302.258818697155,0.5000396
-0.008281978,0.01323453,4768812.0,0.9170792307692308,2293.3748229446282,14722.04935596233,0.5044039
-0.008109971,0.01313522,4771517.0,0.9175994230769231,2363.836848605484,15174.372024338136,0.5090993
-0.007937965,0.01303592,4773387.0,0.9179590384615385,2440.6200919915427,15667.273004819386,0.5142218
-0.00776596,0.01293661,4774123.0,0.9181005769230769,2524.319701879882,16204.572784830389,0.5197887
-0.007593954,0.0128373,4773427.0,0.9179667307692307,2614.031574821113,16780.467578844404,0.5256541
-0.007421947,0.012738,4771007.0,0.9175013461538462,2709.9217389800747,17396.023185095884,0.5317847
-0.00724994,0.01263869,4766610.0,0.9166557692307692,2813.49615391007,18060.906933429913,0.5382792
-0.007077933,0.01253939,4759998.0,0.9153842307692308,2925.9286284630057,18782.653951414537,0.545194
-0.006905926,0.01244008,4750934.0,0.9136411538461539,3047.7594855663965,19564.732778395108,0.5525143
-0.006733919,0.01234078,4739206.0,0.9113857692307692,3179.832002479681,20412.556733341564,0.560247
-0.006561911,0.01224148,4724617.0,0.9085801923076923,3322.8790510905474,21330.83040095336,0.5683789
-0.006389903,0.01214218,4706975.0,0.9051875,3479.4628830220477,22336.001853512258,0.5770428
-0.006217895,0.01204287,4686057.0,0.9011648076923077,3653.111470708832,23450.71849422063,0.5864266
-0.006045888,0.01194357,4661593.0,0.8964601923076924,3845.4414077000556,24685.357854819507,0.5965296
-0.005873881,0.01184426,4633221.0,0.8910040384615384,4038.024292756287,25921.620985706733,0.6057459
-0.005701897,0.01174492,4600428.0,0.8846976923076924,4317.609669590877,27716.38635758748,0.6205314
-0.005529897,0.01164561,4562354.0,0.8773757692307692,4647.374305483005,29833.27156836232,0.6376383
-0.005357828,0.01154641,4518275.0,0.8688990384615385,4878.5521719488415,31317.290633220735,0.6464925
-0.00518574,0.01144724,4465056.0,0.8586646153846154,5209.872735332594,33444.163937130994,0.6606393
-0.005013605,0.01134816,4398539.0,0.8458728846153846,5833.897113987063,37450.01488219329,0.6910971
-0.004841241,0.01124947,4315592.0,0.8299215384615385,7527.846665151169,48324.12436017561,0.7855883
-0.0046663,0.01115547,4233106.0,0.8140588461538462,7160.751579076174,45967.600724589414,0.762795
