x_m,r_m,pressure_pa,pressure_over_pc,tau_wall_pa,su2_cf_t,yplus
-0.02268,0.02,5179977.0,0.9961494230769231,1674.6796118360505,10750.408373812274,0.7208165
-0.0224814,0.01999803,5176921.0,0.9955617307692308,739.6086226533317,4747.830375506203,0.4779617
-0.02228287,0.01999211,5177412.0,0.9956561538461538,499.64036958720004,3207.3824599894533,0.3920668
-0.02208451,0.01998225,5176748.0,0.9955284615384615,436.5582774874332,2802.4344052368037,0.3657345
-0.02188638,0.01996846,5176591.0,0.9954982692307692,421.6367981854849,2706.6477276516734,0.3586573
-0.02168856,0.01995073,5176500.0,0.9954807692307692,432.1142928799504,2773.9067698612243,0.3620185
-0.02149113,0.01992908,5176525.0,0.9954855769230769,450.4654232716123,2891.709688364036,0.36831
-0.02129417,0.01990351,5176596.0,0.9954992307692307,471.58256091536384,3027.2686643925554,0.3752038
-0.02109776,0.01987403,5176710.0,0.9955211538461538,492.096051326161,3158.9525981609813,0.3814169
-0.02090197,0.01984066,5176878.0,0.9955534615384616,510.3320436165083,3276.016401193724,0.3862714
-0.02070689,0.01980341,5177100.0,0.9955961538461539,526.7740073014689,3381.5636490562138,0.3900994
-0.02051258,0.01976229,5177367.0,0.9956475,541.6544452932438,3477.086866788223,0.3929631
-0.02031912,0.01971732,5177656.0,0.9957030769230769,554.313475844584,3558.3500212935014,0.394729
-0.0201266,0.01966851,5177942.0,0.9957580769230769,566.8326575480138,3638.7154326035934,0.3961104
-0.01993509,0.0196159,5178193.0,0.9958063461538461,577.8827421694932,3709.6501483584752,0.3967093
-0.01974466,0.01955948,5178382.0,0.9958426923076923,589.5604610865288,3784.6138884944694,0.3971999
-0.01955538,0.0194993,5178476.0,0.9958607692307693,601.7018235400171,3862.553933663091,0.3975832
-0.01936734,0.01943538,5178454.0,0.9958565384615384,613.4958336976563,3938.264191710899,0.3974947
-0.01918061,0.01936772,5178287.0,0.9958244230769231,627.8863472823977,4030.6423974593117,0.3979681
-0.01899525,0.01929638,5177951.0,0.9957598076923077,643.1477994469432,4128.611490763308,0.398341
-0.01881135,0.01922136,5177416.0,0.9956569230769231,659.632294284449,4234.431762346418,0.3987588
-0.01862898,0.01914271,5176640.0,0.9955076923076923,677.5190203465073,4349.253491994646,0.3992011
-0.0184482,0.01906045,5175566.0,0.9953011538461538,694.6485642154934,4459.214579803458,0.3990467
-0.01826909,0.01897463,5174098.0,0.9950188461538462,708.1208506060611,4545.698334310249,0.3975252
-0.01809173,0.01888525,5172118.0,0.9946380769230769,715.722010283384,4594.493082910661,0.3939439
-0.01791617,0.01879238,5169479.0,0.9941305769230769,721.4390563011684,4631.192985954012,0.3895626
-0.01774245,0.01869611,5166161.0,0.9934925,772.0255413284866,4955.926963961413,0.3975303
-0.01757033,0.01859701,5161890.0,0.9926711538461539,969.6487872082549,6224.546097048353,0.4432434
-0.01739833,0.01849767,5157457.0,0.9918186538461539,1006.5166622836181,6461.215075480778,0.44956
-0.01722634,0.01839834,5152975.0,0.9909567307692307,995.0729694836728,6387.753638418802,0.4448087
-0.01705434,0.01829904,5148321.0,0.9900617307692308,978.2878222725886,6280.0033643613815,0.4386647
-0.01688233,0.01819973,5143387.0,0.9891128846153846,970.7104493964491,6231.361312327417,0.4345634
-0.01671032,0.01810043,5138108.0,0.9880976923076923,969.9209313326495,6226.293094177295,0.4320461
-0.01653832,0.01800113,5132438.0,0.9870073076923077,973.9440582038419,6252.11908292123,0.4306737
-0.01636631,0.01790182,5126329.0,0.9858325,981.3817690084212,6299.864590748773,0.4300995
-0.0161943,0.01780252,5119743.0,0.9845659615384615,991.144741532585,6362.536842106751,0.4300419
-0.01602229,0.01770322,5112656.0,0.983203076923077,1002.7074040566546,6436.761991289788,0.4303549
-0.01585028,0.01760391,5105052.0,0.9817407692307693,1015.8384598271272,6521.055256051707,0.4309677
-0.01567828,0.01750461,5096926.0,0.9801780769230769,1030.1343385040032,6612.825964163688,0.4317786
-0.01550627,0.01740531,5088282.0,0.9785157692307692,1045.2615683937877,6709.933433395627,0.4327057
-0.01533426,0.017306,5079125.0,0.9767548076923077,1060.9659682601875,6810.745977261461,0.4336865
-0.01516226,0.0172067,5069467.0,0.9748975,1077.2483394815688,6915.268740115156,0.4347147
-0.01499025,0.01710739,5059323.0,0.9729467307692308,1094.3177086045473,7024.843543234767,0.4358286
-0.01481824,0.01700808,5048714.0,0.9709065384615385,1112.3853871656065,7140.826876121471,0.4370682
-0.01464624,0.01690878,5037664.0,0.9687815384615385,1131.0689157963532,7260.763585940331,0.4383522
-0.01447423,0.01680947,5026201.0,0.9665771153846154,1150.0545892572566,7382.639878882591,0.439613
-0.01430223,0.01671017,5014355.0,0.9642990384615384,1169.6228585364927,7508.25607701011,0.4409024
-0.01413022,0.01661086,5002158.0,0.9619534615384615,1189.9508739821008,7638.749376101426,0.4422528
-0.01395821,0.01651156,4989647.0,0.9595475,1210.8875139197307,7773.14966838075,0.443633
-0.0137862,0.01641226,4976863.0,0.9570890384615385,1232.3015833236466,7910.614762844318,0.4450166
-0.0136142,0.01631295,4963851.0,0.9545867307692307,1254.2131395508836,8051.27341533146,0.4464064
-0.01344219,0.01621365,4950661.0,0.9520501923076923,1276.6304180120408,8195.178492089806,0.447804
-0.01327018,0.01611434,4937348.0,0.94949,1299.372903918795,8341.171199712984,0.4491769
-0.01309817,0.01601504,4923969.0,0.9469171153846154,1322.2273329198379,8487.882512835224,0.450487
-0.01292617,0.01591574,4910584.0,0.944343076923077,1345.3640026867608,8636.40563728633,0.4517651
-0.01275416,0.01581644,4897258.0,0.9417803846153846,1368.9971902673547,8788.116099317778,0.4530502
-0.01258215,0.01571713,4884058.0,0.9392419230769231,1392.969576948125,8942.004009991435,0.4543173
