x_m,r_m,pressure_pa,pressure_over_pc,tau_wall_pa,su2_cf_t,yplus
-0.02268,0.02,5160108.0,0.9923284615384615,3269.7760022077673,20989.94163790303,1.004536
-0.0224814,0.01999803,5160605.0,0.9924240384615385,3107.991461297424,19951.384847061654,0.9776033
-0.02228287,0.01999211,5158192.0,0.99196,3067.1471952482534,19689.189895469797,1.000011
-0.02208451,0.01998225,5154601.0,0.9912694230769231,3132.1284380823454,20106.329324508682,0.9803437
-0.02188638,0.01996846,5151330.0,0.9906403846153846,3099.448353828842,19896.543375642574,0.9993743
-0.02168856,0.01995073,5147690.0,0.9899403846153846,3155.229010145506,20254.620724005323,0.9770525
-0.02149113,0.01992908,5144712.0,0.9893676923076923,3115.946156208318,20002.449073422802,0.9938967
-0.02129417,0.01990351,5141786.0,0.988805,3168.6484427798614,20340.765190053975,0.9703594
-0.02109776,0.01987403,5139913.0,0.9884448076923077,3128.6392618692066,20083.930969077395,0.9859535
-0.02090197,0.01984066,5138355.0,0.9881451923076923,3182.3585731982143,20428.775756262476,0.9619501
-0.02070689,0.01980341,5137820.0,0.9880423076923077,3144.3047754186227,20184.493886814882,0.9766707
-0.02051258,0.01976229,5137331.0,0.9879482692307693,3200.2801553536237,20543.821240493486,0.9524132
-0.02031912,0.01971732,5137476.0,0.9879761538461539,3163.255962412912,20306.14879794963,0.9660207
-0.0201266,0.01966851,5137341.0,0.9879501923076923,3220.1796545642505,20671.56373012352,0.9413303
-0.01993509,0.0196159,5137595.0,0.9879990384615385,3182.8761346674105,20432.098181109046,0.9535925
-0.01974466,0.01955948,5137482.0,0.9879773076923077,3239.797258208364,20797.496624391326,0.9283302
-0.01955538,0.0194993,5137714.0,0.988021923076923,3203.994349158074,20567.66406982939,0.9388701
-0.01936734,0.01943538,5137628.0,0.9880053846153846,3259.8515237834868,20926.232618455942,0.9134647
-0.01918061,0.01936772,5137868.0,0.9880515384615385,3226.347504950442,20711.157518673575,0.9230134
-0.01899525,0.01929638,5137695.0,0.9880182692307692,3283.770361718614,21079.776779268726,0.8973922
-0.01881135,0.01922136,5137588.0,0.9879976923076923,3253.9968941967595,20888.649513908727,0.905986
-0.01862898,0.01914271,5136727.0,0.9878321153846154,3315.2360419535316,21281.767004679245,0.8804381
-0.0184482,0.01906045,5135461.0,0.9875886538461538,3291.5930688569874,21129.993725681572,0.8883687
-0.01826909,0.01897463,5133231.0,0.9871598076923077,3359.7215681262282,21567.336596438996,0.8631771
-0.01809173,0.01888525,5130506.0,0.9866357692307692,3391.1738752901547,21769.240974996566,0.852426
-0.01791617,0.01879238,5127227.0,0.9860051923076923,3380.9292509140046,21703.476816347033,0.8622853
-0.01774245,0.01869611,5122936.0,0.98518,3439.984534614809,22082.57524922217,0.8604268
-0.01757033,0.01859701,5115906.0,0.9838280769230769,3550.7383325382743,22793.546200449404,0.845864
-0.01739833,0.01849767,5107640.0,0.9822384615384615,3589.6865100678356,23043.56943528145,0.8437678
-0.01722634,0.01839834,5100613.0,0.9808871153846154,3619.100916201206,23232.391748380618,0.843049
-0.01705434,0.01829904,5094333.0,0.9796794230769231,3654.4561308957923,23459.35038179582,0.843104
-0.01688233,0.01819973,5088458.0,0.9785496153846154,3695.377066027381,23722.037501525276,0.843767
-0.01671032,0.01810043,5082594.0,0.9774219230769231,3739.6208265876007,24006.055107432632,0.8447362
-0.01653832,0.01800113,5076380.0,0.976226923076923,3785.3911952018293,24299.87259380151,0.8457836
-0.01636631,0.01790182,5069549.0,0.9749132692307693,3831.5604931106027,24596.25095975495,0.8467661
