x_m,r_m,pressure_pa,pressure_over_pc,tau_wall_pa,su2_cf_t,yplus
-0.02268,0.02,5167107.0,0.9936744230769231,4295.926747691365,27577.195396218052,1.151714
-0.0224814,0.01999803,5180970.0,0.9963403846153847,4150.450012966033,26643.324644981378,1.13106
-0.02228287,0.01999211,5191394.0,0.998345,4045.0176957531103,25966.514311932915,1.163872
-0.02208451,0.01998225,5196146.0,0.9992588461538462,4152.130419531601,26654.11181685964,1.130251
-0.02188638,0.01996846,5198831.0,0.9997751923076923,4079.8526755323815,26190.133358629304,1.162709
-0.02168856,0.01995073,5198469.0,0.9997055769230769,4178.740941951514,26824.934928953848,1.126526
-0.02149113,0.01992908,5197838.0,0.9995842307692308,4097.980224649906,26306.5010234963,1.156105
-0.02129417,0.01990351,5196136.0,0.999256923076923,4193.3503052428005,26918.718014597627,1.11864
-0.02109776,0.01987403,5195548.0,0.9991438461538461,4114.929631128804,26415.305740562228,1.146943
-0.02090197,0.01984066,5194361.0,0.998915576923077,4213.917811171796,27050.748694618316,1.109393
-0.02070689,0.01980341,5193948.0,0.9988361538461539,4140.388603949002,26578.73661573413,1.136699
-0.02051258,0.01976229,5192329.0,0.9985248076923077,4242.411904413056,27233.6631675838,1.098966
-0.02031912,0.01971732,5190848.0,0.99824,4171.86594524833,26780.80169797314,1.124831
-0.0201266,0.01966851,5187682.0,0.9976311538461539,4275.36378286936,27445.19386729843,1.086736
-0.01993509,0.0196159,5184233.0,0.9969678846153847,4205.336490996219,26995.661921230818,1.110745
-0.01974466,0.01955948,5178863.0,0.9959351923076923,4308.717987143493,27659.307250178485,1.07209
-0.01955538,0.0194993,5173115.0,0.9948298076923077,4241.091165554311,27225.18484015549,1.093461
-0.01936734,0.01943538,5165572.0,0.9933792307692307,4341.372620117693,27868.92981755705,1.054855
-0.01918061,0.01936772,5157948.0,0.991913076923077,4273.3482899506225,27432.2556480726,1.074162
-0.01899525,0.01929638,5148982.0,0.9901888461538462,4373.722103843964,28076.593515306453,1.035347
-0.01881135,0.01922136,5140389.0,0.9885363461538461,4307.336188016168,27650.436953553195,1.052725
-0.01862898,0.01914271,5130718.0,0.9866765384615385,4410.120071848496,28310.24598068559,1.014127
-0.0184482,0.01906045,5121499.0,0.9849036538461539,4350.092936874967,27924.90886311724,1.030178
-0.01826909,0.01897463,5111901.0,0.9830578846153846,4465.548762749549,28666.06392854896,0.9929364
-0.01809173,0.01888525,5104543.0,0.9816428846153846,4494.087022142246,28849.261920917732,0.9796742
-0.01791617,0.01879238,5100669.0,0.9808978846153846,4425.985470958567,28412.092040219206,0.9942397
-0.01774245,0.01869611,5097845.0,0.9803548076923077,4480.698148346738,28763.31362373309,0.9886753
-0.01757033,0.01859701,5092090.0,0.9792480769230769,4647.520950498812,29834.212938756256,0.9653472
-0.01739833,0.01849767,5085278.0,0.9779380769230769,4703.179677501893,30191.50757626226,0.9644031
-0.01722634,0.01839834,5080812.0,0.9770792307692308,4746.792510844063,30471.475019260688,0.964373
-0.01705434,0.01829904,5078981.0,0.9767271153846154,4799.127386446161,30807.43258448021,0.9653018
-0.01688233,0.01819973,5079309.0,0.9767901923076923,4860.66538866496,31202.468536243756,0.9671973
-0.01671032,0.01810043,5080905.0,0.9770971153846154,4927.915202699879,31634.17079071002,0.9696345
-0.01653832,0.01800113,5083060.0,0.9775115384615385,4998.221347913297,32085.492802927114,0.9722984
-0.01636631,0.01790182,5085381.0,0.9779578846153846,5070.303878275835,32548.218110226593,0.9750351
-0.0161943,0.01780252,5087728.0,0.9784092307692308,5143.814308948667,33020.10965526149,0.9777937
-0.01602229,0.01770322,5090078.0,0.9788611538461538,5218.838594265476,33501.71921174546,0.9805758
-0.01585028,0.01760391,5092448.0,0.9793169230769231,5295.532212486711,33994.044854045234,0.9833986
-0.01567828,0.01750461,5094854.0,0.9797796153846153,5373.999156335778,34497.75415119112,0.9862715
-0.01550627,0.01740531,5097311.0,0.9802521153846154,5454.299467893577,35013.23253624427,0.9891963
-0.01533426,0.017306,5099818.0,0.9807342307692307,5536.479807938717,35540.779542573095,0.9921685
-0.01516226,0.0172067,5102360.0,0.981223076923077,5620.589232180078,36080.71007751853,0.9951849
-0.01499025,0.01710739,5104903.0,0.9817121153846153,5706.663081154499,36633.25100549124,0.9982449
-0.01481824,0.01700808,5107398.0,0.982191923076923,5794.648920051291,37198.065727404486,1.001347
-0.01464624,0.01690878,5109792.0,0.9826523076923077,5884.444912302909,37774.500515416396,1.004472
-0.01447423,0.01680947,5112035.0,0.9830836538461538,5976.02735910712,38362.4032378594,1.007604
-0.01430223,0.01671017,5114076.0,0.9834761538461538,6069.442102691966,38962.068173513,1.010737
-0.01413022,0.01661086,5115861.0,0.983819423076923,6164.709949808792,39573.62888886495,1.013871
-0.01395821,0.01651156,5117353.0,0.9841063461538462,6261.903804409252,40197.553382239734,1.017006
-0.0137862,0.01641226,5118533.0,0.9843332692307692,6361.016927109852,40833.79839095936,1.020135
-0.0136142,0.01631295,5119417.0,0.9845032692307693,6462.043707344555,41482.327898656484,1.023257
-0.01344219,0.01621365,5120040.0,0.9846230769230769,6564.885537726764,42142.50890683568,1.026364
-0.01327018,0.01611434,5120441.0,0.9847001923076923,6669.197661119319,42812.12828769147,1.029428
-0.01309817,0.01601504,5120608.0,0.9847323076923077,6774.160995192135,43485.92803875103,1.032379
-0.01292617,0.01591574,5120484.0,0.9847084615384616,6879.293995289966,44160.81694085966,1.035156
-0.01275416,0.01581644,5120057.0,0.9846263461538461,6988.8439252811895,44864.059803795695,1.038118
-0.01258215,0.01571713,5119340.0,0.9844884615384616,7102.628767850954,45594.48818886083,1.041225
-0.01241015,0.01561783,5118292.0,0.9842869230769231,7219.855170829035,46347.00926531066,1.044407
-0.01223814,0.01551852,5116824.0,0.9840046153846154,7340.026068632455,47118.43217922436,1.047612
-0.01206613,0.01541922,5114852.0,0.9836253846153846,7462.98727202654,47907.767130984204,1.050819
-0.01189412,0.01531992,5112326.0,0.9831396153846154,7588.764837782336,48715.18138896062,1.054022
-0.01172212,0.01522061,5109234.0,0.982545,7717.488565467866,49541.508186181054,1.057217
-0.01155011,0.01512131,5105585.0,0.9818432692307693,7849.735925895426,50390.45452845861,1.060439
-0.0113781,0.015022,5101382.0,0.981035,7985.103971294556,51259.43374007624,1.063664
-0.0112061,0.01492269,5096622.0,0.9801196153846153,8122.856717980434,52143.721260519575,1.06684
-0.01103409,0.01482339,5091307.0,0.9790975,8263.041092723977,53043.61833066326,1.069957
-0.01086209,0.01472408,5085431.0,0.9779675,8405.78967017909,53959.97599787147,1.073013
-0.01069008,0.01462478,5078972.0,0.9767253846153846,8551.207235442113,54893.466917719146,1.076013
-0.01051807,0.01452547,5071901.0,0.9753655769230769,8699.273898257185,55843.96340705326,1.078953
-0.01034606,0.01442617,5064190.0,0.9738826923076923,8849.995569342276,56811.50340903113,1.081825
-0.01017406,0.01432687,5055815.0,0.9722721153846153,9003.415018323247,57796.3614782247,1.084624
-0.01000205,0.01422756,5046744.0,0.9705276923076923,9159.565971221136,58798.75411485076,1.08735
-0.009830044,0.01412826,5036951.0,0.9686444230769231,9318.452571774353,59818.70791914959,1.089996
-0.009658036,0.01402896,5026418.0,0.9666188461538462,9480.1130282023,60856.46816428206,1.092555
-0.009486028,0.01392965,5015134.0,0.9644488461538462,9644.696977533358,61912.99542751413,1.095024
-0.00931402,0.01383035,5003088.0,0.9621323076923077,9812.373654412568,62989.37609070199,1.097413
-0.009142013,0.01373105,4990273.0,0.9596678846153847,9983.273562493428,64086.44790666681,1.099728
-0.008970006,0.01363174,4976703.0,0.9570582692307692,10157.543666565625,65205.154298553236,1.101969
-0.008797999,0.01353244,4962403.0,0.9543082692307693,10335.500963885392,66347.53019288323,1.104147
-0.008625992,0.01343313,4947411.0,0.9514251923076923,10517.470906849003,67515.66479295363,1.106276
-0.008453985,0.01333383,4931777.0,0.9484186538461539,10703.857249507186,68712.1499503026,1.108373
-0.008281978,0.01323453,4915567.0,0.9453013461538462,10895.159412316096,69940.19163568178,1.110457
-0.008109971,0.01313522,4898857.0,0.9420878846153846,11092.007545302715,71203.83502291366,1.112551
-0.007937965,0.01303592,4881710.0,0.9387903846153847,11295.22343068261,72508.35544606764,1.114698
-0.00776596,0.01293661,4864172.0,0.9354176923076923,11505.51345052819,73858.28744159633,1.11693
-0.007593954,0.0128373,4846264.0,0.9319738461538462,11723.607327990872,75258.31538125787,1.119264
-0.007421947,0.012738,4827891.0,0.9284405769230769,11949.880891942576,76710.8518541966,1.121684
-0.00724994,0.01263869,4809000.0,0.9248076923076923,12184.366340500857,78216.103552433,1.124174
-0.007077933,0.01253939,4789397.0,0.9210378846153846,12427.11908348835,79774.42617279229,1.12671
-0.006905926,0.01244008,4768769.0,0.9170709615384616,12677.64223536605,81382.63001712471,1.129234
-0.006733919,0.01234078,4746699.0,0.9128267307692308,12934.583555266228,83032.03453456842,1.131639
-0.006561911,0.01224148,4722687.0,0.9082090384615384,13196.535715241993,84713.60554924999,1.1338
-0.006389903,0.01214218,4696341.0,0.9031425,13464.117197112399,86431.31333230641,1.135711
-0.006217895,0.01204287,4667777.0,0.8976494230769231,13737.117598827785,88183.80723257999,1.13736
-0.006045888,0.01194357,4638241.0,0.8919694230769231,14016.334138616376,89976.20489851874,1.138859
-0.005873881,0.01184426,4610659.0,0.8866651923076924,14306.07578949475,91836.16727450425,1.140427
-0.005701897,0.01174492,4587885.0,0.882285576923077,14601.775712357028,93734.37807518932,1.142504
-0.005529897,0.01164561,4567983.0,0.8784582692307692,14867.628436834255,95440.98830392875,1.143697
-0.005357828,0.01154641,4540201.0,0.873115576923077,14773.178280793829,94834.67666006056,1.174348
-0.00518574,0.01144724,4487431.0,0.8629675,13895.478264357022,89200.38485898431,1.31489
-0.005013605,0.01134816,4392231.0,0.8446598076923076,14067.845740010132,90306.8775519971,1.326605
-0.004841241,0.01124947,4245785.0,0.8164971153846153,15782.300469211083,101312.61760344302,1.167408
-0.0046663,0.01115547,4107961.0,0.7899925,15632.965824762576,100353.98145546998,1.172727
-0.004489727,0.01106455,4000987.0,0.769420576923077,16011.377638278022,102783.15148895828,1.139465
-0.004311381,0.01097714,3917052.0,0.7532792307692308,15777.239952746204,101280.13221447947,1.167844
-0.004131335,0.0108933,3846320.0,0.7396769230769231,16378.551570542335,105140.1812683632,1.144974
-0.003949659,0.01081305,3784933.0,0.7278717307692307,16386.651801106196,105192.1797436943,1.184214
-0.003766427,0.01073641,3719922.0,0.7153696153846154,17135.726242563993,110000.77482728036,1.164132
-0.003581707,0.01066344,3652776.0,0.7024569230769231,17131.509859800448,109973.70825511451,1.202293
-0.003395578,0.01059414,3577419.0,0.6879651923076923,17843.35599603654,114543.3206214276,1.176886
-0.003208104,0.01052857,3500370.0,0.6731480769230769,17743.952634149304,113905.21245645982,1.209352
-0.003019367,0.01046672,3417651.0,0.6572405769230769,18389.005653265915,118046.05428032446,1.179188
-0.00282944,0.01040864,3336199.0,0.6415767307692307,18197.708701144507,116818.04604433951,1.209069
-0.002638397,0.01035433,3251226.0,0.6252357692307692,18841.89014102584,120953.29286803625,1.175191
-0.002446311,0.01030384,3168977.0,0.6094186538461539,18614.85218581371,119495.84947549996,1.203451
-0.002253261,0.01025717,3084268.0,0.5931284615384615,19262.329760065157,123652.25544527052,1.166935
-0.002059324,0.01021433,3002189.0,0.5773440384615385,18993.532650593104,121926.74408411127,1.194035
-0.001864573,0.01017537,2917747.0,0.5611051923076923,19636.76585150839,126055.90379953434,1.154489
-0.001669086,0.01014028,2835695.0,0.5453259615384616,19282.785828880675,123783.57076787633,1.179848
-0.001472941,0.01010907,2753852.0,0.5295869230769231,19327.19686618049,124068.66218709662,1.179573
-0.001276215,0.01008177,2670052.0,0.5134715384615385,20076.15843434819,128876.53269390129,1.128958
-0.001078986,0.01005838,2586962.0,0.49749269230769233,19682.934181704404,126352.27595336978,1.151882
-0.000881331,0.01003892,2503144.0,0.48137384615384615,20315.203074060166,130411.05158235726,1.10411
-0.0006833288,0.01002337,2418582.0,0.46511192307692306,19817.133461617716,127213.75241271351,1.127708
-0.0004850564,0.01001177,2335967.0,0.44922442307692306,20485.07439358487,131501.5204953255,1.076985
-0.0002865932,0.0100041,2246247.0,0.43197057692307694,19875.321950113717,127587.2865559405,1.098039
-8.801603e-05,0.01000044,2152690.0,0.41397884615384617,20686.288752943223,132793.19235810393,1.04545
0.0001105874,0.01000122,2002145.0,0.3850278846153846,20092.38876670014,128980.72139936648,1.061037
0.0003090139,0.01000956,1830044.0,0.35193153846153846,19455.297522843477,124890.98925332919,1.029302
0.0005069526,0.01002577,1671864.0,0.3215123076923077,18622.101462170296,119542.38535059938,0.9830621
0.0007040912,0.01004983,1526260.0,0.29351153846153843,17953.03016043677,115247.36099250877,0.920341
0.0009001194,0.01008169,1393737.0,0.26802634615384613,17756.294894759696,113984.44214366683,0.8117876
0.00109473,0.01012131,1267907.0,0.24382826923076922,17177.268392981186,110267.44976531315,0.7500814
0.001287609,0.01016864,1151240.0,0.2213923076923077,16585.3028009471,106467.39642219346,0.7021982
0.001478459,0.01022358,1044582.0,0.20088115384615385,16068.749803671375,103151.44534224777,0.6592824
