x_m,r_m,pressure_pa,pressure_over_pc,tau_wall_pa,su2_cf_t,yplus
-0.02268,0.02,5159891.0,0.9922867307692308,3257.7353108886623,20912.647839215482,1.002674
-0.0224814,0.01999803,5160265.0,0.9923586538461538,3094.1992521239813,19862.847385959474,0.9754125
-0.02228287,0.01999211,5157894.0,0.9919026923076923,3053.3826694346626,19600.830144433152,0.9975809
-0.02208451,0.01998225,5154418.0,0.9912342307692308,3117.796319212137,20014.325976747234,0.9781062
-0.02188638,0.01996846,5151292.0,0.9906330769230769,3085.6355607932833,19807.87377886376,0.996983
-0.02168856,0.01995073,5147810.0,0.9899634615384615,3140.9783176297046,20163.14008312827,0.9748697
-0.02149113,0.01992908,5144971.0,0.9894175,3102.1397499041705,19913.820475513476,0.9915501
-0.02129417,0.01990351,5142157.0,0.9888763461538461,3154.351798407363,20248.989566649198,0.9682082
-0.02109776,0.01987403,5140369.0,0.9885325,3114.525561622955,19993.32973392745,0.9835989
-0.02090197,0.01984066,5138887.0,0.9882475,3167.6778454037913,20334.53455460254,0.9597779
-0.02070689,0.01980341,5138439.0,0.9881613461538461,3129.755670931019,20091.097625458642,0.9742926
-0.02051258,0.01976229,5138054.0,0.9880873076923077,3185.2979418209225,20447.644686672775,0.9502405
-0.02031912,0.01971732,5138310.0,0.9881365384615385,3148.6244237597602,20212.223360184165,0.9636837
-0.0201266,0.01966851,5138271.0,0.9881290384615384,3205.2455597080384,20575.696068474783,0.9392152
-0.01993509,0.0196159,5138579.0,0.9881882692307692,3168.4547969779933,20339.5221036539,0.9513413
-0.01974466,0.01955948,5138456.0,0.9881646153846154,3225.041361089295,20702.772882112033,0.9262849
-0.01955538,0.0194993,5138599.0,0.9881921153846154,3189.6470486007124,20475.563265016724,0.9366781
-0.01936734,0.01943538,5138333.0,0.9881409615384615,3245.0997593857237,20831.535405693943,0.9114503
-0.01918061,0.01936772,5138306.0,0.9881357692307692,3211.8583377089058,20618.14601740367,0.9208301
-0.01899525,0.01929638,5137775.0,0.9880336538461538,3268.689102466531,20982.96441312696,0.8953492
-0.01881135,0.01922136,5137235.0,0.9879298076923076,3239.3469856282177,20794.606152636676,0.9037975
-0.01862898,0.01914271,5135877.0,0.9876686538461539,3299.916527258478,21183.425185804477,0.878372
-0.0184482,0.01906045,5134097.0,0.9873263461538462,3276.65403418336,21034.094353457196,0.8861556
